Category,CategoryOfSequences_ar,FXY1,Title_ar,SubTitle_ar,FXY2,ElementName_ar,ElementDescription_ar,Note_ar,Status,translated_by
35,معلومات المراقبة,D35001,(حدد محطة المراقبة),,B08035,نوع تمرين المراقبة,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
35,معلومات المراقبة,D35001,(حدد محطة المراقبة),,B35001,فترة المراقبة,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
35,معلومات المراقبة,D35001,(حدد محطة المراقبة),,B08036,نوع المركز أو المحطة التي تقوم بالمراقبة,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
35,معلومات المراقبة,D35001,(حدد محطة المراقبة),,D01001,(رقم كتلة ومحطة WMO),,,Operational,"AI Translator: rag_cache, Glossary Not Used"
35,معلومات المراقبة,D35002,(حدد محطة المراقبة),,B08035,نوع تمرين المراقبة,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
35,معلومات المراقبة,D35002,(حدد محطة المراقبة),,B35001,فترة المراقبة,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
35,معلومات المراقبة,D35002,(حدد محطة المراقبة),,B08036,نوع المركز أو المحطة التي تقوم بالمراقبة,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
35,معلومات المراقبة,D35002,(حدد محطة المراقبة),,B01033,تحديد المركز المُنشئ/المُصدر,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
35,معلومات المراقبة,D35003,فترة المراقبة,,B08021,أهمية الوقت,= 23 فترة المراقبة,,Operational,"AI Translator: rag_cache, Glossary Not Used"
35,معلومات المراقبة,D35003,فترة المراقبة,,B04001,سنة,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
35,معلومات المراقبة,D35003,فترة المراقبة,,B04002,شهر,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
35,معلومات المراقبة,D35003,فترة المراقبة,,B04003,يوم,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
35,معلومات المراقبة,D35003,فترة المراقبة,,B04004,ساعة,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
35,معلومات المراقبة,D35003,فترة المراقبة,,B04073,فترة زمنية أو إزاحة,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
35,معلومات المراقبة,D35004,(حدد نوع التقرير ومحطة واحدة يتم مراقبتها),,B08021,أهمية الوقت,الحد الزمني المتفق عليه لاستلام التقرير,,Operational,"AI Translator: rag_cache, Glossary Not Used"
35,معلومات المراقبة,D35004,(حدد نوع التقرير ومحطة واحدة يتم مراقبتها),,B04004,ساعة,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
35,معلومات المراقبة,D35004,(حدد نوع التقرير ومحطة واحدة يتم مراقبتها),,B08021,أهمية الوقت,وقت الإبلاغ الاسمي,,Operational,"AI Translator: rag_cache, Glossary Not Used"
35,معلومات المراقبة,D35004,(حدد نوع التقرير ومحطة واحدة يتم مراقبتها),,B04004,ساعة,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
