Id,Category,CategoryOfSequences_ar,FXY1,Title_ar,SubTitle_ar,FXY2,ElementName_ar,ElementDescription_ar,Note_ar,noteIDs,Status,translated_by
bufr4/3/15/001/1/001011,15,تسلسلات تقارير علم المحيطات,315001,(عادةً ما يتم الإبلاغ عن قياسات الأعماق تحت الماء دون الحقول الاختيارية),,001011,معرّف السفينة أو محطة الأرض المتنقلة,إشارة نداء السفينة,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/15/001/2/301011,15,تسلسلات تقارير علم المحيطات,315001,(عادةً ما يتم الإبلاغ عن قياسات الأعماق تحت الماء دون الحقول الاختيارية),,301011,سنة، شهر، يوم,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/15/001/3/301012,15,تسلسلات تقارير علم المحيطات,315001,(عادةً ما يتم الإبلاغ عن قياسات الأعماق تحت الماء دون الحقول الاختيارية),,301012,ساعة، دقيقة، ثانية,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/15/001/4/301023,15,تسلسلات تقارير علم المحيطات,315001,(عادةً ما يتم الإبلاغ عن قياسات الأعماق تحت الماء دون الحقول الاختيارية),,301023,خط العرض/خط الطول (دقة عالية),,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/15/001/5/306001,15,تسلسلات تقارير علم المحيطات,315001,(عادةً ما يتم الإبلاغ عن قياسات الأعماق تحت الماء دون الحقول الاختيارية),,306001,العمق، درجة الحرارة,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/15/002/1/001011,15,تسلسلات تقارير علم المحيطات,315002,(عادةً ما يتم الإبلاغ عن قياسات الأعماق تحت الماء دون الحقول الاختيارية),,001011,معرّف السفينة أو محطة الأرض المتنقلة,إشارة نداء السفينة,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/15/002/2/301011,15,تسلسلات تقارير علم المحيطات,315002,(عادةً ما يتم الإبلاغ عن قياسات الأعماق تحت الماء دون الحقول الاختيارية),,301011,سنة، شهر، يوم,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/15/002/3/301012,15,تسلسلات تقارير علم المحيطات,315002,(عادةً ما يتم الإبلاغ عن قياسات الأعماق تحت الماء دون الحقول الاختيارية),,301012,ساعة، دقيقة، ثانية,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/15/002/4/301023,15,تسلسلات تقارير علم المحيطات,315002,(عادةً ما يتم الإبلاغ عن قياسات الأعماق تحت الماء دون الحقول الاختيارية),,301023,خط العرض/خط الطول (دقة عالية),,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/15/002/5/306004,15,تسلسلات تقارير علم المحيطات,315002,(عادةً ما يتم الإبلاغ عن قياسات الأعماق تحت الماء دون الحقول الاختيارية),,306004,العمق، درجة الحرارة، الملوحة,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
