Id,Category,CategoryOfSequences_ar,FXY1,Title_ar,SubTitle_ar,FXY2,ElementName_ar,ElementDescription_ar,Note_ar,noteIDs,Status
bufr4/3/05/001/1/011001,05,التسلسلات الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,305001,(قياس فردي SADC-HYCOS),,011001,اتجاه الرياح,,,,Operational
bufr4/3/05/001/2/011002,05,تسلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في ملاحظات الهيدرولوجيا,305001,القياس الفردي لـ(SADC-HYCOS),,011002,سرعة الرياح,,,,Operational
bufr4/3/05/001/3/013060,05,تسلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,305001,(قياس فردي SADC-HYCOS),,013060,إجمالي الهطول المتراكم,,,,Operational
bufr4/3/05/001/4/013071,05,تسلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في ملاحظات الهيدرولوجيا,305001,(قياس واحد SADC-HYCOS),,013071,مستوى المياه في المنبع,,,,Operational
bufr4/3/05/002/1/301012,05,تسلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في ملاحظات الهيدرولوجيا,305002,(قياس البيئة SADC-HYCOS),,301012,ساعة، دقيقة,,,,Operational
bufr4/3/05/002/2/012001,05,سلاسل الأرصاد الجوية أو الهيدرولوجية الشائعة في ملاحظات الهيدرولوجيا.,305002,قياس البيئة (SADC-HYCOS),,012001,درجة الحرارة/درجة حرارة الهواء,,,,Operational
bufr4/3/05/002/3/013003,05,سلاسل الأرصاد الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,305002,قياس البيئة (SADC-HYCOS),,013003,الرطوبة النسبية,,,,Operational
bufr4/3/05/002/4/014051,05,سلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في ملاحظات الهيدرولوجيا,305002,قياس البيئة (SADC-HYCOS),,014051,الإشعاع الشمسي المباشر المدمج على مدار الساعة الماضية,,,,Operational
bufr4/3/05/002/5/013060,05,تسلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في ملاحظات الهيدرولوجيا,305002,قياس البيئة (SADC-HYCOS),,013060,إجمالي الهطول المتراكم,,,,Operational
bufr4/3/05/002/6/013072,05,تسلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في ملاحظات الهيدرولوجيا,305002,قياس البيئة (SADC-HYCOS),,013072,مستوى المياه في المصب,,,,Operational
bufr4/3/05/002/7/013080,05,سلاسل الأرصاد الجوية أو الهيدرولوجية الشائعة في ملاحظات الهيدرولوجيا,305002,قياس البيئة (SADC-HYCOS),,013080,درجة حموضة الماء,,,,Operational
bufr4/3/05/002/8/013081,05,تسلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,305002,قياس البيئة (SADC-HYCOS),,013081,موصلية الماء,,,,Operational
bufr4/3/05/002/9/013082,05,تسلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,305002,قياس البيئة (SADC-HYCOS),,013082,درجة حرارة الماء,,,,Operational
bufr4/3/05/002/10/013083,05,التسلسلات الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,305002,قياس البيئة (SADC-HYCOS),,013083,الأكسجين المذاب,,,,Operational
bufr4/3/05/002/11/013084,05,سلاسل الأرصاد الجوية أو الهيدرولوجية الشائعة في ملاحظات الهيدرولوجيا,305002,قياس البيئة (SADC-HYCOS),,013084,عكارة,,,,Operational
bufr4/3/05/003/1/301012,05,سلاسل الأرصاد الجوية أو الهيدرولوجية الشائعة في ملاحظات الهيدرولوجيا,305003,تعريف شبكة قياس (SADC-HYCOS),,301012,ساعة، دقيقة,القياس الفردي الأول ناقص الزيادة,,,Operational
bufr4/3/05/003/2/004065,05,تسلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في ملاحظات الهيدرولوجيا,305003,تعريف مصفوفة القياس (SADC-HYCOS),,004065,زيادة زمنية قصيرة,الفترة الزمنية بين القياسات,,,Operational
bufr4/3/05/003/3/101000,05,سلاسل الأرصاد الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,305003,Sure! Please provide the glossary terms and translation memory examples so I can ensure the translation aligns with your specific requirements.,,101000,تأخر تكرار 1 واصف,,,,Operational
bufr4/3/05/003/4/031001,05,سلاسل الأرصاد الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,305003,تعريف شبكة قياس (SADC-HYCOS),,031001,عامل تكرار الوصف المؤجل,,,,Operational
bufr4/3/05/003/5/305001,05,التسلسلات الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,305003,تعريف مصفوفة القياس (SADC-HYCOS),,305001,القياس الفردي لـ SADC-HYCOS,,,,Operational
bufr4/3/05/004/1/301030,05,سلاسل الأرصاد الجوية أو الهيدرولوجية الشائعة في ملاحظات الهيدرولوجيا,305004,تقرير SADC-HYCOS,,301030,التعرف - مع الموقع الفعلي,,,,Operational
bufr4/3/05/004/2/305002,05,التسلسلات الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,305004,تقرير SADC-HYCOS,,305002,قياس البيئة SADC-HYCOS,,,,Operational
bufr4/3/05/004/3/305003,05,سلاسل الأرصاد الجوية أو الهيدرولوجية الشائعة في ملاحظات الهيدرولوجيا,305004,تقرير SADC-HYCOS,,305003,تعريف مصفوفة القياس SADC-HYCOS,,,,Operational
bufr4/3/05/006/1/013072,05,التسلسلات الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,305006,القياس (MEDHYCOS),,013072,مستوى المياه في المصب,,,,Operational
bufr4/3/05/006/2/013082,05,التسلسلات الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,305006,(قياس MEDHYCOS),,013082,درجة حرارة الماء,,,,Operational
bufr4/3/05/006/3/013019,05,تسلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في ملاحظات الهيدرولوجيا,305006,قياس MEDHYCOS,,013019,إجمالي الهطول خلال الساعة الماضية,,,,Operational
bufr4/3/05/006/4/012001,05,تسلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في ملاحظات الهيدرولوجيا,305006,قياس MEDHYCOS,,012001,درجة الحرارة/درجة حرارة الهواء,,,,Operational
bufr4/3/05/006/5/013073,05,تسلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في ملاحظات الهيدرولوجيا,305006,قياس MEDHYCOS,,013073,الحد الأقصى لمستوى المياه,,,,Operational
bufr4/3/05/006/6/013060,05,التسلسلات الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,305006,قياس MEDHYCOS,,013060,إجمالي الهطول المتراكم,,,,Operational
bufr4/3/05/007/1/301029,05,سلاسل الأرصاد الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,305007,تقرير MEDHYCOS,,301029,التعرف,,,,Operational
bufr4/3/05/007/2/301012,05,تسلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في ملاحظات الهيدرولوجيا,305007,تقرير MEDHYCOS,,301012,ساعة، دقيقة,وقت القياس الأول,,,Operational
bufr4/3/05/007/3/004065,05,تسلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في ملاحظات الهيدرولوجيا,305007,تقرير MEDHYCOS,,004065,زيادة زمنية قصيرة,الفترة الزمنية بين القياسات,,,Operational
bufr4/3/05/007/4/101000,05,تسلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في ملاحظات الهيدرولوجيا,305007,تقرير MEDHYCOS,,101000,تأخر تكرار 1 واصف,,,,Operational
bufr4/3/05/007/5/031001,05,سلاسل الأرصاد الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,305007,تقرير MEDHYCOS,,031001,عامل تكرار الوصف المؤجل,,,,Operational
bufr4/3/05/007/6/305006,05,سلاسل الأرصاد الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,305007,تقرير MEDHYCOS,,305006,قياس MEDHYCOS,القياس الفردي,,,Operational
bufr4/3/05/008/1/305006,05,تسلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,305008,(AOCHYCOS - قياس تشاد),,305006,قياس MEDHYCOS,نوع القياس نفسه مثل MEDHYCOS,,,Operational
bufr4/3/05/008/2/012030,05,تسلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في ملاحظات الهيدرولوجيا,305008,(أوشيكوس - قياس تشاد),,012030,درجة حرارة التربة,عند -50 سم,,,Operational
bufr4/3/05/009/1/301029,05,التسلسلات الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,305009,(مشروع AOCHYCOS - تقرير تشاد),,301029,التعرف,,,,Operational
bufr4/3/05/009/2/301012,05,تسلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في ملاحظات الهيدرولوجيا,305009,تقرير AOCHYCOS - تشاد,,301012,ساعة، دقيقة,وقت القياس الأول,,,Operational
bufr4/3/05/009/3/004065,05,التسلسلات الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,305009,تقرير AOCHYCOS - تشاد,,004065,زيادة زمنية قصيرة,الفترة الزمنية بين القياسات,,,Operational
bufr4/3/05/009/4/101000,05,سلاسل الأرصاد الجوية أو الهيدرولوجية الشائعة في ملاحظات الهيدرولوجيا,305009,تقرير AOCHYCOS - تشاد,,101000,تأخير النسخ المتماثل لوصف واحد,,,,Operational
