Id,ClassNo,ClassName_ar,FXY,ElementName_ar,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_ar,noteIDs,Status
bufr4/0/15/001,15,المكونات الفيزيائية/الكيميائية,015001,الأوزون الكلي,DU,0,0,10,DU,0,4,,,Operational
bufr4/0/15/002,15,المكونات الفيزيائية/الكيميائية,015002,كتلة الهواء (المسار المائل عند 22 كم),Numeric,2,0,10,Numeric,2,3,,,Operational
bufr4/0/15/003,15,المكونات الفيزيائية/الكيميائية,015003,الضغط الجزئي للأوزون المقاس (التسجيل الصوتي),Pa,4,0,9,nbar,0,3,"Certainly! Please provide the text you would like me to translate, along with the glossary terms and any translation memory examples you have. I'll ensure the translation adheres to your instructions.",1,Operational
bufr4/0/15/004,15,المكونات الفيزيائية/الكيميائية,015004,عامل تصحيح قياس الأوزون (CF),Numeric,3,0,11,Numeric,3,4,"Certainly! Please provide the text you would like me to translate, along with any glossary terms or translation memory examples you'd like me to follow.",2,Operational
bufr4/0/15/005,15,المكونات الفيزيائية/الكيميائية,015005,Certainly! Could you please provide the glossary terms and translation memory examples so I can ensure the translation aligns perfectly with your requirements?,DU,0,0,10,DU,0,3,"Certainly! Please provide the text you'd like me to translate, along with the glossary terms and translation memory examples if applicable.",3,Operational
bufr4/0/15/006,15,المكونات الفيزيائية/الكيميائية,015006,اللوغاريتم العشري (Log10) لكثافة عدد الجزيئات في الغلاف الجوي,log(m-3),5,1800000,20,log(m-3),5,7,,,Operational
bufr4/0/15/007,15,المكونات الفيزيائية/الكيميائية,015007,المقدار المُقدّر للمكوّن الكيميائي,DU,2,0,16,DU,2,6,,,Operational
bufr4/0/15/008,15,المكونات الفيزيائية/الكيميائية,015008,معامل المزج الحجمي,Numeric,0,0,10,Numeric,0,4,,,Operational
bufr4/0/15/009,15,المكونات الفيزيائية/الكيميائية,015009,اللوغاريتم العشري (Log10) لكثافة عدد الأوزون,log(m-3),5,1200000,20,log(m-3),5,7,,,Operational
bufr4/0/15/011,15,المكونات الفيزيائية/الكيميائية,015011,اللوغاريتم العشري (Log10) لكثافة الإلكترونات المدمجة,log (m-2),3,14000,13,log (m-2),3,4,,,Operational
bufr4/0/15/012,15,المكونات الفيزيائية/الكيميائية,015012,إجمالي عدد الإلكترونات لكل متر مربع,m-2,-16,0,6,m-2,-16,2,,,Operational
bufr4/0/15/015,15,المكونات الفيزيائية/الكيميائية,015015,المكون الطيفي الأقصى للصورة قبل التطبيع,Numeric,0,0,31,Numeric,0,10,,,Operational
bufr4/0/15/020,15,المكونات الفيزيائية/الكيميائية,015020,الكثافة المتكاملة للأوزون,kg m-2,8,0,21,kg m-2,8,7,,,Operational
bufr4/0/15/021,15,المكونات الفيزيائية/الكيميائية,015021,الكثافة الكتلية المدمجة,kg m-2,11,0,31,kg m-2,11,10,,,Operational
bufr4/0/15/022,15,المكونات الفيزيائية/الكيميائية,015022,الكثافة الكتلية الممتدة المتكاملة,kg m-2,1,-100000000,31,kg m-2,1,10,,,Operational
bufr4/0/15/024,15,المكونات الفيزيائية/الكيميائية,015024,العمق البصري,Numeric,4,0,24,Numeric,4,8,,,Operational
bufr4/0/15/025,15,المكونات الفيزيائية/الكيميائية,015025,نوع الملوث,Code table,0,0,4,Code table,0,2,,,Operational
