Category,CategoryOfSequences_ar,FXY1,Title_ar,SubTitle_ar,FXY2,ElementName_ar,ElementDescription_ar,Note_ar,Status
15,تسلسلات تقارير علم المحيطات,D15001,(عادةً ما يتم الإبلاغ عن قياسات الأعماق تحت الماء دون الحقول الاختيارية),,B01011,معرّف السفينة أو محطة الأرض المتنقلة,إشارة نداء السفينة,,Operational
15,تسلسلات تقارير علم المحيطات,D15001,(عادةً ما يتم الإبلاغ عن قياسات الأعماق تحت الماء دون الحقول الاختيارية),,D01011,سنة، شهر، يوم,,,Operational
15,تسلسلات تقارير علم المحيطات,D15001,(عادةً ما يتم الإبلاغ عن قياسات الأعماق تحت الماء دون الحقول الاختيارية),,D01012,ساعة، دقيقة، ثانية,,,Operational
15,تسلسلات تقارير علم المحيطات,D15001,(عادةً ما يتم الإبلاغ عن قياسات الأعماق تحت الماء دون الحقول الاختيارية),,D01023,خط العرض/خط الطول (دقة عالية),,,Operational
15,تسلسلات تقارير علم المحيطات,D15001,(عادةً ما يتم الإبلاغ عن قياسات الأعماق تحت الماء دون الحقول الاختيارية),,D06001,العمق، درجة الحرارة,,,Operational
15,تسلسلات تقارير علم المحيطات,D15002,(عادةً ما يتم الإبلاغ عن قياسات الأعماق تحت الماء دون الحقول الاختيارية),,B01011,معرّف السفينة أو محطة الأرض المتنقلة,إشارة نداء السفينة,,Operational
15,تسلسلات تقارير علم المحيطات,D15002,(عادةً ما يتم الإبلاغ عن قياسات الأعماق تحت الماء دون الحقول الاختيارية),,D01011,سنة، شهر، يوم,,,Operational
15,تسلسلات تقارير علم المحيطات,D15002,(عادةً ما يتم الإبلاغ عن قياسات الأعماق تحت الماء دون الحقول الاختيارية),,D01012,ساعة، دقيقة، ثانية,,,Operational
15,تسلسلات تقارير علم المحيطات,D15002,(عادةً ما يتم الإبلاغ عن قياسات الأعماق تحت الماء دون الحقول الاختيارية),,D01023,خط العرض/خط الطول (دقة عالية),,,Operational
15,تسلسلات تقارير علم المحيطات,D15002,(عادةً ما يتم الإبلاغ عن قياسات الأعماق تحت الماء دون الحقول الاختيارية),,D06004,العمق، درجة الحرارة، الملوحة,,,Operational
15,تسلسلات تقارير علم المحيطات,D15004,بيانات تسلسل ملف درجة حرارة XBT,,B01079,معرّف فريد للملف الشخصي,سلسلة ست عشرية,,Operational
15,تسلسلات تقارير علم المحيطات,D15004,بيانات تسلسل ملف درجة حرارة XBT,,B01011,معرّف السفينة أو محطة الأرض المتنقلة,إشارة نداء السفينة,,Operational
15,تسلسلات تقارير علم المحيطات,D15004,بيانات تسلسل ملف درجة حرارة XBT,,B01103,رقم IMO. سجل Lloyd الفريد,= 0 إلى 9999999,,Operational
15,تسلسلات تقارير علم المحيطات,D15004,بيانات تسلسل ملف درجة حرارة XBT,,B01087,معرّف موسّع لمنصة المراقبة البحرية التابعة للمنظمة العالمية للأرصاد الجوية,,(انظر الملاحظة 3),Operational
15,تسلسلات تقارير علم المحيطات,D15004,بيانات تسلسل ملف درجة حرارة XBT,,B01019,اسم مختصر للمحطة أو الموقع,اسم السفينة,,Operational
15,تسلسلات تقارير علم المحيطات,D15004,بيانات تسلسل ملف درجة حرارة XBT,,B01080,رقم خط السفينة وفقًا لـ SOOP,,,Operational
15,تسلسلات تقارير علم المحيطات,D15004,بيانات تسلسل ملف درجة حرارة XBT,,B05036,رقم خط السفينة وفقًا لـ SOOP,,(انظر الملاحظة 3),Operational
15,تسلسلات تقارير علم المحيطات,D15004,بيانات تسلسل ملف درجة حرارة XBT,,B01036,الوكالة المسؤولة عن تشغيل منصة الرصد,,,Operational
15,تسلسلات تقارير علم المحيطات,D15004,بيانات تسلسل ملف درجة حرارة XBT,,B01013,سرعة حركة منصة الرصد المتحركة,,,Operational
15,تسلسلات تقارير علم المحيطات,D15004,بيانات تسلسل ملف درجة حرارة XBT,,B01012,سرعة حركة منصة الرصد المتحركة,,,Operational
15,تسلسلات تقارير علم المحيطات,D15004,بيانات تسلسل ملف درجة حرارة XBT,,D01011,سنة، شهر، يوم,,,Operational
15,تسلسلات تقارير علم المحيطات,D15004,بيانات تسلسل ملف درجة حرارة XBT,,D01012,ساعة، دقيقة، ثانية,,,Operational
15,تسلسلات تقارير علم المحيطات,D15004,بيانات تسلسل ملف درجة حرارة XBT,,D01021,خط العرض/خط الطول (دقة عالية),,,Operational
