Category,CategoryOfSequences_ar,FXY1,Title_ar,SubTitle_ar,FXY2,ElementName_ar,ElementDescription_ar,Note_ar,Status
18,تسلسلات التقرير الإشعاعي,D18001,,,D01025,خط العرض/خط الطول (دقة عالية),,,Operational
18,تسلسلات التقرير الإشعاعي,D18001,,,B24011,جرعة,,,Operational
18,تسلسلات التقرير الإشعاعي,D18003,,,D01026,خط العرض/خط الطول (دقة عالية),,,Operational
18,تسلسلات التقرير الإشعاعي,D18003,,,B24005,كتلة النظير,,,Operational
18,تسلسلات التقرير الإشعاعي,D18003,,,B24004,اسم العنصر,,,Operational
18,تسلسلات التقرير الإشعاعي,D18003,,,B24021,تركيز الهواء (لنوع النظير المحدد بما في ذلك بيتا الإجمالي),,,Operational
18,تسلسلات التقرير الإشعاعي,D18004,,,D01025,خط العرض/خط الطول (دقة عالية),,,Operational
18,تسلسلات التقرير الإشعاعي,D18004,,,B04023,فترة زمنية أو إزاحة,,,Operational
18,تسلسلات التقرير الإشعاعي,D18004,,,B13011,إجمالي الهطول/إجمالي مكافئ الماء,,,Operational
18,تسلسلات التقرير الإشعاعي,D18004,,,B24005,كتلة النظير,,,Operational
18,تسلسلات التقرير الإشعاعي,D18004,,,B24004,اسم العنصر,,,Operational
18,تسلسلات التقرير الإشعاعي,D18004,,,B24022,التركيز في الترسيب (لنوع النظير المحدد),,,Operational
