Category,CategoryOfSequences_ar,FXY1,Title_ar,SubTitle_ar,FXY2,ElementName_ar,ElementDescription_ar,Note_ar,Status,translated_by
22,التسلسلات الكيميائية والهبائية,D22028,(ميتوب GOME-2),,B01007,معرّف القمر الصناعي، الأداة ونوع المنتج,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,التسلسلات الكيميائية والهبائية,D22028,(ميتوب GOME-2),,B02019,أدوات الأقمار الصناعية,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,التسلسلات الكيميائية والهبائية,D22028,(ميتوب GOME-2),,B04001,سنة,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,التسلسلات الكيميائية والهبائية,D22028,(ميتوب GOME-2),,B04002,شهر,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,التسلسلات الكيميائية والهبائية,D22028,(ميتوب GOME-2),,B04003,يوم,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,التسلسلات الكيميائية والهبائية,D22028,(ميتوب GOME-2),,B04004,ساعة,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,التسلسلات الكيميائية والهبائية,D22028,(ميتوب GOME-2),,B04005,دقيقة,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,التسلسلات الكيميائية والهبائية,D22028,(ميتوب GOME-2),,B04006,ثاني,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,التسلسلات الكيميائية والهبائية,D22028,(ميتوب GOME-2),,B05001,خط العرض/خط الطول (دقة عالية),,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,التسلسلات الكيميائية والهبائية,D22028,(ميتوب GOME-2),,B06001,خط العرض/خط الطول (دقة عالية),,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,التسلسلات الكيميائية والهبائية,D22028,(ميتوب GOME-2),,B27001,خط العرض/خط الطول (دقة عالية),,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,التسلسلات الكيميائية والهبائية,D22028,(ميتوب GOME-2),,B28001,خط العرض/خط الطول (دقة عالية),,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,التسلسلات الكيميائية والهبائية,D22028,(ميتوب GOME-2),,B27001,خط العرض/خط الطول (دقة عالية),,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,التسلسلات الكيميائية والهبائية,D22028,(ميتوب GOME-2),,B28001,خط العرض/خط الطول (دقة عالية),,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,التسلسلات الكيميائية والهبائية,D22028,(ميتوب GOME-2),,B27001,خط العرض/خط الطول (دقة عالية),,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,التسلسلات الكيميائية والهبائية,D22028,(ميتوب GOME-2),,B28001,خط العرض/خط الطول (دقة عالية),,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,التسلسلات الكيميائية والهبائية,D22028,(ميتوب GOME-2),,B27001,خط العرض/خط الطول (دقة عالية),,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,التسلسلات الكيميائية والهبائية,D22028,(ميتوب GOME-2),,B28001,خط العرض/خط الطول (دقة عالية),,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,التسلسلات الكيميائية والهبائية,D22028,(ميتوب GOME-2),,B10001,ارتفاع سطح الأرض,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,التسلسلات الكيميائية والهبائية,D22028,(ميتوب GOME-2),,B14019,البياض السطحي,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,التسلسلات الكيميائية والهبائية,D22028,(ميتوب GOME-2),,B07025,سمت الشمس,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,التسلسلات الكيميائية والهبائية,D22028,(ميتوب GOME-2),,B10080,زاوية السمت للرؤية أو زاوية السمت الشمسية خارج النطاق,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,التسلسلات الكيميائية والهبائية,D22028,(ميتوب GOME-2),,B05023,فرق سمت الشمس والقمر الصناعي,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,التسلسلات الكيميائية والهبائية,D22028,(ميتوب GOME-2),,B20010,الغطاء السحابي (الإجمالي),,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,التسلسلات الكيميائية والهبائية,D22028,(ميتوب GOME-2),,B08003,الأهمية الرأسية (ملاحظات الأقمار الصناعية),,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,التسلسلات الكيميائية والهبائية,D22028,(ميتوب GOME-2),,B07004,ضغط,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,التسلسلات الكيميائية والهبائية,D22028,(ميتوب GOME-2),,B14026,البياض عند قمة السحب,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,التسلسلات الكيميائية والهبائية,D22028,(ميتوب GOME-2),,B20014,ارتفاع قمة السحابة,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,التسلسلات الكيميائية والهبائية,D22028,(ميتوب GOME-2),,B13093,سمك السحب البصري,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,التسلسلات الكيميائية والهبائية,D22028,(ميتوب GOME-2),,R05000,تكرار متأخر لـ 6 أوصاف,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,التسلسلات الكيميائية والهبائية,D22028,(ميتوب GOME-2),,B07004,ضغط,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,التسلسلات الكيميائية والهبائية,D22028,(ميتوب GOME-2),,B07004,ضغط,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,التسلسلات الكيميائية والهبائية,D22028,(ميتوب GOME-2),,B08043,نوع المكون الكيميائي أو الفيزيائي الجوي,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,التسلسلات الكيميائية والهبائية,D22028,(ميتوب GOME-2),,B08044,رقم تسجيل CAS,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,التسلسلات الكيميائية والهبائية,D22028,(ميتوب GOME-2),,B15021,الكثافة الكتلية المتكاملة,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
