Id,FXY,ElementName_ar,CodeFigure,EntryName_ar,EntryName_sub1_ar,EntryName_sub2_ar,Note_ar,noteIDs,Status
bufr4/0/10/063/0,010063,خاصية اتجاه الضغط,0,يزداد ثم ينخفض؛ الضغط الجوي نفسه أو أعلى مما كان عليه قبل ثلاث ساعات,,,,,Operational
bufr4/0/10/063/1,010063,خاصية اتجاه الضغط,1,متزايد، ثم ثابت؛ أو متزايد، ثم يتزايد ببطء أكثر,يزداد ثم ينخفض؛ الضغط الجوي نفسه أو أعلى مما كان عليه قبل ثلاث ساعات,,,,Operational
bufr4/0/10/063/2,010063,خاصية اتجاه الضغط,2,متزايد، ثم ثابت؛ أو متزايد، ثم يتزايد ببطء أكثر,يزداد ثم ينخفض؛ الضغط الجوي نفسه أو أعلى مما كان عليه قبل ثلاث ساعات,,,,Operational
bufr4/0/10/063/3,010063,خاصية اتجاه الضغط,3,متزايد، ثم ثابت؛ أو متزايد، ثم يتزايد ببطء أكثر,يزداد ثم ينخفض؛ الضغط الجوي نفسه أو أعلى مما كان عليه قبل ثلاث ساعات,,,,Operational
bufr4/0/10/063/4,010063,خاصية اتجاه الضغط,4,ثابت؛ الضغط الجوي نفسه كما كان قبل ثلاث ساعات,,,,,Operational
bufr4/0/10/063/5,010063,خاصية اتجاه الضغط,5,يزداد ثم ينخفض؛ الضغط الجوي نفسه أو أعلى مما كان عليه قبل ثلاث ساعات,,,,,Operational
bufr4/0/10/063/6,010063,خاصية اتجاه الضغط,6,متزايد، ثم ثابت؛ أو متزايد، ثم يتزايد ببطء أكثر,ثابت؛ الضغط الجوي نفسه كما كان قبل ثلاث ساعات,,,,Operational
bufr4/0/10/063/7,010063,خاصية اتجاه الضغط,7,يتناقص (بثبات أو بعدم ثبات),ثابت؛ الضغط الجوي نفسه كما كان قبل ثلاث ساعات,,,,Operational
bufr4/0/10/063/8,010063,خاصية اتجاه الضغط,8,متزايد، ثم ثابت؛ أو متزايد، ثم يتزايد ببطء أكثر,ثابت؛ الضغط الجوي نفسه كما كان قبل ثلاث ساعات,,,,Operational
bufr4/0/10/063/9-14,010063,خاصية اتجاه الضغط,9-14,محجوز,,,,,Operational
bufr4/0/10/063/15,010063,خاصية اتجاه الضغط,15,القيمة المفقودة,,,,,Operational
bufr4/0/10/064/0,010064,مستوى الطيران SIGMET,0,دون سرعة الصوت,,,,,Operational
bufr4/0/10/064/1,010064,مستوى الطيران SIGMET,1,عبر صوتي,,,,,Operational
bufr4/0/10/064/2,010064,مستوى الطيران SIGMET,2,فوق سرعة الصوت,,,,,Operational
bufr4/0/10/064/3-6,010064,مستوى الطيران SIGMET,3-6,محجوز,,,,,Operational
bufr4/0/10/064/7,010064,مستوى الطيران SIGMET,7,القيمة المفقودة,,,,,Operational
