Id,FXY,ElementName_ar,CodeFigure,EntryName_ar,EntryName_sub1_ar,EntryName_sub2_ar,Note_ar,noteIDs,Status,translated_by
bufr4/0/13/038/0,013038,مؤشر فوق أدياباتي.,0,غير فائقة الأدياباتية,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/13/038/1,013038,مؤشر فوق أدياباتي.,1,غير فائقة الأدياباتية,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/13/038/2,013038,مؤشر فوق أدياباتي.,2,محجوز,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/13/038/3,013038,مؤشر فوق أدياباتي.,3,القيمة المفقودة,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/13/039/0,013039,نوع التضاريس (جليد/ثلج),0,الجليد البحري,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/13/039/1,013039,نوع التضاريس (جليد/ثلج),1,ثلج,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/13/039/2-6,013039,نوع التضاريس (جليد/ثلج),2-6,محجوز,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/13/039/7,013039,نوع التضاريس (جليد/ثلج),7,القيمة المفقودة,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/13/040/0,013040,علم السطح,0,أرض,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/13/040/1,013040,علم السطح,1,محجوز,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/13/040/2,013040,علم السطح,2,ساحل,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/13/040/3,013040,علم السطح,3,وضع الجليد,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/13/040/4,013040,علم السطح,4,وضع الجليد,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/13/040/5,013040,علم السطح,5,بحر,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/13/040/6,013040,علم السطح,6,ساحل,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/13/040/7,013040,علم السطح,7,المياه الداخلية,,,(انظر الملاحظة),56,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/13/040/8,013040,علم السطح,8,غطاء ثلجي,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/13/040/9,013040,علم السطح,9,الجليد البحري,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/13/040/10,013040,علم السطح,10,المياه الراكدة,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/13/040/11,013040,علم السطح,11,ثلج,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/13/040/12,013040,علم السطح,12,تربة متجمدة,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/13/040/13-14,013040,علم السطح,13-14,محجوز,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/13/040/15,013040,علم السطح,15,القيمة المفقودة,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
