Id,Category,CategoryOfSequences_ar,FXY1,Title_ar,SubTitle_ar,FXY2,ElementName_ar,ElementDescription_ar,Note_ar,noteIDs,Status
bufr4/3/03/001/1/007003,03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,303001,,,007003,الجهد الجغرافي,,,,Operational
bufr4/3/03/001/2/011001,03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,303001,,,011001,اتجاه الرياح,,,,Operational
bufr4/3/03/001/3/011002,03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,303001,,,011002,سرعة الرياح,,,,Operational
bufr4/3/03/002/1/007004,03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,303002,الرياح عند مستوى الضغط,,007004,ضغط,,,,Operational
bufr4/3/03/002/2/011001,03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,303002,الرياح عند مستوى الضغط,,011001,اتجاه الرياح,,,,Operational
bufr4/3/03/002/3/011002,03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,303002,الرياح عند مستوى الضغط,,011002,سرعة الرياح,,,,Operational
bufr4/3/03/003/1/007004,03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,303003,,,007004,ضغط,,,,Operational
bufr4/3/03/003/2/010003,03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,303003,,,010003,الجهد الجغرافي,,,,Operational
bufr4/3/03/003/3/012001,03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,303003,,,012001,درجة الحرارة/درجة حرارة الهواء,,,,Operational
bufr4/3/03/003/4/012003,03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,303003,,,012003,درجة حرارة نقطة الندى,,,,Operational
bufr4/3/03/004/1/007004,03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,303004,,,007004,ضغط,,,,Operational
bufr4/3/03/004/2/010003,03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,303004,,,010003,الجهد الجغرافي,,,,Operational
bufr4/3/03/004/3/012001,03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,303004,,,012001,درجة الحرارة/درجة حرارة الهواء,,,,Operational
bufr4/3/03/004/4/012003,03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,303004,,,012003,درجة حرارة نقطة الندى,,,,Operational
bufr4/3/03/004/5/011001,03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,303004,,,011001,اتجاه الرياح,,,,Operational
bufr4/3/03/004/6/011002,03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,303004,,,011002,سرعة الرياح,,,,Operational
bufr4/3/03/011/1/007003,03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,303011,الرياح عند الارتفاع,,007003,الجهد الجغرافي,,,,Operational
bufr4/3/03/011/2/008001,03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,303011,الرياح عند الارتفاع,,008001,أهمية السبر الرأسي,,,,Operational
bufr4/3/03/011/3/011001,03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,303011,الرياح عند الارتفاع,,011001,اتجاه الرياح,,,,Operational
bufr4/3/03/011/4/011002,03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,303011,الرياح عند الارتفاع,,011002,سرعة الرياح,,,,Operational
bufr4/3/03/012/1/007004,03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,303012,الرياح عند مستوى الضغط,,007004,ضغط,,,,Operational
bufr4/3/03/012/2/008001,03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,303012,الرياح عند مستوى الضغط,,008001,أهمية السبر الرأسي,,,,Operational
bufr4/3/03/012/3/011001,03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,303012,الرياح عند مستوى الضغط,,011001,اتجاه الرياح,,,,Operational
bufr4/3/03/012/4/011002,03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,303012,الرياح عند مستوى الضغط,,011002,سرعة الرياح,,,,Operational
bufr4/3/03/013/1/007004,03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,303013,(الجيوبوتينشال، درجة الحرارة، الرطوبة، الرياح عند مستوى الضغط),,007004,ضغط,,,,Operational
bufr4/3/03/013/2/008001,03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,303013,(الجيوبوتينشال، درجة الحرارة، الرطوبة، الرياح عند مستوى الضغط),,008001,أهمية السبر الرأسي,,,,Operational
