Id,FXY,ElementName_ar,CodeFigure,EntryName_ar,EntryName_sub1_ar,EntryName_sub2_ar,Note_ar,noteIDs,Status,translated_by
bufr4/0/11/030/0,011030,درجة الاضطراب الممتدة,0,لا شيء,في السحابة,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/11/030/1,011030,درجة الاضطراب الممتدة,1,ضوء,في السحابة,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/11/030/2,011030,درجة الاضطراب الممتدة,2,معتدل,في السحابة,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/11/030/3,011030,درجة الاضطراب الممتدة,3,شديد,في السحابة,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/11/030/4,011030,درجة الاضطراب الممتدة,4,لا شيء,في الهواء النقي,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/11/030/5,011030,درجة الاضطراب الممتدة,5,ضوء,في الهواء النقي,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/11/030/6,011030,درجة الاضطراب الممتدة,6,معتدل,في الهواء النقي,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/11/030/7,011030,درجة الاضطراب الممتدة,7,شديد,في الهواء النقي,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/11/030/8,011030,درجة الاضطراب الممتدة,8,لا شيء,السحاب/الهواء الصافي غير محدد,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/11/030/9,011030,درجة الاضطراب الممتدة,9,ضوء,السحاب/الهواء الصافي غير محدد,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/11/030/10,011030,درجة الاضطراب الممتدة,10,معتدل,السحاب/الهواء الصافي غير محدد,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/11/030/11,011030,درجة الاضطراب الممتدة,11,شديد,السحاب/الهواء الصافي غير محدد,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/11/030/12,011030,درجة الاضطراب الممتدة,12,شديد، في هواء صافٍ,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/11/030/13,011030,درجة الاضطراب الممتدة,13,شديد، في السحابة,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/11/030/14,011030,درجة الاضطراب الممتدة,14,السحاب/الهواء الصافي غير محدد,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/11/030/15,011030,درجة الاضطراب الممتدة,15,خفيف، معتدل معزول,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/11/030/16,011030,درجة الاضطراب الممتدة,16,خفيف، معتدل عرضي,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/11/030/17,011030,درجة الاضطراب الممتدة,17,خفيف، معتدل عرضي,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/11/030/18,011030,درجة الاضطراب الممتدة,18,معتدل، شديد معزول,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/11/030/19,011030,درجة الاضطراب الممتدة,19,معتدل، شديد معزول,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/11/030/20,011030,درجة الاضطراب الممتدة,20,معتدل، شديد معزول,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/11/030/21,011030,درجة الاضطراب الممتدة,21,معتدل، شديد معزول,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/11/030/22,011030,درجة الاضطراب الممتدة,22,شديد، أحيانًا شديد للغاية,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/11/030/23,011030,درجة الاضطراب الممتدة,23,شديد، أحيانًا شديد للغاية,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/11/030/24-62,011030,درجة الاضطراب الممتدة,24-62,محجوز,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/11/030/63,011030,درجة الاضطراب الممتدة,63,القيمة المفقودة,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/11/031/0,011031,درجة الاضطراب الممتدة,0,لا شيء,في السحابة,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/11/031/1,011031,درجة الاضطراب الممتدة,1,ضوء,في السحابة,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/11/031/2,011031,درجة الاضطراب الممتدة,2,معتدل,في السحابة,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/11/031/3,011031,درجة الاضطراب الممتدة,3,شديد,في السحابة,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
