Category,CategoryOfSequences_ar,FXY1,Title_ar,SubTitle_ar,FXY2,ElementName_ar,ElementDescription_ar,Note_ar,Status
05,تسلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,D05001,(القياس الفردي لـ SADC-HYCOS),,B11001,اتجاه الرياح,,,Operational
05,تسلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,D05001,(القياس الفردي لـ SADC-HYCOS),,B11002,سرعة الرياح,,,Operational
05,تسلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,D05001,(القياس الفردي لـ SADC-HYCOS),,B13060,إجمالي الهطول المتراكم,,,Operational
05,تسلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,D05001,(القياس الفردي لـ SADC-HYCOS),,B13071,مستوى المياه في المنبع,,,Operational
05,تسلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,D05002,القياس البيئي لـ SADC-HYCOS,,D01012,ساعة، دقيقة، ثانية,,,Operational
05,تسلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,D05002,القياس البيئي لـ SADC-HYCOS,,B12001,درجة الحرارة/درجة حرارة الهواء,,,Operational
05,تسلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,D05002,القياس البيئي لـ SADC-HYCOS,,B13003,الرطوبة النسبية,,,Operational
05,تسلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,D05002,القياس البيئي لـ SADC-HYCOS,,B14051,الإشعاع الشمسي المباشر المتكامل على مدار الساعة الماضية,,,Operational
05,تسلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,D05002,القياس البيئي لـ SADC-HYCOS,,B13060,إجمالي الهطول المتراكم,,,Operational
05,تسلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,D05002,القياس البيئي لـ SADC-HYCOS,,B13072,مستوى المياه في المنبع,,,Operational
05,تسلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,D05002,القياس البيئي لـ SADC-HYCOS,,B13080,درجة حموضة الماء,,,Operational
05,تسلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,D05002,القياس البيئي لـ SADC-HYCOS,,B13081,موصلية الماء,,,Operational
05,تسلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,D05002,القياس البيئي لـ SADC-HYCOS,,B13082,درجة حرارة الماء,,,Operational
05,تسلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,D05002,القياس البيئي لـ SADC-HYCOS,,B13083,الأكسجين المذاب,,,Operational
05,تسلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,D05002,القياس البيئي لـ SADC-HYCOS,,B13084,العكارة,,,Operational
05,تسلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,D05003,(القياس الفردي لـ SADC-HYCOS),,D01012,ساعة، دقيقة، ثانية,أول قياس فردي ناقص الزيادة,,Operational
05,تسلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,D05003,(القياس الفردي لـ SADC-HYCOS),,B04065,زيادة زمنية قصيرة,الفترة الزمنية بين القياسات,,Operational
05,تسلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,D05003,(القياس الفردي لـ SADC-HYCOS),,R01000,تكرار متأخر لـ 6 أوصاف,,,Operational
05,تسلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,D05003,(القياس الفردي لـ SADC-HYCOS),,D05001,(القياس الفردي لـ SADC-HYCOS),,,Operational
05,تسلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,D05004,تقرير SADC-HYCOS,,D01030,التعريف - مع الموقع الفعلي,,,Operational
05,تسلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,D05004,تقرير SADC-HYCOS,,D05002,القياس البيئي لـ SADC-HYCOS,,,Operational
05,تسلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,D05004,تقرير SADC-HYCOS,,D05003,(القياس الفردي لـ SADC-HYCOS),,,Operational
05,تسلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,D05006,(القياس لـ MEDHYCOS),,B13072,مستوى المياه في المنبع,,,Operational
05,تسلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,D05006,(القياس لـ MEDHYCOS),,B13082,درجة حرارة الماء,,,Operational
05,تسلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,D05006,(القياس لـ MEDHYCOS),,B13019,إجمالي الهطول خلال الساعة الماضية,,,Operational
05,تسلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,D05006,(القياس لـ MEDHYCOS),,C07005,استبدال الوحدات,كلفن,,Operational
05,تسلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,D05006,(القياس لـ MEDHYCOS),,C01004,استبدال عرض البيانات,طولها 4 أحرف,,Operational
05,تسلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,D05006,(القياس لـ MEDHYCOS),,B12001,درجة الحرارة/درجة حرارة الهواء,,,Operational
05,تسلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,D05006,(القياس لـ MEDHYCOS),,B13073,الحد الأقصى لمستوى المياه,,,Operational
05,تسلسلات الأرصاد الجوية أو الهيدرولوجية الشائعة في الملاحظات الهيدرولوجية,D05006,(القياس لـ MEDHYCOS),,B13060,إجمالي الهطول المتراكم,,,Operational
