Id,ClassNo,ClassName_ar,FXY,ElementName_ar,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_ar,noteIDs,Status
bufr4/0/02/001,02,أجهزة القياس والتحكم,002001,نوع المحطة,Code table,0,0,2,Code table,0,1,,,Operational
bufr4/0/02/002,02,أجهزة القياس والتحكم,002002,نوع الأدوات لقياس الرياح,Flag table,0,0,4,Flag table,0,2,,,Operational
bufr4/0/02/003,02,الأجهزة الدقيقة,002003,نوع معدات القياس المستخدمة,Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/02/004,02,أجهزة القياس والتحكم,002004,نوع الأجهزة المستخدمة لقياس التبخر أو نوع المحصول الذي يتم الإبلاغ عن التبخر-النتح له,Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/02/005,02,الأجهزة الدقيقة,002005,دقة مراقبة درجة الحرارة,K,2,0,7,K,2,3,,,Operational
bufr4/0/02/006,02,الأجهزة الدقيقة,002006,أداة استشعار عن بعد للهواء العلوي النوع,Code table,0,0,6,Code table,0,0,,,Operational
bufr4/0/02/007,02,الأجهزة الدقيقة,002007,نوع المستشعر لأداة قياس مستوى المياه,Code table,0,0,6,Code table,0,2,,,Operational
bufr4/0/02/008,02,الأجهزة الدقيقة,002008,نوع المنصة البحرية,Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/02/009,02,أجهزة القياس والتحكم,002009,خوارزمية الهباء الجوي MODIS,Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/02/011,02,أجهزة القياس والتحكم,002011,نوع راديوسوندي,Code table,0,0,8,Code table,0,3,,,Operational
bufr4/0/02/012,02,الأجهزة الدقيقة,002012,طريقة حساب الراديوسوندي,Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/02/013,02,الأجهزة الدقيقة,002013,تصحيح الإشعاع الشمسي والأشعة تحت الحمراء,Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/02/014,02,أجهزة القياس والتحكم,002014,تقنية التتبع/حالة النظام المستخدم,Code table,0,0,7,Code table,0,3,,,Operational
bufr4/0/02/015,02,الأجهزة الدقيقة,002015,اكتمال الراديوسوندي,Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/02/016,02,أجهزة القياس والتحكم,002016,تكوين الراديوسوندي,Flag table,0,0,5,Flag table,0,2,,,Operational
bufr4/0/02/017,02,الأجهزة الدقيقة,002017,خوارزميات التصحيح لقياسات الرطوبة,Code table,0,0,5,Code table,0,2,,,Operational
bufr4/0/02/019,02,الأجهزة الدقيقة,002019,أدوات الأقمار الصناعية,Code table,0,0,11,Code table,0,4,,,Operational
bufr4/0/02/020,02,الأجهزة الدقيقة,002020,تصنيف الأقمار الصناعية,Code table,0,0,9,Code table,0,3,,,Operational
bufr4/0/02/021,02,الأجهزة الدقيقة,002021,بيانات أدوات الأقمار الصناعية المستخدمة في المعالجة,Flag table,0,0,9,Flag table,0,3,(انظر الملاحظة 8),47,Operational
bufr4/0/02/022,02,أجهزة القياس والتحكم,002022,تقنية معالجة البيانات الساتلية المستخدمة,Flag table,0,0,8,Flag table,0,3,,,Operational
bufr4/0/02/023,02,الأجهزة الدقيقة,002023,طريقة حساب الرياح باستخدام الأقمار الصناعية,Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/02/024,02,أجهزة القياس والتحكم,002024,طريقة حساب الرطوبة المتوسطة المتكاملة,Code table,0,0,4,Code table,0,2,,,Operational
