Category,CategoryOfSequences_ar,FXY1,Title_ar,SubTitle_ar,FXY2,ElementName_ar,ElementDescription_ar,Note_ar,Status
07,تسلسلات تقارير السطح (البحر),D07001,محطة منخفضة الارتفاع,,D01031,التعريف ونوع المحطة، التاريخ/الوقت، الموقع (دقة عالية)، الحركة,,,Operational
07,تسلسلات تقارير السطح (البحر),D07001,محطة منخفضة الارتفاع,,D02011,محطة منخفضة الارتفاع,تقرير سطح أساسي,,Operational
07,تسلسلات تقارير السطح (البحر),D07002,محطة منخفضة الارتفاع,,D01032,التعريف ونوع المحطة، التاريخ/الوقت، الموقع (دقة عالية)، الحركة,,,Operational
07,تسلسلات تقارير السطح (البحر),D07002,محطة منخفضة الارتفاع,,D02011,محطة منخفضة الارتفاع,تقرير سطح أساسي,,Operational
07,تسلسلات تقارير السطح (البحر),D07003,محطة منخفضة الارتفاع,,D07001,محطة منخفضة الارتفاع,الموقع (دقة عالية) وتقرير أساسي,,Operational
07,تسلسلات تقارير السطح (البحر),D07003,محطة منخفضة الارتفاع,,R01000,تكرار متأخر لـ 6 أوصاف,,,Operational
07,تسلسلات تقارير السطح (البحر),D07003,محطة منخفضة الارتفاع,,D02005,طبقة السحابة,,,Operational
07,تسلسلات تقارير السطح (البحر),D07004,محطة منخفضة الارتفاع,,D07002,محطة منخفضة الارتفاع,الموقع (دقة عالية) وتقرير أساسي,,Operational
07,تسلسلات تقارير السطح (البحر),D07004,محطة منخفضة الارتفاع,,R01000,تكرار متأخر لـ 6 أوصاف,,,Operational
07,تسلسلات تقارير السطح (البحر),D07004,محطة منخفضة الارتفاع,,D02005,طبقة السحابة,,,Operational
07,تسلسلات تقارير السطح (البحر),D07005,محطة منخفضة الارتفاع,,D07001,محطة منخفضة الارتفاع,الموقع (دقة عالية) وتقرير أساسي,,Operational
07,تسلسلات تقارير السطح (البحر),D07005,محطة منخفضة الارتفاع,,R01004,كرر 5 أوصاف مرتين,,,Operational
