Id,Category,CategoryOfSequences_ar,FXY1,Title_ar,SubTitle_ar,FXY2,ElementName_ar,ElementDescription_ar,Note_ar,noteIDs,Status
bufr4/3/11/001/1/301051,11,تسلسلات التقارير ذات المستوى الواحد (البيانات التقليدية),311001,تقرير الطائرة,,301051,(رقم الرحلة، نظام الملاحة، التاريخ/الوقت، الموقع، مرحلة الطيران),أسدار,,,Operational
bufr4/3/11/001/2/007002,11,تسلسلات التقارير ذات المستوى الواحد (البيانات التقليدية),311001,تقرير الطائرة,,007002,الارتفاع أو العلو,,,,Operational
bufr4/3/11/001/3/012001,11,تسلسلات التقارير ذات المستوى الواحد (البيانات التقليدية),311001,تقرير الطائرة,,012001,درجة الحرارة/درجة حرارة الهواء,,,,Operational
bufr4/3/11/001/4/011001,11,تسلسلات التقارير ذات المستوى الواحد (البيانات التقليدية),311001,تقرير الطائرة,,011001,اتجاه الرياح,,,,Operational
bufr4/3/11/001/5/011002,11,تسلسلات التقارير ذات المستوى الواحد (البيانات التقليدية),311001,تقرير الطائرة,,011002,سرعة الرياح,,,,Operational
bufr4/3/11/001/6/011031,11,تسلسلات التقارير ذات المستوى الواحد (البيانات التقليدية),311001,تقرير الطائرة,,011031,درجة الاضطراب الممتدة,,,,Operational
bufr4/3/11/001/7/011032,11,تسلسلات التقارير ذات المستوى الواحد (البيانات التقليدية),311001,تقرير الطائرة,,011032,ارتفاع قاعدة الاضطراب,,,,Operational
bufr4/3/11/001/8/011033,11,تسلسلات التقارير ذات المستوى الواحد (البيانات التقليدية),311001,تقرير الطائرة,,011033,ارتفاع قاعدة الاضطراب,,,,Operational
bufr4/3/11/001/9/020041,11,تسلسلات التقارير ذات المستوى الواحد (البيانات التقليدية),311001,تقرير الطائرة,,020041,تكوّن الجليد على هيكل الطائرة,,,,Operational
bufr4/3/11/002/1/301065,11,تسلسلات التقارير ذات المستوى الواحد (البيانات التقليدية),311002,تقارير ACARS,,301065,(تحديد ACARS),,,,Operational
bufr4/3/11/002/2/301066,11,تسلسلات التقارير ذات المستوى الواحد (البيانات التقليدية),311002,تقارير ACARS,,301066,(موقع ACARS),,,,Operational
bufr4/3/11/002/3/311003,11,تسلسلات التقارير ذات المستوى الواحد (البيانات التقليدية),311002,تقارير ACARS,,311003,المتغيرات المبلغ عنها وفق معيار ACARS,,,,Operational
bufr4/3/11/002/4/311004,11,تسلسلات التقارير ذات المستوى الواحد (البيانات التقليدية),311002,تقارير ACARS,,311004,المتغيرات المبلغ عنها وفق معيار ACARS,,,,Operational
bufr4/3/11/003/1/010070,11,تسلسلات التقارير ذات المستوى الواحد (البيانات التقليدية),311003,المتغيرات المبلغ عنها وفق معيار ACARS,,010070,ارتفاع الطائرة المحدد,,,,Operational
bufr4/3/11/003/2/011001,11,تسلسلات التقارير ذات المستوى الواحد (البيانات التقليدية),311003,المتغيرات المبلغ عنها وفق معيار ACARS,,011001,اتجاه الرياح,,,,Operational
bufr4/3/11/003/3/011002,11,تسلسلات التقارير ذات المستوى الواحد (البيانات التقليدية),311003,المتغيرات المبلغ عنها وفق معيار ACARS,,011002,سرعة الرياح,,,,Operational
bufr4/3/11/003/4/012001,11,تسلسلات التقارير ذات المستوى الواحد (البيانات التقليدية),311003,المتغيرات المبلغ عنها وفق معيار ACARS,,012001,درجة الحرارة/درجة حرارة الهواء,,,,Operational
bufr4/3/11/003/5/013002,11,تسلسلات التقارير ذات المستوى الواحد (البيانات التقليدية),311003,المتغيرات المبلغ عنها وفق معيار ACARS,,013002,نسبة الخلط,,,,Operational
bufr4/3/11/004/1/101000,11,تسلسلات التقارير ذات المستوى الواحد (البيانات التقليدية),311004,المتغيرات المبلغ عنها وفق معيار ACARS,,101000,تكرار متأخر لـ 6 أوصاف,,,,Operational
bufr4/3/11/004/2/031000,11,تسلسلات التقارير ذات المستوى الواحد (البيانات التقليدية),311004,المتغيرات المبلغ عنها وفق معيار ACARS,,031000,عامل تكرار الأوصاف المتأخر,,,,Operational
bufr4/3/11/004/3/011034,11,تسلسلات التقارير ذات المستوى الواحد (البيانات التقليدية),311004,المتغيرات المبلغ عنها وفق معيار ACARS,,011034,سرعة الهبات الرأسية,,,,Operational
bufr4/3/11/004/4/101000,11,تسلسلات التقارير ذات المستوى الواحد (البيانات التقليدية),311004,المتغيرات المبلغ عنها وفق معيار ACARS,,101000,تكرار متأخر لـ 6 أوصاف,,,,Operational
