Id,ClassNo,ClassName_zn,FXY,ElementName_zn,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_zn,noteIDs,Status,translated_by
bufr4/0/01/001,01,识别,001001,WMO 块号,Numeric,0,0,7,Numeric,0,2,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/002,01,识别,001002,WMO站号,Numeric,0,0,10,Numeric,0,3,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/003,01,识别,001003,WMO 区域编号/地理区域,Code table,0,0,3,Code table,0,1,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/004,01,识别,001004,WMO 区域编号/地理区域,Numeric,0,0,3,Numeric,0,1,（参见注释 3）,42,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/005,01,识别,001005,浮标/平台标识符,Numeric,0,0,17,Numeric,0,5,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/006,01,识别,001006,航班号,CCITT IA5,0,0,64,Character,0,8,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/007,01,识别,001007,卫星子标识符,Code table,0,0,10,Code table,0,4,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/008,01,识别,001008,航空器注册号或其他识别标志,CCITT IA5,0,0,64,Character,0,8,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/009,01,识别,001009,商用飞机类型,CCITT IA5,0,0,64,Character,0,8,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/01/010,01,识别,001010,固定浮标平台标识符；例如 C-MAN 浮标,CCITT IA5,0,0,64,Character,0,8,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/01/011,01,识别,001011,船舶或移动陆地站标识符,CCITT IA5,0,0,72,Character,0,9,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/012,01,识别,001012,移动观察平台的运动速度,degree true,0,0,9,degree true,0,3,（参见注释 3 和 4）,"125,60",Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/013,01,识别,001013,移动观察平台的运动速度,m/s,0,0,10,m/s,0,3,（参见注释 3 和 4）,"60,125",Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/014,01,识别,001014,平台漂移速度（高精度）,m/s,2,0,10,m/s,2,4,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
