Id,Category,CategoryOfSequences_zn,FXY1,Title_zn,SubTitle_zn,FXY2,ElementName_zn,ElementDescription_zn,Note_zn,noteIDs,Status,translated_by
bufr4/3/11/001/1/301051,11,单级报告序列（常规数据）,311001,飞机报告,,301051,（航班号，导航系统，日期/时间，地点，飞行阶段）,阿斯达尔,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/3/11/001/2/007002,11,单级报告序列（常规数据）,311001,飞机报告,,007002,高度,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/3/11/001/3/012001,11,单级报告序列（常规数据）,311001,飞机报告,,012001,温度/空气温度,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/11/001/4/011001,11,单级报告序列（常规数据）,311001,飞机报告,,011001,风向,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/11/001/5/011002,11,单级报告序列（常规数据）,311001,飞机报告,,011002,风速,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/11/001/6/011031,11,单级报告序列（常规数据）,311001,飞机报告,,011031,扩展的湍流程度,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/11/001/7/011032,11,单级报告序列（常规数据）,311001,飞机报告,,011032,湍流底部高度,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/11/001/8/011033,11,单级报告序列（常规数据）,311001,飞机报告,,011033,湍流底部高度,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/11/001/9/020041,11,单级报告序列（常规数据）,311001,飞机报告,,020041,机体结冰,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/11/002/1/301065,11,单级报告序列（常规数据）,311002,（ACARS 报告）,,301065,（ACARS 标识）,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/11/002/2/301066,11,单级报告序列（常规数据）,311002,（ACARS 报告）,,301066,（ACARS 位置）,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
