Category,CategoryOfSequences_zn,FXY1,Title_zn,SubTitle_zn,FXY2,ElementName_zn,ElementDescription_zn,Note_zn,Status,translated_by
18,放射学报告序列,D18001,,,D01025,纬度/经度（高精度）,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
18,放射学报告序列,D18001,,,B24011,剂量,,,Operational,"AI Translator: azure, Glossary Not Used"
18,放射学报告序列,D18003,,,D01026,纬度/经度（高精度）,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
18,放射学报告序列,D18003,,,B24005,同位素质量,,,Operational,"AI Translator: azure, Glossary Not Used"
18,放射学报告序列,D18003,,,B24004,元素名称,,,Operational,"AI Translator: azure, Glossary Not Used"
18,放射学报告序列,D18003,,,B24021,空气浓度（指定同位素类型包括总贝塔）,,,Operational,"AI Translator: azure, Glossary Not Used"
18,放射学报告序列,D18004,,,D01025,纬度/经度（高精度）,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
18,放射学报告序列,D18004,,,B04023,时间周期或位移,,,Operational,"AI Translator: azure, Glossary Not Used"
18,放射学报告序列,D18004,,,B13011,总降水量/总水当量,,,Operational,"AI Translator: azure, Glossary Not Used"
18,放射学报告序列,D18004,,,B24005,同位素质量,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
18,放射学报告序列,D18004,,,B24004,元素名称,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
18,放射学报告序列,D18004,,,B24022,降水中（指定同位素类型）的浓度,,,Operational,"AI Translator: azure, Glossary Not Used"
