Id,ClassNo,ClassName_zn,FXY,ElementName_zn,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_zn,noteIDs,Status,translated_by
bufr4/0/24/001,24,放射性元素,024001,截至指定时间释放的放射性量估算,Bq,-11,0,28,Bq,-11,9,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/24/002,24,放射性元素,024002,估计的最大潜在释放量,Bq,-11,0,28,Bq,-11,9,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/24/003,24,放射性元素,024003,发布组成,Code table,0,0,5,Code table,0,2,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/24/004,24,放射性元素,024004,元素名称,CCITT IA5,0,0,16,Character,0,2,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/24/005,24,放射性元素,024005,同位素质量,Numeric,0,0,9,Numeric,0,3,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/24/011,24,放射性元素,024011,剂量,mSv,2,0,32,mSv,2,10,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/24/012,24,放射性元素,024012,轨迹剂量（定义位置和预计到达时间）,mSv,2,0,32,mSv,2,10,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/24/013,24,放射性元素,024013,主运输路径（定义的位置和时间段）沿线的空气伽马剂量,mSv,2,0,32,mSv,2,10,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/24/014,24,放射性元素,024014,伽马辐射剂量率,nSv/h,1,0,14,nSv/h,1,4,（参见注释 3）,81,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/24/021,24,放射性元素,024021,空气浓度（指定同位素类型包括总贝塔）,Bq m-3,2,0,32,Bq m-3,2,10,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/24/022,24,放射性元素,024022,降水中（指定同位素类型）的浓度,Bq/l,2,0,32,Bq/l,2,10,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/24/023,24,放射性元素,024023,贝塔辐射的脉冲率,/s,1,0,14,/s,1,4,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/24/024,24,放射性元素,024024,贝塔辐射的脉冲率,/s,1,0,14,/s,1,4,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
