Id,ClassNo,ClassName_zn,FXY,ElementName_zn,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_zn,noteIDs,Status,translated_by
bufr4/0/15/001,15,物理/化学成分,015001,总臭氧质量,DU,0,0,10,DU,0,4,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/15/002,15,物理/化学成分,015002,空气质量（22公里的斜路径）,Numeric,2,0,10,Numeric,2,3,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/15/003,15,物理/化学成分,015003,测量的臭氧分压（探测）,Pa,4,0,9,nbar,0,3,（参见注释 3）,1,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/15/004,15,物理/化学成分,015004,臭氧探空校正因子 (CF),Numeric,3,0,11,Numeric,3,4,（参见注释 3）,2,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/15/005,15,物理/化学成分,015005,臭氧,DU,0,0,10,DU,0,3,（参见注释 3）,3,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/15/006,15,物理/化学成分,015006,大气数密度的以10为底的对数,log(m-3),5,1800000,20,log(m-3),5,7,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/15/007,15,物理/化学成分,015007,化学成分的估计量,DU,2,0,16,DU,2,6,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/15/008,15,物理/化学成分,015008,混合比率,Numeric,0,0,10,Numeric,0,4,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/15/009,15,物理/化学成分,015009,大气数密度的以10为底的对数,log(m-3),5,1200000,20,log(m-3),5,7,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/15/011,15,物理/化学成分,015011,积分电子密度的Log10,log (m-2),3,14000,13,log (m-2),3,4,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/15/012,15,物理/化学成分,015012,每平方米的总电子数,m-2,-16,0,6,m-2,-16,2,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/15/015,15,物理/化学成分,015015,归一化前的最大图像光谱分量,Numeric,0,0,31,Numeric,0,10,,,Operational,"AI Translator: azure, Glossary Not Used"
