Id,ClassNo,ClassName_zn,FXY,ElementName_zn,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_zn,noteIDs,Status,translated_by
bufr4/0/04/001,04,位置和参考时间,004001,年,a,0,0,12,a,0,4,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/04/002,04,位置和参考时间,004002,月,mon,0,0,4,mon,0,2,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/04/003,04,位置和参考时间,004003,天,d,0,0,6,d,0,2,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/04/004,04,位置和参考时间,004004,小时,h,0,0,5,h,0,2,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/04/005,04,位置和参考时间,004005,分钟,min,0,0,6,min,0,2,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/04/006,04,位置和参考时间,004006,第二,s,0,0,6,s,0,2,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/04/007,04,位置和参考时间,004007,每分钟的秒数（微秒精度）,s,6,0,26,s,6,8,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/04/011,04,位置和参考时间,004011,小时增量,a,0,-1024,11,a,0,4,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/04/012,04,位置和参考时间,004012,小时增量,mon,0,-1024,11,mon,0,4,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/04/013,04,位置和参考时间,004013,小时增量,d,0,-1024,11,d,0,4,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/04/014,04,位置和参考时间,004014,小时增量,h,0,-1024,11,h,0,4,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/04/015,04,位置和参考时间,004015,小时增量,min,0,-2048,12,min,0,4,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/04/016,04,位置和参考时间,004016,小时增量,s,0,-4096,13,s,0,4,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/04/017,04,位置和参考时间,004017,累计或极端数据的参考时间段,min,0,-1440,12,min,0,4,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/04/021,04,位置和参考时间,004021,时间周期或位移,a,0,-1024,11,a,0,4,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/04/022,04,位置和参考时间,004022,时间周期或位移,mon,0,-1024,11,mon,0,4,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
