Id,Category,CategoryOfSequences_zn,FXY1,Title_zn,SubTitle_zn,FXY2,ElementName_zn,ElementDescription_zn,Note_zn,noteIDs,Status,translated_by
bufr4/3/16/001/1/301011,16,概要特征,316001,,,301011,年、月、日,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/16/001/2/004004,16,概要特征,316001,,,004004,小时,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/16/001/3/301023,16,概要特征,316001,,,301023,纬度/经度（高精度）,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/16/001/4/001021,16,概要特征,316001,,,001021,概要特征标识符,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/16/001/5/002041,16,概要特征,316001,,,002041,与天气概要特征相关的报告估算方法,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/16/001/6/019001,16,概要特征,316001,,,019001,概要特征,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/16/001/7/010051,16,概要特征,316001,,,010051,将压力降低到平均海平面,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/16/001/8/019002,16,概要特征,316001,,,019002,特征的有效半径,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/16/001/9/019003,16,概要特征,316001,,,019003,风速阈值,通常为15米每秒,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/16/001/10/019004,16,概要特征,316001,,,019004,相对于超过阈值风速的有效半径,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/16/002/1/008021,16,概要特征,316002,（标题）,,008021,时间意义,数据时间（分析）,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/16/002/2/004001,16,概要特征,316002,（标题）,,004001,年,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/16/002/3/004002,16,概要特征,316002,（标题）,,004002,月,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/16/002/4/004003,16,概要特征,316002,（标题）,,004003,天,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/16/002/5/004004,16,概要特征,316002,（标题）,,004004,小时,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/16/002/6/004005,16,概要特征,316002,（标题）,,004005,分钟,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/16/002/7/001033,16,概要特征,316002,（标题）,,001033,识别起源/生成中心,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/16/002/8/008021,16,概要特征,316002,（标题）,,008021,时间意义,有效期（预报）,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/16/002/9/004001,16,概要特征,316002,（标题）,,004001,年,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/16/002/10/004002,16,概要特征,316002,（标题）,,004002,月,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/16/002/11/004003,16,概要特征,316002,（标题）,,004003,天,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/16/002/12/004004,16,概要特征,316002,（标题）,,004004,小时,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/16/002/13/004005,16,概要特征,316002,（标题）,,004005,分钟,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/16/002/14/007002,16,概要特征,316002,（标题）,,007002,高度,飞行高度（图层基准）,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
