Id,FXY,ElementName_zn,CodeFigure,EntryName_zn,EntryName_sub1_zn,EntryName_sub2_zn,Note_zn,noteIDs,Status,translated_by
bufr4/0/01/003/0,001003,WMO 区域编号/地理区域,0,南极洲,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/003/1,001003,WMO 区域编号/地理区域,1,区域,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/003/2,001003,WMO 区域编号/地理区域,2,区域 II,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/003/3,001003,WMO 区域编号/地理区域,3,区域 II,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/003/4,001003,WMO 区域编号/地理区域,4,区域 II,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/003/5,001003,WMO 区域编号/地理区域,5,区域 V,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/003/6,001003,WMO 区域编号/地理区域,6,区域 V,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/003/7,001003,WMO 区域编号/地理区域,7,缺失值,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/007,001007,卫星子标识符,,,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/024/0,001024,风速,0,没有风速数据可用,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/024/1,001024,风速,1,AMSR-E 数据,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/024/2,001024,风速,2,TMI 数据,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/024/3,001024,风速,3,数值天气预报：欧洲中期天气预报中心,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/024/4,001024,风速,4,数值天气预报 (NWP): 英国气象局,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/024/5,001024,风速,5,NWP：NCEP,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/024/6,001024,风速,6,气候学,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/024/7,001024,风速,7,ERS_scatterometer,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/024/8-30,001024,风速,8-30,保留以备将来使用,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/024/31,001024,风速,31,缺失值,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
