Id,ClassNo,ClassName_zn,FXY,ElementName_zn,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_zn,noteIDs,Status,translated_by
bufr4/0/25/001,25,处理信息,025001,距离门长度,m,-1,0,6,m,-1,2,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/002,25,处理信息,025002,门数平均值,Numeric,0,0,4,Numeric,0,2,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/003,25,处理信息,025003,集成脉冲数,Numeric,0,0,8,Numeric,0,3,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/004,25,处理信息,025004,回声处理,Code table,0,0,2,Code table,0,1,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/005,25,处理信息,025005,回声集成,Code table,0,0,2,Code table,0,1,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/006,25,处理信息,025006,Z 到 R 转换,Code table,0,0,3,Code table,0,1,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/007,25,处理信息,025007,Z 到 R 转换,Numeric,0,0,12,Numeric,0,4,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/25/008,25,处理信息,025008,Z 到 R 转换,Numeric,2,0,9,Numeric,2,3,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/25/009,25,处理信息,025009,校准方法,Flag table,0,0,4,Flag table,0,2,（参见注释 3）,56,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/010,25,处理信息,025010,杂乱处理,Code table,0,0,4,Code table,0,2,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/011,25,处理信息,025011,地面掩星校正（筛选）,Code table,0,0,2,Code table,0,1,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/012,25,处理信息,025012,范围衰减校正,Code table,0,0,2,Code table,0,1,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/013,25,处理信息,025013,亮带校正,Flag table,0,0,2,Flag table,0,1,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/014,25,处理信息,025014,方位杂波截止,Numeric,0,0,12,Numeric,0,4,（参见注释 3）,15,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/25/015,25,处理信息,025015,天线罩衰减校正,Flag table,0,0,2,Flag table,0,1,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/016,25,处理信息,025016,晴空衰减校正,dB/m,5,0,6,dB/m,5,2,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/017,25,处理信息,025017,降水衰减校正,Flag table,0,0,2,Flag table,0,1,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/018,25,处理信息,025018,A到Z衰减因子法则,Numeric,7,0,6,Numeric,7,2,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/019,25,处理信息,025019,A到Z衰减因子法则,Numeric,2,0,7,Numeric,2,3,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/25/020,25,处理信息,025020,平均速度估算,Code table,0,0,2,Code table,0,1,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/021,25,处理信息,025021,风力计算增强,Flag table,0,0,8,Flag table,0,3,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/022,25,处理信息,025022,GHRSST 拒绝标志,Flag table,0,0,9,Flag table,0,3,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/023,25,处理信息,025023,GHRSST 置信标志,Flag table,0,0,9,Flag table,0,3,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/024,25,处理信息,025024,GHRSST 数据质量,Code table,0,0,4,Code table,0,2,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/025,25,处理信息,025025,电池电压,V,1,0,9,V,1,3,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/026,25,处理信息,025026,电池电压（大范围）,V,1,0,12,V,1,4,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/028,25,处理信息,025028,操作员或制造商定义的参数,Numeric,1,-16384,15,Numeric,1,5,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/029,25,处理信息,025029,校准方法,Flag table,0,0,6,Flag table,0,2,（参见注释 3）,56,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/25/030,25,处理信息,025030,运行平均海面温度使用,Code table,0,0,2,Code table,0,1,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/031,25,处理信息,025031,NWP生成的垂直剖面稀疏方法,Code table,0,0,3,Code table,0,1,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/032,25,处理信息,025032,风廓线仪模式信息,Code table,0,0,2,Code table,0,1,（参见注释 3）,131,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/25/033,25,处理信息,025033,风廓线仪模式信息,Code table,0,0,2,Code table,0,1,（参见注释 3）,131,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/25/034,25,处理信息,025034,风廓线仪质量控制测试结果,Flag table,0,0,4,Flag table,0,2,（参见注释 3）,131,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/25/035,25,处理信息,025035,极性决策方法,Code table,0,0,3,Code table,0,1,（参见注释 3）,34,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/25/036,25,处理信息,025036,大气位置方法,Code table,0,0,4,Code table,0,2,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/037,25,处理信息,025037,SST偏差,K,2,-127,8,K,2,3,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/038,25,处理信息,025038,SST与分析之间的区别,K,1,-127,8,K,1,3,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/040,25,处理信息,025040,CO2 风产品推导,Code table,0,0,4,Code table,0,2,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/041,25,处理信息,025041,移动平台方向报告方法,Code table,0,0,2,Code table,0,1,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/042,25,处理信息,025042,移动平台速度报告方法,Code table,0,0,2,Code table,0,1,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/043,25,处理信息,025043,波采样间隔（时间）,s,4,0,15,s,4,5,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/044,25,处理信息,025044,波采样间隔（时间）,m,2,0,14,m,2,5,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/25/045,25,处理信息,025045,HIRS 通道组合,Flag table,0,0,21,Flag table,0,7,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/046,25,处理信息,025046,MSU通道组合,Flag table,0,0,5,Flag table,0,2,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/047,25,处理信息,025047,SSU通道组合,Flag table,0,0,4,Flag table,0,2,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/048,25,处理信息,025048,AMSU-A 通道组合,Flag table,0,0,16,Flag table,0,6,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/049,25,处理信息,025049,AMSU-A 通道组合,Flag table,0,0,6,Flag table,0,2,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/25/050,25,处理信息,025050,主成分得分,Numeric,4,-131072,18,Numeric,4,6,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/051,25,处理信息,025051,AVHRR 通道组合,Flag table,0,0,7,Flag table,0,3,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/052,25,处理信息,025052,主成分归一化拟合数据的Log10,Numeric,4,0,15,Numeric,4,5,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/053,25,处理信息,025053,观察质量,Flag table,0,0,12,Flag table,0,4,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/054,25,处理信息,025054,SSMIS 子帧 ID 号,Numeric,0,0,5,Numeric,0,2,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/055,25,处理信息,025055,多路复用器维护,K,2,0,16,K,2,5,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/056,25,处理信息,025056,反向散射测量中的归一化误差估计 (Kp),Numeric,4,0,14,Numeric,4,5,,,Operational,"AI Translator: azure, Glossary Not Used"
