Id,FXY,ElementName_zn,CodeFigure,EntryName_zn,EntryName_sub1_zn,EntryName_sub2_zn,Note_zn,noteIDs,Status,translated_by
bufr4/0/03/001/0,003001,地面车站类型,0,陆地站（天气观测网）,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/03/001/1,003001,地面车站类型,1,浅水站（固定在海/湖底）,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/03/001/2,003001,地面车站类型,2,船,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/03/001/3,003001,地面车站类型,3,钻机/平台,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/03/001/4,003001,地面车站类型,4,未指定系泊浮标,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/03/001/5,003001,地面车站类型,5,浮标漂移,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/03/001/6,003001,地面车站类型,6,冰浮标,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/03/001/7,003001,地面车站类型,7,陆地站（本地网络）,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/03/001/8,003001,地面车站类型,8,陆地车辆,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/03/001/9,003001,地面车站类型,9,自主海洋车辆,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/03/001/10,003001,地面车站类型,10,附着在海洋动物上的标签,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/03/001/11-30,003001,地面车站类型,11-30,保留以备将来使用,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/03/001/31,003001,地面车站类型,31,缺失值,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/03/003/0,003003,温湿度计外壳,0,屏幕,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/03/003/1,003003,温湿度计外壳,1,吊索/旋转,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/03/003/2,003003,温湿度计外壳,2,未筛选,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/03/003/3,003003,温湿度计外壳,3,辐射屏蔽,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/03/003/4,003003,温湿度计外壳,4,吸气式（例如 Assmann）,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/03/003/5,003003,温湿度计外壳,5,庇护,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/03/003/6,003003,温湿度计外壳,6,手持式,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/03/003/7-14,003003,温湿度计外壳,7-14,保留以备将来使用,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/03/003/15,003003,温湿度计外壳,15,缺失值,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/03/004/0,003004,屏幕/遮蔽/辐射屏蔽类型,0,史蒂文森屏,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/03/004/1,003004,屏幕/遮蔽/辐射屏蔽类型,1,史蒂文森屏,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/03/004/2,003004,屏幕/遮蔽/辐射屏蔽类型,2,圆柱段板护罩,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/03/004/3,003004,屏幕/遮蔽/辐射屏蔽类型,3,同心管,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/03/004/4,003004,屏幕/遮蔽/辐射屏蔽类型,4,圆柱段板护罩,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/03/004/5,003004,屏幕/遮蔽/辐射屏蔽类型,5,方形截面盾牌,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/03/004/6,003004,屏幕/遮蔽/辐射屏蔽类型,6,方形截面盾牌,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/03/004/7,003004,屏幕/遮蔽/辐射屏蔽类型,7,开放式带顶棚棚屋,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/03/004/8,003004,屏幕/遮蔽/辐射屏蔽类型,8,打开覆盖的倒置V形屋顶,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/03/004/9,003004,屏幕/遮蔽/辐射屏蔽类型,9,集成（例如冷镜）,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/03/004/10-14,003004,屏幕/遮蔽/辐射屏蔽类型,10-14,保留以备将来使用,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/03/004/15,003004,屏幕/遮蔽/辐射屏蔽类型,15,缺失值,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/03/008/0,003008,人工通风屏幕或护罩,0,自然通风正在使用,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/03/008/1,003008,人工通风屏幕或护罩,1,使用人工抽吸：读取时保持恒定流量,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/03/008/2,003008,人工通风屏幕或护罩,2,使用人工抽吸：读取时保持恒定流量,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/03/008/3-6,003008,人工通风屏幕或护罩,3-6,保留,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/03/008/7,003008,人工通风屏幕或护罩,7,缺失值,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/03/010/0,003010,海流/水流测量方法,0,保留,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/03/010/1,003010,海流/水流测量方法,1,声学多普勒流速剖面仪,,,请提供需要翻译的文本。,91,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/03/010/2,003010,海流/水流测量方法,2,GEK（地磁电动描记仪）,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/03/010/3,003010,海流/水流测量方法,3,船舶的航向和漂移由间隔3至6小时的定位确定,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/03/010/4,003010,海流/水流测量方法,4,船舶的航向和漂移由间隔3至6小时的定位确定,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/03/010/5,003010,海流/水流测量方法,5,浮标漂移,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/03/010/6,003010,海流/水流测量方法,6,声学多普勒流速剖面仪,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/03/010/7,003010,海流/水流测量方法,7,ADCP底跟踪模式,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/03/010/8,003010,海流/水流测量方法,8,电磁传感器,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/03/010/9,003010,海流/水流测量方法,9,转子和叶片,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/03/010/10,003010,海流/水流测量方法,10,下放式声学多普勒流速剖面仪,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/03/010/11-14,003010,海流/水流测量方法,11-14,保留,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/03/010/15,003010,海流/水流测量方法,15,缺失值,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
