Category,CategoryOfSequences_zn,FXY1,Title_zn,SubTitle_zn,FXY2,ElementName_zn,ElementDescription_zn,Note_zn,Status,translated_by
00,CREX 表条目序列,D00002,,,B00002,表A：数据类别描述，第1行,,,Operational,"AI Translator: azure, Glossary Not Used"
00,CREX 表条目序列,D00002,,,B00003,表A：数据类别描述，第1行,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
00,CREX 表条目序列,D00003,（F、X、Y 的描述符需添加或定义）,,B00010,（F、X、Y 的描述符需添加或定义）,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
00,CREX 表条目序列,D00003,（F、X、Y 的描述符需添加或定义）,,B00011,X 描述符需添加或定义,,,Operational,"AI Translator: azure, Glossary Not Used"
00,CREX 表条目序列,D00003,（F、X、Y 的描述符需添加或定义）,,B00012,（F、X、Y 的描述符需添加或定义）,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
00,CREX 表条目序列,D00004,,,D00003,（F、X、Y 的描述符需添加或定义）,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
00,CREX 表条目序列,D00004,,,B00013,元素名称,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
00,CREX 表条目序列,D00004,,,B00014,元素名称,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
00,CREX 表条目序列,D00004,,,B00015,单位名称,,,Operational,"AI Translator: azure, Glossary Not Used"
00,CREX 表条目序列,D00004,,,B00016,单位刻度标志,,,Operational,"AI Translator: azure, Glossary Not Used"
00,CREX 表条目序列,D00004,,,B00017,单位刻度标志,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
00,CREX 表条目序列,D00004,,,B00018,单位刻度标志,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
00,CREX 表条目序列,D00004,,,B00019,单位参考值,,,Operational,"AI Translator: azure, Glossary Not Used"
00,CREX 表条目序列,D00004,,,B00020,元素数据宽度,,,Operational,"AI Translator: azure, Glossary Not Used"
00,CREX 表条目序列,D00010,,,D00003,（F、X、Y 的描述符需添加或定义）,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
00,CREX 表条目序列,D00010,,,R01000,6个描述符的延迟复制,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
00,CREX 表条目序列,D00010,,,B00030,描述符定义序列,,,Operational,"AI Translator: azure, Glossary Not Used"
00,CREX 表条目序列,D00015,代码表,,B00030,描述符定义序列,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
00,CREX 表条目序列,D00015,代码表,,R02000,6个描述符的延迟复制,最多 9999 条目,,Operational,"AI Translator: azure, Glossary Not Used"
00,CREX 表条目序列,D00015,代码表,,B00024,代码数字,,,Operational,"AI Translator: azure, Glossary Not Used"
00,CREX 表条目序列,D00015,代码表,,B00025,代码数字,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
00,CREX 表条目序列,D00016,（标志表定义）,,B00030,描述符定义序列,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
00,CREX 表条目序列,D00016,（标志表定义）,,R02000,6个描述符的延迟复制,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
00,CREX 表条目序列,D00016,（标志表定义）,,B00026,位号,,,Operational,"AI Translator: azure, Glossary Not Used"
00,CREX 表条目序列,D00016,（标志表定义）,,B00027,位号,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
