Id,ClassNo,ClassName_zn,FXY,ElementName_zn,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_zn,noteIDs,Status,translated_by
bufr4/0/27/001,27,非坐标位置（垂直）,027001,纬度/经度（高精度）,deg,5,-9000000,25,deg,5,7,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/27/002,27,非坐标位置（垂直）,027002,纬度/经度（高精度）,deg,2,-9000,15,deg,2,4,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/27/003,27,非坐标位置（垂直）,027003,纬度/经度（高精度）,deg,2,-9000,15,deg,2,4,（参见注释 3）,132,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/27/004,27,非坐标位置（垂直）,027004,纬度/经度（高精度）,deg,5,-9000000,25,deg,5,7,（参见注释 3）,132,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/27/010,27,非坐标位置（垂直）,027010,足迹轴2,m,-1,0,14,m,-1,5,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/27/020,27,非坐标位置（垂直）,027020,卫星位置计数器,Numeric,0,0,16,Numeric,0,5,（参见注释 3）,143,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/27/021,27,非坐标位置（垂直）,027021,卫星子位置维度,Numeric,0,0,16,Numeric,0,5,（参见注释 3）,144,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/27/031,27,非坐标位置（垂直）,027031,朝向东经90度，距离地球中心,m,2,-1073741824,31,m,2,10,（参见注释 3 和 4）,"96,151",Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/27/079,27,非坐标位置（垂直）,027079,采样体积的水平宽度,m,0,0,18,m,0,6,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/27/080,27,非坐标位置（垂直）,027080,方位角,degree true,2,0,16,degree true,0,5,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
