Id,FXY,ElementName_zn,CodeFigure,EntryName_zn,EntryName_sub1_zn,EntryName_sub2_zn,Note_zn,noteIDs,Status,translated_by
bufr4/0/21/026/0,021026,ASCAT sigma-0 可用性,0,名义,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/21/026/1,021026,ASCAT sigma-0 可用性,1,名义,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/21/026/2,021026,ASCAT sigma-0 可用性,2,名义,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/21/026/3-6,021026,ASCAT sigma-0 可用性,3-6,保留,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/21/026/7,021026,ASCAT sigma-0 可用性,7,缺失,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/21/066/1,021066,波浪散射计产品置信数据,1,加工设备无法运行,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/21/066/2,021066,波浪散射计产品置信数据,2,设备故障,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/21/066/3,021066,波浪散射计产品置信数据,3,在图像生成过程中更改了PRF代码,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/21/066/4,021066,波浪散射计产品置信数据,4,在图像生成过程中采样窗口已更改,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/21/066/5,021066,波浪散射计产品置信数据,5,在图像生成过程中增益发生了变化,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/21/066/6,021066,波浪散射计产品置信数据,6,啁啾副本超出指定值,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/21/066/7,021066,波浪散射计产品置信数据,7,输入数据的同相和正交超出范围的均值和标准差,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/21/066/8,021066,波浪散射计产品置信数据,8,多普勒质心不确定。置信度测量值 < 特定值,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/21/066/9,021066,波浪散射计产品置信数据,9,多普勒质心绝对值 > PRF/2,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/21/066/10,021066,波浪散射计产品置信数据,10,多普勒模糊性估计不确定。置信度测量值 < 特定值,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/21/066/11,021066,波浪散射计产品置信数据,11,输出数据的平均值和标准偏差 =< MMCC 值,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/21/066/All-12,021066,波浪散射计产品置信数据,All 12,缺失值,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/21/067/1,021067,风场产品置信度数据,1,无前梁计算,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/21/067/2,021067,风场产品置信度数据,2,无中梁计算,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/21/067/3,021067,风场产品置信度数据,3,无前梁计算,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/21/067/4,021067,风场产品置信度数据,4,检测到前梁电弧,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/21/067/5,021067,风场产品置信度数据,5,检测到前梁电弧,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/21/067/6,021067,风场产品置信度数据,6,检测到前梁电弧,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/21/067/7,021067,风场产品置信度数据,7,任何等于或高于阈值的光束噪声内容,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/21/067/8,021067,风场产品置信度数据,8,土地（单元覆盖范围内的任何土地）,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/21/067/9,021067,风场产品置信度数据,9,未使用自主消除歧义,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/21/067/10,021067,风场产品置信度数据,10,气象背景未使用,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/21/067/11,021067,风场产品置信度数据,11,最小残差超过阈值,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/21/067/12,021067,风场产品置信度数据,12,检测到帧校验和错误,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/21/067/All-13,021067,风场产品置信度数据,All 13,缺失值,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/21/068/1,021068,雷达高度计产品置信数据,1,超出MMCC限制的风速标准偏差,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/21/068/2,021068,雷达高度计产品置信数据,2,超出MMCC限制的显著波高标准差,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/21/068/3,021068,雷达高度计产品置信数据,3,标准差高度,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/21/068/4,021068,雷达高度计产品置信数据,4,MMCC限制之外的平均尖峰度,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/21/068/5,021068,雷达高度计产品置信数据,5,检测到帧校验和错误,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/21/068/6,021068,雷达高度计产品置信数据,6,开环校正（高度-时间回路）,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/21/068/7,021068,雷达高度计产品置信数据,7,测量不足（N < 10）,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/21/068/All-8,021068,雷达高度计产品置信数据,All 8,缺失值,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
