Id,ClassNo,ClassName_zn,FXY,ElementName_zn,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_zn,noteIDs,Status,translated_by
bufr4/0/08/001,08,重要性限定词,008001,垂直探测意义,Flag table,0,0,7,Flag table,0,3,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/08/002,08,重要性限定词,008002,垂直意义（卫星观测）,Code table,0,0,6,Code table,0,2,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/08/003,08,重要性限定词,008003,垂直意义（卫星观测）,Code table,0,0,6,Code table,0,2,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/08/004,08,重要性限定词,008004,飞行器飞行阶段,Code table,0,0,3,Code table,0,1,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/08/005,08,重要性限定词,008005,气象属性重要性,Code table,0,0,4,Code table,0,2,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/08/006,08,重要性限定词,008006,臭氧垂直探测的重要性,Flag table,0,0,9,Flag table,0,3,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/08/007,08,重要性限定词,008007,维度意义,Code table,0,0,4,Code table,0,2,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/08/008,08,重要性限定词,008008,辐射垂直探测意义,Flag table,0,0,9,Flag table,0,3,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/08/009,08,重要性限定词,008009,飞行器飞行阶段,Code table,0,0,4,Code table,0,2,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/08/010,08,重要性限定词,008010,表面限定符（温度数据）,Code table,0,0,5,Code table,0,2,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/08/011,08,重要性限定词,008011,气象特征,Code table,0,0,6,Code table,0,2,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/08/012,08,重要性限定词,008012,陆地/海洋限定符,Code table,0,0,2,Code table,0,1,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/08/013,08,重要性限定词,008013,昼/夜限定符,Code table,0,0,2,Code table,0,1,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/08/014,08,重要性限定词,008014,跑道视程趋势,Code table,0,0,4,Code table,0,2,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
