Id,Category,CategoryOfSequences_zn,FXY1,Title_zn,SubTitle_zn,FXY2,ElementName_zn,ElementDescription_zn,Note_zn,noteIDs,Status,translated_by
bufr4/3/03/001/1/007003,03,与垂直探测数据相关的气象序列,303001,,,007003,位势,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/3/03/001/2/011001,03,与垂直探测数据相关的气象序列,303001,,,011001,风向,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/03/001/3/011002,03,与垂直探测数据相关的气象序列,303001,,,011002,风速,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/03/002/1/007004,03,与垂直探测数据相关的气象序列,303002,（压力水平的风）,,007004,压力,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/03/002/2/011001,03,与垂直探测数据相关的气象序列,303002,（压力水平的风）,,011001,风向,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/03/002/3/011002,03,与垂直探测数据相关的气象序列,303002,（压力水平的风）,,011002,风速,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/03/003/1/007004,03,与垂直探测数据相关的气象序列,303003,,,007004,压力,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/03/003/2/010003,03,与垂直探测数据相关的气象序列,303003,,,010003,位势,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/03/003/3/012001,03,与垂直探测数据相关的气象序列,303003,,,012001,温度/空气温度,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/03/003/4/012003,03,与垂直探测数据相关的气象序列,303003,,,012003,露点温度,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/03/004/1/007004,03,与垂直探测数据相关的气象序列,303004,,,007004,压力,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/03/004/2/010003,03,与垂直探测数据相关的气象序列,303004,,,010003,位势,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/03/004/3/012001,03,与垂直探测数据相关的气象序列,303004,,,012001,温度/空气温度,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/03/004/4/012003,03,与垂直探测数据相关的气象序列,303004,,,012003,露点温度,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/03/004/5/011001,03,与垂直探测数据相关的气象序列,303004,,,011001,风向,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/03/004/6/011002,03,与垂直探测数据相关的气象序列,303004,,,011002,风速,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
