Category,CategoryOfSequences_zn,FXY1,Title_zn,SubTitle_zn,FXY2,ElementName_zn,ElementDescription_zn,Note_zn,Status,translated_by
22,化学和气溶胶序列,D22028,(METOP GOME-2),,B01007,卫星标识符、仪器和产品类型,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,化学和气溶胶序列,D22028,(METOP GOME-2),,B02019,卫星仪器,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,化学和气溶胶序列,D22028,(METOP GOME-2),,B04001,年,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,化学和气溶胶序列,D22028,(METOP GOME-2),,B04002,月,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,化学和气溶胶序列,D22028,(METOP GOME-2),,B04003,天,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,化学和气溶胶序列,D22028,(METOP GOME-2),,B04004,小时,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,化学和气溶胶序列,D22028,(METOP GOME-2),,B04005,分钟,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,化学和气溶胶序列,D22028,(METOP GOME-2),,B04006,第二,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,化学和气溶胶序列,D22028,(METOP GOME-2),,B05001,纬度/经度（高精度）,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,化学和气溶胶序列,D22028,(METOP GOME-2),,B06001,纬度/经度（高精度）,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,化学和气溶胶序列,D22028,(METOP GOME-2),,B27001,纬度/经度（高精度）,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,化学和气溶胶序列,D22028,(METOP GOME-2),,B28001,纬度/经度（高精度）,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,化学和气溶胶序列,D22028,(METOP GOME-2),,B27001,纬度/经度（高精度）,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,化学和气溶胶序列,D22028,(METOP GOME-2),,B28001,纬度/经度（高精度）,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,化学和气溶胶序列,D22028,(METOP GOME-2),,B27001,纬度/经度（高精度）,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,化学和气溶胶序列,D22028,(METOP GOME-2),,B28001,纬度/经度（高精度）,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,化学和气溶胶序列,D22028,(METOP GOME-2),,B27001,纬度/经度（高精度）,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,化学和气溶胶序列,D22028,(METOP GOME-2),,B28001,纬度/经度（高精度）,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,化学和气溶胶序列,D22028,(METOP GOME-2),,B10001,地表高度,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,化学和气溶胶序列,D22028,(METOP GOME-2),,B14019,表面反照率,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,化学和气溶胶序列,D22028,(METOP GOME-2),,B07025,太阳天顶角,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,化学和气溶胶序列,D22028,(METOP GOME-2),,B10080,视角天顶角或太阳天顶角超出范围,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,化学和气溶胶序列,D22028,(METOP GOME-2),,B05023,太阳到卫星方位角差异,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,化学和气溶胶序列,D22028,(METOP GOME-2),,B20010,云量（总计）,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,化学和气溶胶序列,D22028,(METOP GOME-2),,B08003,垂直意义（卫星观测）,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,化学和气溶胶序列,D22028,(METOP GOME-2),,B07004,压力,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,化学和气溶胶序列,D22028,(METOP GOME-2),,B14026,云顶反照率,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,化学和气溶胶序列,D22028,(METOP GOME-2),,B20014,云顶高度,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,化学和气溶胶序列,D22028,(METOP GOME-2),,B13093,云光学厚度,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,化学和气溶胶序列,D22028,(METOP GOME-2),,R05000,6个描述符的延迟复制,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,化学和气溶胶序列,D22028,(METOP GOME-2),,B07004,压力,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,化学和气溶胶序列,D22028,(METOP GOME-2),,B07004,压力,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,化学和气溶胶序列,D22028,(METOP GOME-2),,B08043,大气化学或物理成分类型,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,化学和气溶胶序列,D22028,(METOP GOME-2),,B08044,CAS登记号,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
22,化学和气溶胶序列,D22028,(METOP GOME-2),,B15021,综合质量密度,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
