Id,Category,CategoryOfSequences_zn,FXY1,Title_zn,SubTitle_zn,FXY2,ElementName_zn,ElementDescription_zn,Note_zn,noteIDs,Status,translated_by
bufr4/3/15/001/1/001011,15,海洋报告序列,315001,（通常报告的水下测深不包括可选字段）,,001011,船舶或移动陆地站标识符,船舶呼号,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/15/001/2/301011,15,海洋报告序列,315001,（通常报告的水下测深不包括可选字段）,,301011,年、月、日,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/15/001/3/301012,15,海洋报告序列,315001,（通常报告的水下测深不包括可选字段）,,301012,小时，分钟，秒钟,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/15/001/4/301023,15,海洋报告序列,315001,（通常报告的水下测深不包括可选字段）,,301023,纬度/经度（高精度）,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/15/001/5/306001,15,海洋报告序列,315001,（通常报告的水下测深不包括可选字段）,,306001,深度，温度,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/15/002/1/001011,15,海洋报告序列,315002,（通常报告的水下测深不包括可选字段）,,001011,船舶或移动陆地站标识符,船舶呼号,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/15/002/2/301011,15,海洋报告序列,315002,（通常报告的水下测深不包括可选字段）,,301011,年、月、日,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/15/002/3/301012,15,海洋报告序列,315002,（通常报告的水下测深不包括可选字段）,,301012,小时，分钟，秒钟,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/15/002/4/301023,15,海洋报告序列,315002,（通常报告的水下测深不包括可选字段）,,301023,纬度/经度（高精度）,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/15/002/5/306004,15,海洋报告序列,315002,（通常报告的水下测深不包括可选字段）,,306004,深度、温度、盐度,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/15/003/1/001087,15,海洋报告序列,315003,由剖面浮标观测的温度和含盐量剖面,,001087,WMO 海洋观测平台扩展标识符,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/15/003/2/001085,15,海洋报告序列,315003,由剖面浮标观测的温度和含盐量剖面,,001085,观察平台制造商模式,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/15/003/3/001086,15,海洋报告序列,315003,由剖面浮标观测的温度和含盐量剖面,,001086,观察平台制造商序列号,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/3/15/003/4/002036,15,海洋报告序列,315003,由剖面浮标观测的温度和含盐量剖面,,002036,浮标类型,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/15/003/5/002148,15,海洋报告序列,315003,由剖面浮标观测的温度和含盐量剖面,,002148,数据收集和/或定位系统,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/15/003/6/002149,15,海洋报告序列,315003,由剖面浮标观测的温度和含盐量剖面,,002149,数据浮标类型,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/15/003/7/022055,15,海洋报告序列,315003,由剖面浮标观测的温度和含盐量剖面,,022055,浮动循环编号,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/15/003/8/022056,15,海洋报告序列,315003,由剖面浮标观测的温度和含盐量剖面,,022056,轮廓方向,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/15/003/9/022067,15,海洋报告序列,315003,由剖面浮标观测的温度和含盐量剖面,,022067,温度/盐度测量限定符,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/15/003/10/301011,15,海洋报告序列,315003,由剖面浮标观测的温度和含盐量剖面,,301011,年、月、日,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/15/003/11/301012,15,海洋报告序列,315003,由剖面浮标观测的温度和含盐量剖面,,301012,小时，分钟，秒钟,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/15/003/12/301021,15,海洋报告序列,315003,由剖面浮标观测的温度和含盐量剖面,,301021,纬度/经度（高精度）,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/15/003/13/008080,15,海洋报告序列,315003,由剖面浮标观测的温度和含盐量剖面,,008080,GTSPP质量标志限定符,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/15/003/14/033050,15,海洋报告序列,315003,由剖面浮标观测的温度和含盐量剖面,,033050,GTSPP质量标志限定符,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/15/003/15/109000,15,海洋报告序列,315003,由剖面浮标观测的温度和含盐量剖面,,109000,6个描述符的延迟复制,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/15/003/16/031002,15,海洋报告序列,315003,由剖面浮标观测的温度和含盐量剖面,,031002,描述符延迟复制因子,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/15/003/17/007065,15,海洋报告序列,315003,由剖面浮标观测的温度和含盐量剖面,,007065,水压在一定水平,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/15/003/18/008080,15,海洋报告序列,315003,由剖面浮标观测的温度和含盐量剖面,,008080,GTSPP质量标志限定符,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/15/003/19/033050,15,海洋报告序列,315003,由剖面浮标观测的温度和含盐量剖面,,033050,GTSPP质量标志限定符,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/15/003/20/022045,15,海洋报告序列,315003,由剖面浮标观测的温度和含盐量剖面,,022045,海面温度,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/15/003/21/008080,15,海洋报告序列,315003,由剖面浮标观测的温度和含盐量剖面,,008080,GTSPP质量标志限定符,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/15/003/22/033050,15,海洋报告序列,315003,由剖面浮标观测的温度和含盐量剖面,,033050,GTSPP质量标志限定符,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/15/003/23/022064,15,海洋报告序列,315003,由剖面浮标观测的温度和含盐量剖面,,022064,某一水平的含盐量,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/15/003/24/008080,15,海洋报告序列,315003,由剖面浮标观测的温度和含盐量剖面,,008080,GTSPP质量标志限定符,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/15/003/25/033050,15,海洋报告序列,315003,由剖面浮标观测的温度和含盐量剖面,,033050,GTSPP质量标志限定符,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/15/004/1/001079,15,海洋报告序列,315004,（XBT温度剖面数据序列）,,001079,配置文件的唯一标识符,十六进制字符串,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/15/004/2/001011,15,海洋报告序列,315004,（XBT温度剖面数据序列）,,001011,船舶或移动陆地站标识符,船舶呼号,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/15/004/3/001103,15,海洋报告序列,315004,（XBT温度剖面数据序列）,,001103,IMO编号。唯一的劳氏船级社登记号码,= 0 到 9999999,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
