Id,ClassNo,ClassName_zn,FXY,ElementName_zn,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_zn,noteIDs,Status,translated_by
bufr4/0/12/001,12,温度/空气温度,012001,温度/空气温度,K,1,0,12,C,1,3,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/12/002,12,温度/空气温度,012002,湿球温度,K,1,0,12,C,1,3,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/12/003,12,温度/空气温度,012003,露点温度,K,1,0,12,C,1,3,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/12/004,12,温度/空气温度,012004,2米处的空气温度,K,1,0,12,C,1,3,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/12/005,12,温度/空气温度,012005,湿球温度,K,1,0,12,C,1,3,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/12/006,12,温度/空气温度,012006,露点温度,K,1,0,12,C,1,3,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/12/007,12,温度/空气温度,012007,虚拟温度,K,1,0,12,C,1,3,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/12/008,12,温度/空气温度,012008,虚拟温度的不确定性,K,1,0,12,C,1,4,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/12/011,12,温度/空气温度,012011,最高温度，在指定高度和时间段内,K,1,0,12,C,1,3,（参见注释 3）,177,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/12/012,12,温度/空气温度,012012,最高温度，在指定高度和时间段内,K,1,0,12,C,1,3,（参见注释 3）,177,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/12/013,12,温度/空气温度,012013,过去12小时地面最低温度,K,1,0,12,C,1,3,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/12/014,12,温度/空气温度,012014,过去12小时内2米处的最高温度,K,1,0,12,C,1,3,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/12/015,12,温度/空气温度,012015,过去12小时内2米处的最高温度,K,1,0,12,C,1,3,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/12/016,12,温度/空气温度,012016,过去12小时内2米处的最高温度,K,1,0,12,C,1,3,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/12/017,12,温度/空气温度,012017,过去24小时内2米处的最低温度,K,1,0,12,C,1,3,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/12/021,12,温度/空气温度,012021,2米处的最高温度,K,2,0,16,C,2,4,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/12/022,12,温度/空气温度,012022,2米处的最高温度,K,2,0,16,C,2,4,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/12/023,12,温度/空气温度,012023,温度/空气温度,C,0,-99,8,C,0,2,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/12/024,12,温度/空气温度,012024,露点温度,C,0,-99,8,C,0,2,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/12/030,12,温度/空气温度,012030,土壤温度,K,1,0,12,C,1,3,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/12/049,12,温度/空气温度,012049,指定期间的温度变化,K,0,-30,6,C,0,2,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/12/051,12,温度/空气温度,012051,标准偏差温度,K,1,0,10,C,1,3,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/12/052,12,温度/空气温度,012052,最高日均温度,K,1,0,12,C,1,3,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/12/053,12,温度/空气温度,012053,最低日均温度,K,1,0,12,C,1,3,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/12/060,12,温度/空气温度,012060,AWS机柜内部温度,K,1,0,12,C,1,3,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/12/061,12,温度/空气温度,012061,皮肤温度,K,1,0,12,C,1,3,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/12/062,12,温度/空气温度,012062,等效黑体温度,K,1,0,12,C,1,3,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/12/063,12,温度/空气温度,012063,亮度温度,K,1,0,12,C,1,3,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/12/064,12,温度/空气温度,012064,仪器温度,K,1,0,12,K,1,4,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/12/065,12,温度/空气温度,012065,亮度温度,K,1,0,12,K,1,4,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/12/066,12,温度/空气温度,012066,天线温度,K,2,0,16,C,2,5,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/12/070,12,温度/空气温度,012070,温负载温度,K,2,0,16,K,2,5,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/12/071,12,温度/空气温度,012071,最冷集群温度,K,1,0,12,K,1,4,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/12/072,12,温度/空气温度,012072,光辉,W m-2 sr-1,6,0,31,W m-2 sr-1,6,9,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/12/075,12,温度/空气温度,012075,光谱光辉,W m-3 sr-1,-3,0,16,W m-3 sr-1,-3,5,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/12/076,12,温度/空气温度,012076,光辉,W m-2 sr-1,3,0,16,W m-2 sr-1,3,5,（参见注释 3）,52,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/12/080,12,温度/空气温度,012080,亮度温度,K,2,-10000,16,K,2,5,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/12/081,12,温度/空气温度,012081,亮度温度虚部,K,2,-10000,16,K,2,5,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/12/082,12,温度/空气温度,012082,像素辐射精度,K,2,0,12,K,2,4,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/12/083,12,温度/空气温度,012083,观测值与计算值之间的温差,K,2,-10000,16,K,2,6,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/12/101,12,温度/空气温度,012101,温度/空气温度,K,2,0,16,C,2,4,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/12/102,12,温度/空气温度,012102,湿球温度,K,2,0,16,C,2,4,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/12/103,12,温度/空气温度,012103,露点温度,K,2,0,16,C,2,4,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/12/104,12,温度/空气温度,012104,2米处的空气温度,K,2,0,16,C,2,4,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/12/105,12,温度/空气温度,012105,2米湿球温度,K,2,0,16,C,2,4,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/12/106,12,温度/空气温度,012106,露点温度,K,2,0,16,C,2,4,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/12/107,12,温度/空气温度,012107,虚拟温度,K,2,0,16,C,2,4,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/12/111,12,温度/空气温度,012111,最高温度，在指定高度和时间段内,K,2,0,16,C,2,4,（参见注释 3）,177,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/12/112,12,温度/空气温度,012112,最高温度，在指定高度和时间段内,K,2,0,16,C,2,4,（参见注释 3）,177,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/12/113,12,温度/空气温度,012113,过去12小时地面最低温度,K,2,0,16,C,2,4,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/12/114,12,温度/空气温度,012114,过去12小时内2米处的最高温度,K,2,0,16,C,2,4,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/12/115,12,温度/空气温度,012115,过去24小时内2米处的最低温度,K,2,0,16,C,2,4,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/12/116,12,温度/空气温度,012116,过去12小时内2米处的最高温度,K,2,0,16,C,2,4,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/12/117,12,温度/空气温度,012117,过去24小时内2米处的最低温度,K,2,0,16,C,2,4,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
