Id,FXY,ElementName_zn,CodeFigure,EntryName_zn,EntryName_sub1_zn,EntryName_sub2_zn,Note_zn,noteIDs,Status,translated_by
bufr4/0/04/059/1,004059,用于计算报告的平均值的观测时间,1,0000 UTC,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/04/059/2,004059,用于计算报告的平均值的观测时间,2,0000 UTC,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/04/059/3,004059,用于计算报告的平均值的观测时间,3,0000 UTC,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/04/059/4,004059,用于计算报告的平均值的观测时间,4,0000 UTC,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/04/059/5,004059,用于计算报告的平均值的观测时间,5,其他时间,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/04/059/All-6,004059,用于计算报告的平均值的观测时间,All 6,缺失值,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/04/080/0,004080,样本平均周期,0,点值,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/04/080/1,004080,样本平均周期,1,少于15分钟,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/04/080/2,004080,样本平均周期,2,少于15分钟,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/04/080/3,004080,样本平均周期,3,少于15分钟,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/04/080/4-8,004080,样本平均周期,4-8,保留,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/04/080/9,004080,样本平均周期,9,数据不可用,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/04/080/10-14,004080,样本平均周期,10-14,未使用,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/04/080/15,004080,样本平均周期,15,缺失值,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
