Id,FXY,ElementName_zn,CodeFigure,EntryName_zn,EntryName_sub1_zn,EntryName_sub2_zn,Note_zn,noteIDs,Status,translated_by
bufr4/0/11/030/0,011030,扩展的湍流程度,0,无,云中,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/11/030/1,011030,扩展的湍流程度,1,光,云中,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/11/030/2,011030,扩展的湍流程度,2,适度,云中,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/11/030/3,011030,扩展的湍流程度,3,严重,云中,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/11/030/4,011030,扩展的湍流程度,4,无,在清晰的空气中,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/11/030/5,011030,扩展的湍流程度,5,光,在清晰的空气中,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/11/030/6,011030,扩展的湍流程度,6,适度,在清晰的空气中,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/11/030/7,011030,扩展的湍流程度,7,严重,在清晰的空气中,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/11/030/8,011030,扩展的湍流程度,8,无,云/清空气未指定,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/11/030/9,011030,扩展的湍流程度,9,光,云/清空气未指定,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/11/030/10,011030,扩展的湍流程度,10,适度,云/清空气未指定,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/11/030/11,011030,扩展的湍流程度,11,严重,云/清空气未指定,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/11/030/12,011030,扩展的湍流程度,12,极端，在晴空中,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/11/030/13,011030,扩展的湍流程度,13,极端，云中,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/11/030/14,011030,扩展的湍流程度,14,云/清空气未指定,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/11/030/15,011030,扩展的湍流程度,15,轻度，局部中度,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/11/030/16,011030,扩展的湍流程度,16,轻度，偶尔中度,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/11/030/17,011030,扩展的湍流程度,17,轻度，偶尔中度,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/11/030/18,011030,扩展的湍流程度,18,中度，孤立重度,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/11/030/19,011030,扩展的湍流程度,19,中度，孤立重度,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/11/030/20,011030,扩展的湍流程度,20,中度，孤立重度,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/11/030/21,011030,扩展的湍流程度,21,中度，孤立重度,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/11/030/22,011030,扩展的湍流程度,22,严重，偶尔极端,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/11/030/23,011030,扩展的湍流程度,23,严重，偶尔极端,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/11/030/24-62,011030,扩展的湍流程度,24-62,保留,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/11/030/63,011030,扩展的湍流程度,63,缺失值,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/11/031/0,011031,扩展的湍流程度,0,无,云中,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/11/031/1,011031,扩展的湍流程度,1,光,云中,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/11/031/2,011031,扩展的湍流程度,2,适度,云中,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/11/031/3,011031,扩展的湍流程度,3,严重,云中,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/11/031/4,011031,扩展的湍流程度,4,无,在清晰的空气中,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/11/031/5,011031,扩展的湍流程度,5,光,在清晰的空气中,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/11/031/6,011031,扩展的湍流程度,6,适度,在清晰的空气中,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/11/031/7,011031,扩展的湍流程度,7,严重,在清晰的空气中,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
