Id,Category,CategoryOfSequences_zn,FXY1,Title_zn,SubTitle_zn,FXY2,ElementName_zn,ElementDescription_zn,Note_zn,noteIDs,Status,translated_by
bufr4/3/22/001/1/310022,22,化学和气溶胶序列,322001,气溶胶光学厚度,,310022,卫星标识符、仪器和产品类型,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/3/22/001/2/301011,22,化学和气溶胶序列,322001,气溶胶光学厚度,,301011,年、月、日,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/3/22/001/3/301013,22,化学和气溶胶序列,322001,气溶胶光学厚度,,301013,小时，分钟，秒钟,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/3/22/001/4/301021,22,化学和气溶胶序列,322001,气溶胶光学厚度,,301021,纬度/经度（高精度）,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/3/22/001/5/005041,22,化学和气溶胶序列,322001,气溶胶光学厚度,,005041,扫描线号,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/3/22/001/6/005043,22,化学和气溶胶序列,322001,气溶胶光学厚度,,005043,视野数,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/3/22/001/7/027080,22,化学和气溶胶序列,322001,气溶胶光学厚度,,027080,方位角,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/22/001/8/005022,22,化学和气溶胶序列,322001,气溶胶光学厚度,,005022,太阳方位角,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/3/22/001/9/013040,22,化学和气溶胶序列,322001,气溶胶光学厚度,,013040,表面标志,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/3/22/001/10/020010,22,化学和气溶胶序列,322001,气溶胶光学厚度,,020010,云量（总计）,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/3/22/001/11/033085,22,化学和气溶胶序列,322001,气溶胶光学厚度,,033085,气溶胶光学厚度质量标志,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/3/22/001/12/033115,22,化学和气溶胶序列,322001,气溶胶光学厚度,,033115,气溶胶光学厚度,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/22/001/13/105002,22,化学和气溶胶序列,322001,气溶胶光学厚度,,105002,复制5个描述符2次,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/3/22/001/14/008099,22,化学和气溶胶序列,322001,气溶胶光学厚度,,008099,感知方向,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/3/22/001/15/007024,22,化学和气溶胶序列,322001,气溶胶光学厚度,,007024,卫星天顶角,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/3/22/001/16/007025,22,化学和气溶胶序列,322001,气溶胶光学厚度,,007025,太阳天顶角,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/3/22/001/17/007075,22,化学和气溶胶序列,322001,气溶胶光学厚度,,007075,散射角,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/3/22/001/18/007076,22,化学和气溶胶序列,322001,气溶胶光学厚度,,007076,方位角,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/22/001/19/106000,22,化学和气溶胶序列,322001,气溶胶光学厚度,,106000,6个描述符的延迟复制,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/3/22/001/20/031001,22,化学和气溶胶序列,322001,气溶胶光学厚度,,031001,描述符延迟复制因子,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/3/22/001/21/002071,22,化学和气溶胶序列,322001,气溶胶光学厚度,,002071,光谱波长,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/3/22/001/22/008043,22,化学和气溶胶序列,322001,气溶胶光学厚度,,008043,大气化学或物理成分类型,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/3/22/001/23/015024,22,化学和气溶胶序列,322001,气溶胶光学厚度,,015024,光学深度,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/3/22/001/24/008043,22,化学和气溶胶序列,322001,气溶胶光学厚度,,008043,大气化学或物理成分类型,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/22/001/25/015024,22,化学和气溶胶序列,322001,气溶胶光学厚度,,015024,光学深度,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/22/001/26/015042,22,化学和气溶胶序列,322001,气溶胶光学厚度,,015042,反射率,,,,Operational,"AI Translator: azure, Glossary Not Used"
