Category,CategoryOfSequences_zn,FXY1,Title_zn,SubTitle_zn,FXY2,ElementName_zn,ElementDescription_zn,Note_zn,Status,translated_by
03,与垂直探测数据相关的气象序列,D03001,,,B07003,位势,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,与垂直探测数据相关的气象序列,D03001,,,B11001,风向,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,与垂直探测数据相关的气象序列,D03001,,,B11002,风速,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,与垂直探测数据相关的气象序列,D03002,（压力水平的风）,,B07004,压力,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,与垂直探测数据相关的气象序列,D03002,（压力水平的风）,,B11001,风向,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,与垂直探测数据相关的气象序列,D03002,（压力水平的风）,,B11002,风速,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,与垂直探测数据相关的气象序列,D03003,,,B07004,压力,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,与垂直探测数据相关的气象序列,D03003,,,B10003,位势,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,与垂直探测数据相关的气象序列,D03003,,,B12001,温度/空气温度,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,与垂直探测数据相关的气象序列,D03003,,,B12003,露点温度,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,与垂直探测数据相关的气象序列,D03004,,,B07004,压力,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,与垂直探测数据相关的气象序列,D03004,,,B10003,位势,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,与垂直探测数据相关的气象序列,D03004,,,B12001,温度/空气温度,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,与垂直探测数据相关的气象序列,D03004,,,B12003,露点温度,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,与垂直探测数据相关的气象序列,D03004,,,B11001,风向,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,与垂直探测数据相关的气象序列,D03004,,,B11002,风速,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,与垂直探测数据相关的气象序列,D03011,（高度的风）,,B07003,位势,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,与垂直探测数据相关的气象序列,D03011,（高度的风）,,B08001,垂直探测意义,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,与垂直探测数据相关的气象序列,D03011,（高度的风）,,B11001,风向,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,与垂直探测数据相关的气象序列,D03011,（高度的风）,,B11002,风速,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,与垂直探测数据相关的气象序列,D03012,（压力水平的风）,,B07004,压力,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,与垂直探测数据相关的气象序列,D03012,（压力水平的风）,,B08001,垂直探测意义,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,与垂直探测数据相关的气象序列,D03012,（压力水平的风）,,B11001,风向,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,与垂直探测数据相关的气象序列,D03012,（压力水平的风）,,B11002,风速,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,与垂直探测数据相关的气象序列,D03013,（位势、高度、湿度、压力层上的风）,,B07004,压力,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,与垂直探测数据相关的气象序列,D03013,（位势、高度、湿度、压力层上的风）,,B08001,垂直探测意义,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,与垂直探测数据相关的气象序列,D03013,（位势、高度、湿度、压力层上的风）,,B10003,位势,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,与垂直探测数据相关的气象序列,D03013,（位势、高度、湿度、压力层上的风）,,B12001,温度/空气温度,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,与垂直探测数据相关的气象序列,D03013,（位势、高度、湿度、压力层上的风）,,B13003,相对湿度,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,与垂直探测数据相关的气象序列,D03013,（位势、高度、湿度、压力层上的风）,,B11001,风向,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,与垂直探测数据相关的气象序列,D03013,（位势、高度、湿度、压力层上的风）,,B11002,风速,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,与垂直探测数据相关的气象序列,D03014,（位势、高度、湿度、压力层上的风）,,B07004,压力,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,与垂直探测数据相关的气象序列,D03014,（位势、高度、湿度、压力层上的风）,,B08001,垂直探测意义,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,与垂直探测数据相关的气象序列,D03014,（位势、高度、湿度、压力层上的风）,,B10003,位势,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,与垂直探测数据相关的气象序列,D03014,（位势、高度、湿度、压力层上的风）,,B12001,温度/空气温度,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,与垂直探测数据相关的气象序列,D03014,（位势、高度、湿度、压力层上的风）,,B12003,露点温度,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,与垂直探测数据相关的气象序列,D03014,（位势、高度、湿度、压力层上的风）,,B11001,风向,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,与垂直探测数据相关的气象序列,D03014,（位势、高度、湿度、压力层上的风）,,B11002,风速,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,与垂直探测数据相关的气象序列,D03031,（重要性数据，陆地/海洋，表面温度）,,B07004,压力,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,与垂直探测数据相关的气象序列,D03031,（重要性数据，陆地/海洋，表面温度）,,B08003,垂直意义（卫星观测）,探测基准,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,与垂直探测数据相关的气象序列,D03031,（重要性数据，陆地/海洋，表面温度）,,B07021,提升,当地天顶,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,与垂直探测数据相关的气象序列,D03031,（重要性数据，陆地/海洋，表面温度）,,B07022,太阳高度,太阳天顶角,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,与垂直探测数据相关的气象序列,D03031,（重要性数据，陆地/海洋，表面温度）,,B08012,陆地/海洋限定符,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,与垂直探测数据相关的气象序列,D03031,（重要性数据，陆地/海洋，表面温度）,,B12061,皮肤温度,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,与垂直探测数据相关的气象序列,D03032,云,,B20011,云量,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,与垂直探测数据相关的气象序列,D03032,云,,B20016,云顶压力,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
