Id,ClassNo,ClassName_zn,FXY,ElementName_zn,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_zn,noteIDs,Status,translated_by
bufr4/0/22/001,22,海洋学元素,022001,波浪的平均来向,degree true,0,0,9,degree true,0,3,（参见注释 3）,136,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/22/002,22,海洋学元素,022002,风向,degree true,0,0,9,degree true,0,3,（参见注释 3）,136,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/22/003,22,海洋学元素,022003,涌浪的方向,degree true,0,0,9,degree true,0,3,（参见注释 3）,136,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/22/004,22,海洋学元素,022004,电流方向,degree true,0,0,9,degree true,0,3,（参见注释 3）,54,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/22/005,22,海洋学元素,022005,海/水流方向在某一水平面,degree true,0,0,9,degree true,0,3,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/22/011,22,海洋学元素,022011,波浪周期,s,0,0,6,s,0,2,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/22/012,22,海洋学元素,022012,波浪周期,s,0,0,6,s,0,2,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/22/013,22,海洋学元素,022013,涌浪周期,s,0,0,6,s,0,2,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/22/021,22,海洋学元素,022021,显著波高,m,1,0,10,m,1,4,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/22/022,22,海洋学元素,022022,风浪高度,m,1,0,10,m,1,4,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/22/023,22,海洋学元素,022023,涌浪波高,m,1,0,10,m,1,4,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/22/025,22,海洋学元素,022025,标准差波高,m,2,0,10,m,2,4,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/22/026,22,海洋学元素,022026,标准差波高,m,2,0,10,m,2,4,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/22/031,22,海洋学元素,022031,当前速度,m/s,2,0,13,m/s,2,4,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/22/032,22,海洋学元素,022032,海/水流速度在某一水平面,m/s,2,0,13,m/s,2,4,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/22/035,22,海洋学元素,022035,相对于当地海图基准面的潮汐高度,m,2,0,14,m,2,4,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/22/036,22,海洋学元素,022036,气象残余潮位（风暴潮或偏移）,m,2,0,14,m,2,4,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/22/037,22,海洋学元素,022037,相对于当地海图基准面的潮汐高度,m,3,-10000,15,m,3,5,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/22/038,22,海洋学元素,022038,相对于当地海图基准面的潮汐高度,m,3,-10000,15,m,3,5,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/22/039,22,海洋学元素,022039,气象残余潮位（风暴潮或偏移）,m,3,-5000,13,m,3,4,（参见注释 3）,55,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/22/040,22,海洋学元素,022040,气象残余潮位（风暴潮或偏移）,m,3,-5000,14,m,3,5,（参见注释 3）,55,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/22/041,22,海洋学元素,022041,海面温度（15天运行平均）,K,1,0,12,K,1,4,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/22/042,22,海洋学元素,022042,海面温度,K,1,0,12,K,1,4,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/22/043,22,海洋学元素,022043,海面温度,K,2,0,15,K,2,5,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/22/044,22,海洋学元素,022044,声速,m/s,1,0,14,m/s,1,5,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/22/045,22,海洋学元素,022045,海面温度,K,3,0,19,K,3,6,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/22/046,22,海洋学元素,022046,海冰分数,Numeric,2,0,7,Numeric,2,3,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/22/049,22,海洋学元素,022049,海面温度,K,2,0,15,K,2,5,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/22/050,22,海洋学元素,022050,标准偏差海表温度,K,2,0,8,K,2,3,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/22/055,22,海洋学元素,022055,浮动循环编号,Numeric,0,0,10,Numeric,0,3,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/22/056,22,海洋学元素,022056,轮廓方向,Code table,0,0,2,Code table,0,1,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
