Id,ClassNo,ClassName_fr,FXY,ElementName_fr,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_fr,noteIDs,Status,translated_by
bufr4/0/24/001,24,Classe 24 — Éléments radiologiques,024001,Estimation de la quantité de radio-activité rejetée jusqu'à une heure donnée,,-11,0,28,,-11,9,,,Operational,Original
bufr4/0/24/002,24,Classe 24 — Éléments radiologiques,024002,Rejet potentiel maximal estimé,,-11,0,28,,-11,9,,,Operational,Original
bufr4/0/24/003,24,Classe 24 — Éléments radiologiques,024003,Composition du rejet,,0,0,5,,0,2,,,Operational,Original
bufr4/0/24/004,24,Classe 24 — Éléments radiologiques,024004,Nom de l'élément,,0,0,16,,0,2,,,Operational,Original
bufr4/0/24/005,24,Classe 24 — Éléments radiologiques,024005,Masse isotopique,,0,0,9,,0,3,,,Operational,Original
bufr4/0/24/011,24,Classe 24 — Éléments radiologiques,024011,Dose,,2,0,32,,2,10,,,Operational,Original
bufr4/0/24/012,24,Classe 24 — Éléments radiologiques,024012,Trajectoire et dose (position définie et heure d'arrivée prévue),,2,0,32,,2,10,,,Operational,Original
bufr4/0/24/013,24,Classe 24 — Éléments radiologiques,024013,Dose gamma dans l'air le long de la route du transport principal (en un lieu et pour une période précis),,2,,32,,2,10,,,Operational,Original
bufr4/0/24/014,24,Classe 24 — Éléments radiologiques,024014,Débit de dose de rayonnement gamma,,1,0,14,,1,4,(voir note 2),81,Operational,Original
bufr4/0/24/021,24,Classe 24 — Éléments radiologiques,024021,"Concentration dans l'air (du type d'isotope désigné, y compris la dose bêta brute)",,2,0,32,,2,10,,,Operational,Original
bufr4/0/24/022,24,Classe 24 — Éléments radiologiques,024022,Concentration dans les précipitations (du type d'isotope désigné),,2,0,32,,2,10,,,Operational,Original
bufr4/0/24/023,24,Classe 24 — Éléments radiologiques,024023,Pulsation du rayonnement bêta,,1,0,14,,1,4,,,Operational,Original
bufr4/0/24/024,24,Classe 24 — Éléments radiologiques,024024,Pulsation du rayonnement gamma,,1,0,14,,1,4,,,Operational,Original
