Id,ClassNo,ClassName_fr,FXY,ElementName_fr,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_fr,noteIDs,Status,translated_by
bufr4/0/14/001,14,Classe 14 Rayonnement et luminance énergétique,014001,"Rayonnement de grande longueur d'onde, intégré sur 24 heures",,-3,-65536,17,,-3,5,,,Operational,Original
bufr4/0/14/002,14,Classe 14 Rayonnement et luminance énergétique,014002,"Rayonnement de grande longueur d'onde, intégré sur une période déterminée",,-3,-65536,17,,-3,5,,,Operational,Original
bufr4/0/14/003,14,Classe 14 Rayonnement et luminance énergétique,014003,"Rayonnement de courte longueur d'onde, intégré sur 24 heures",,-3,-65536,17,,-3,5,,,Operational,Original
bufr4/0/14/004,14,Classe 14 Rayonnement et luminance énergétique,014004,"Rayonnement de courte longueur d'onde, intégré sur une période déterminée",,-3,-65536,17,,-3,5,,,Operational,Original
bufr4/0/14/011,14,Classe 14 Rayonnement et luminance énergétique,014011,"Bilan du rayonnement de grande longueur d'onde, intégré sur 24 heures",,-3,-65536,17,,-3,5,,,Operational,Original
bufr4/0/14/012,14,Classe 14 Rayonnement et luminance énergétique,014012,"Bilan du rayonnement de grande longueur d'onde, intégré sur une période déterminée",,-3,-65536,17,,-3,5,,,Operational,Original
bufr4/0/14/013,14,Classe 14 Rayonnement et luminance énergétique,014013,"Bilan du rayonnement de courte longueur d'onde, intégré sur 24 heures",,-3,-65536,17,,-3,5,,,Operational,Original
bufr4/0/14/014,14,Classe 14 Rayonnement et luminance énergétique,014014,"Bilan du rayonnement de courte longueur d'onde, intégré sur une période déterminée",,-3,-65536,17,,-3,5,,,Operational,Original
bufr4/0/14/015,14,Classe 14 Rayonnement et luminance énergétique,014015,"Bilan du rayonnement, intégré sur 24 heures",,-4,-16384,15,,-4,5,,,Operational,Original
bufr4/0/14/016,14,Classe 14 Rayonnement et luminance énergétique,014016,"Bilan du rayonnement, intégré sur une période déterminée",,-4,-16384,15,,-4,5,,,Operational,Original
bufr4/0/14/017,14,Classe 14 Rayonnement et luminance énergétique,014017,Rayonnement instantané de grande longueur d'onde,,0,-512,10,,0,4,,,Operational,Original
bufr4/0/14/018,14,Classe 14 Rayonnement et luminance énergétique,014018,Rayonnement instantané de courte longueur d'onde,,0,-2048,12,,0,4,,,Operational,Original
bufr4/0/14/019,14,Classe 14 Rayonnement et luminance énergétique,014019,Albédo de la surface,,0,0,7,,0,3,,,Operational,Original
bufr4/0/14/020,14,Classe 14 Rayonnement et luminance énergétique,014020,"Rayonnement solaire global, intégré sur 24 heures",,-4,0,15,,-4,5,,,Operational,Original
bufr4/0/14/021,14,Classe 14 Rayonnement et luminance énergétique,014021,"Rayonnement solaire global, intégré sur une période déterminée",,-4,0,15,,-4,5,,,Operational,Original
bufr4/0/14/022,14,Classe 14 Rayonnement et luminance énergétique,014022,"Rayonnement solaire diffus, intégré sur 24 heures",,-4,0,15,,-4,5,,,Operational,Original
bufr4/0/14/023,14,Classe 14 Rayonnement et luminance énergétique,014023,"Rayonnement solaire diffus, intégré sur une période déterminée",,-4,0,15,,-4,5,,,Operational,Original
bufr4/0/14/024,14,Classe 14 Rayonnement et luminance énergétique,014024,"Rayonnement solaire direct, intégré sur 24 heures",,-4,0,15,,-4,5,,,Operational,Original
bufr4/0/14/025,14,Classe 14 Rayonnement et luminance énergétique,014025,"Rayonnement solaire direct, intégré sur une période déterminée",,-4,0,15,,-4,5,,,Operational,Original
bufr4/0/14/026,14,Classe 14 Rayonnement et luminance énergétique,014026,Albédo au sommet des nuages,,0,0,7,,0,3,,,Operational,Original
bufr4/0/14/027,14,Classe 14 Rayonnement et luminance énergétique,014027,Albédo,,0,0,7,,0,3,,,Operational,Original
bufr4/0/14/028,14,Classe 14 Rayonnement et luminance énergétique,014028,"Rayonnement solaire global (précision élevée), intégré sur une période déterminée",,-2,0,20,,-2,6,,,Operational,Original
bufr4/0/14/029,14,Classe 14 Rayonnement et luminance énergétique,014029,"Rayonnement solaire diffus (précision élevée), intégré sur une période déterminée",,-2,0,20,,-2,6,,,Operational,Original
bufr4/0/14/030,14,Classe 14 Rayonnement et luminance énergétique,014030,"Rayonnement solaire direct (précision élevée), intégré sur une période déterminée",,-2,0,20,,-2,6,,,Operational,Original
bufr4/0/14/031,14,Classe 14 Rayonnement et luminance énergétique,014031,Insolation totale,,0,0,11,,0,4,,,Operational,Original
bufr4/0/14/032,14,Classe 14 Rayonnement et luminance énergétique,014032,Insolation totale,,0,0,10,,0,4,,,Operational,Original
bufr4/0/14/033,14,Classe 14 Rayonnement et luminance énergétique,014033,Insolation totale,,0,0,9,,0,3,,,Operational,Original
bufr4/0/14/034,14,Classe 14 Rayonnement et luminance énergétique,014034,Insolation sur une période déterminée,,0,0,11,,0,4,,,Operational,Original
bufr4/0/14/035,14,Classe 14 Rayonnement et luminance énergétique,014035,Flux de rayonnement solaire,,1,0,14,,1,5,,,Operational,Original
