Category,CategoryOfSequences_fr,FXY1,Title_fr,SubTitle_fr,FXY2,ElementName_fr,ElementDescription_fr,Note_fr,noteIDs,Status
12,Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),312001,,,301043,"Indicateur d'identification du satellite, méthode de calcul du vent, date/heure, position",,,,Operational
12,Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),312001,,,304001,"Pression au sommet des nuages, température, vent",,,,Operational
12,Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),312002,,,301043,"Indicateur d'identification du satellite, méthode de calcul du vent, date/heure, position",,,,Operational
12,Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),312002,,,304002,"Pression au sommet des nuages, vent",,,,Operational
12,Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),312003,,,301042,"Indicateur d'identification du satellite, instrument, technique de traitement des données, date/heure, position",,,,Operational
12,Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),312003,,,304003,Température en surface,,,,Operational
12,Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),312004,,,301042,"Indicateur d'identification du satellite, instrument, technique de traitement des données, date/heure, position",,,,Operational
12,Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),312004,,,304004,"Pression au sommet des nuages, nébulosité, température",,,,Operational
12,Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),312005,,,301042,"Indicateur d'identification du satellite, instrument, technique de traitement des données, date/heure, position",,,,Operational
12,Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),312005,,,020014,Hauteur du sommet des nuages,,,,Operational
12,Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),312006,,,301044,"Indicateur d'identification du satellite, méthode de calcul de l'humidité, date/heure, position",,,,Operational
12,Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),312006,,,304005,Humidité relative moyenne de la couche,,,,Operational
12,Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),312007,,,301042,"Indicateur d'identification du satellite, instrument, technique de traitement des données, date/heure, position",,,,Operational
12,Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),312007,,,304006,Rayonnement,,,,Operational
12,Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),312010,"Information sur les orbites, partie I",,001007,Indicateur d'identification du satellite,,,,Operational
12,Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),312010,"Information sur les orbites, partie I",,005040,Numéro de l'orbite,,,,Operational
12,Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),312010,"Information sur les orbites, partie I",,002021,Données instrumentales satellitaires utilisées dans le traitement,,,,Operational
12,Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),312010,"Information sur les orbites, partie I",,005041,Numéro de la ligne de balayage,,,,Operational
12,Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),312010,"Information sur les orbites, partie I",,004001,Année,,,,Operational
12,Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),312010,"Information sur les orbites, partie I",,004043,Jour de l'année,,,,Operational
12,Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),312011,"Information sur les orbites, partie II",,202131,Changer d'échelle,,,,Operational
12,Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),312011,"Information sur les orbites, partie II",,201149,Changer le champ de données,,,,Operational
12,Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),312011,"Information sur les orbites, partie II",,004006,Seconde,,,,Operational
12,Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),312011,"Information sur les orbites, partie II",,201000,Changer le champ de données,,,,Operational
12,Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),312011,"Information sur les orbites, partie II",,202126,Changer d'échelle,,,,Operational
12,Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),312011,"Information sur les orbites, partie II",,010002,Hauteur,,,,Operational
12,Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),312011,"Information sur les orbites, partie II",,202000,Changer d'échelle,,,,Operational
12,Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),312011,"Information sur les orbites, partie II",,005043,Numéro du champ de vision,,,,Operational
12,Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),312011,"Information sur les orbites, partie II",,005053,Incrément du numéro du champ de vision,,,,Operational
12,Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),312012,Températures de luminance mesurées par HIRS canaux 1 à 19,,202129,Changer d'échelle,,,,Operational
12,Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),312012,Températures de luminance mesurées par HIRS canaux 1 à 19,,201132,Changer le champ de données,,,,Operational
12,Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),312012,Températures de luminance mesurées par HIRS canaux 1 à 19,,101019,Répéter 1 descripteur 19 fois,,,,Operational
12,Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),312012,Températures de luminance mesurées par HIRS canaux 1 à 19,,012063,Température de luminance,,,,Operational
12,Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),312012,Températures de luminance mesurées par HIRS canaux 1 à 19,,201000,Changer le champ de données,,,,Operational
12,Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),312012,Températures de luminance mesurées par HIRS canaux 1 à 19,,202000,Changer d'échelle,,,,Operational
12,Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),312013,Températures de luminance mesurées par HIRS canal 20,,005042,Numéro du canal,,,,Operational
12,Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),312013,Températures de luminance mesurées par HIRS canal 20,,202129,Changer d'échelle,,,,Operational
12,Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),312013,Températures de luminance mesurées par HIRS canal 20,,201135,Changer le champ de données,,,,Operational
12,Catégorie 12 — Séquences correspondant à des messages d’observation à un seul niveau (données satellitaires),312013,Températures de luminance mesurées par HIRS canal 20,,012063,Température de luminance,,,,Operational
