Id,FXY,ElementName_fr,CodeFigure,EntryName_fr,EntryName_sub1_fr,EntryName_sub2_fr,Note_fr,noteIDs,Status
bufr4/0/19/001/0,019001,Type de la caractéristique synoptique,0,Dépression ou minimum barométrique (extratropical),,,,,Operational
bufr4/0/19/001/1,019001,Type de la caractéristique synoptique,1,Dépression tropicale,,,,,Operational
bufr4/0/19/001/2,019001,Type de la caractéristique synoptique,2,Orage tropical,,,,,Operational
bufr4/0/19/001/3,019001,Type de la caractéristique synoptique,3,Orage tropical violent,,,,,Operational
bufr4/0/19/001/4,019001,Type de la caractéristique synoptique,4,Typhon,,,,,Operational
bufr4/0/19/001/5-9,019001,Type de la caractéristique synoptique,5-9,En réserve,,,,,Operational
bufr4/0/19/001/10,019001,Type de la caractéristique synoptique,10,Tempête de poussière/sable,,,,,Operational
bufr4/0/19/001/11-62,019001,Type de la caractéristique synoptique,11-62,En réserve,,,,,Operational
bufr4/0/19/001/63,019001,Type de la caractéristique synoptique,63,Valeur manquante,,,,,Operational
bufr4/0/19/008/0,019008,Extension verticale de la circulation,0,En réserve,,,,,Operational
bufr4/0/19/008/1,019008,Extension verticale de la circulation,1,Peu profonde (sommet de la circulation au-dessous du niveau de 700 hPa),,,,,Operational
bufr4/0/19/008/2,019008,Extension verticale de la circulation,2,Moyenne (sommet entre les niveaux de 700 et 400 hPa),,,,,Operational
bufr4/0/19/008/3,019008,Extension verticale de la circulation,3,Profonde (sommet au-dessus du niveau de 400 hPa),,,,,Operational
bufr4/0/19/008/4-6,019008,Extension verticale de la circulation,4-6,En réserve,,,,,Operational
bufr4/0/19/008/7,019008,Extension verticale de la circulation,7,Valeur manquante,,,,,Operational
bufr4/0/19/010/1,019010,Méthode d'obtention du centre de la caractéristique synoptique,1,Valeur minimale de la pression au niveau de la mer,,,,,Operational
bufr4/0/19/010/2,019010,Méthode d'obtention du centre de la caractéristique synoptique,2,Valeur maximale du tourbillon relatif à 850 hPa,,,,,Operational
bufr4/0/19/010/3-14,019010,Méthode d'obtention du centre de la caractéristique synoptique,3-14,En réserve,,,,,Operational
bufr4/0/19/010/15,019010,Méthode d'obtention du centre de la caractéristique synoptique,15,Valeur manquante,,,,,Operational
bufr4/0/19/100/0-2,019100,Période pour laquelle a été calculé le déplacement du cyclone tropical,0-2,Non utilisé,,,,,Operational
bufr4/0/19/100/3,019100,Période pour laquelle a été calculé le déplacement du cyclone tropical,3,Au cours des 15 minutes qui précèdent,,,,,Operational
bufr4/0/19/100/4,019100,Période pour laquelle a été calculé le déplacement du cyclone tropical,4,Au cours des 30 minutes qui précèdent,,,,,Operational
bufr4/0/19/100/5,019100,Période pour laquelle a été calculé le déplacement du cyclone tropical,5,Au cours de l'heure qui précède,,,,,Operational
bufr4/0/19/100/6,019100,Période pour laquelle a été calculé le déplacement du cyclone tropical,6,Au cours des 2 heures qui précèdent,,,,,Operational
bufr4/0/19/100/7,019100,Période pour laquelle a été calculé le déplacement du cyclone tropical,7,Au cours des 3 heures qui précèdent,,,,,Operational
bufr4/0/19/100/8,019100,Période pour laquelle a été calculé le déplacement du cyclone tropical,8,Au cours des 6 heures qui précèdent,,,,,Operational
bufr4/0/19/100/9,019100,Période pour laquelle a été calculé le déplacement du cyclone tropical,9,Au cours d'une période de plus de 6 heures,,,,,Operational
bufr4/0/19/100/10,019100,Période pour laquelle a été calculé le déplacement du cyclone tropical,10,Indéterminée,,,,,Operational
bufr4/0/19/100/11-14,019100,Période pour laquelle a été calculé le déplacement du cyclone tropical,11-14,Non utilisé,,,,,Operational
bufr4/0/19/100/15,019100,Période pour laquelle a été calculé le déplacement du cyclone tropical,15,Valeur manquante,,,,,Operational
bufr4/0/19/101/0,019101,Précision de la position du centre du cyclone tropical,0,En réserve,,,,,Operational
bufr4/0/19/101/1,019101,Précision de la position du centre du cyclone tropical,1,Œil visible sur l'écran du radar; précision bonne (dans un rayon de 10 km),,,,,Operational
bufr4/0/19/101/2,019101,Précision de la position du centre du cyclone tropical,2,Œil visible sur l'écran du radar; précision assez bonne (dans un rayon de 30 km),,,,,Operational
bufr4/0/19/101/3,019101,Précision de la position du centre du cyclone tropical,3,Œil visible sur l'écran du radar; précision faible (dans un rayon de 50 km),,,,,Operational
bufr4/0/19/101/4,019101,Précision de la position du centre du cyclone tropical,4,"Position du centre à l'intérieur de la zone représentée sur l'écran du radar, détermination d'après la configuration générale des bandes en spirale; précision bonne (dans un rayon de 10 km)",,,,,Operational
bufr4/0/19/101/5,019101,Précision de la position du centre du cyclone tropical,5,"Position du centre à l'intérieur de la zone représentée sur l'écran du radar, détermination d'après la configuration générale des bandes en spirale; précision assez bonne (dans un rayon de 30 km)",,,,,Operational
bufr4/0/19/101/6,019101,Précision de la position du centre du cyclone tropical,6,"Position du centre à l'intérieur de la zone représentée sur l'écran du radar, détermination d'après la configuration générale des bandes en spirale; précision faible (dans un rayon de 50 km)",,,,,Operational
bufr4/0/19/101/7,019101,Précision de la position du centre du cyclone tropical,7,"Position du centre à l'extérieur de la zone représentée sur l'écran du radar, détermination par extrapolation d'après la configuration générale des bandes en spirale",,,,,Operational
bufr4/0/19/101/8-9,019101,Précision de la position du centre du cyclone tropical,8-9,En réserve,,,,,Operational
bufr4/0/19/101/10,019101,Précision de la position du centre du cyclone tropical,10,Précision indéterminée,,,,,Operational
bufr4/0/19/101/11-14,019101,Précision de la position du centre du cyclone tropical,11-14,Non utilisé,,,,,Operational
bufr4/0/19/101/15,019101,Précision de la position du centre du cyclone tropical,15,Valeur manquante,,,,,Operational
bufr4/0/19/102/0,019102,Configuration et définition de l'œil du cyclone tropical,0,Circulaire,bien définie,,,,Operational
bufr4/0/19/102/1,019102,Configuration et définition de l'œil du cyclone tropical,1,Elliptique - le petit axe atteint au moins les 3/4 de la longueur du grand axe,bien définie,,,,Operational
bufr4/0/19/102/2,019102,Configuration et définition de l'œil du cyclone tropical,2,Elliptique - le petit axe est inférieur aux 3/4 de la longueur du grand axe,bien définie,,,,Operational
bufr4/0/19/102/3,019102,Configuration et définition de l'œil du cyclone tropical,3,Œil apparemment double,bien définie,,,,Operational
bufr4/0/19/102/4,019102,Configuration et définition de l'œil du cyclone tropical,4,Autre forme,,,,,Operational
bufr4/0/19/102/5,019102,Configuration et définition de l'œil du cyclone tropical,5,Mal définie,,,,,Operational
bufr4/0/19/102/6,019102,Configuration et définition de l'œil du cyclone tropical,6,Indéterminée,,,,,Operational
bufr4/0/19/102/7,019102,Configuration et définition de l'œil du cyclone tropical,7,Valeur manquante,,,,,Operational
bufr4/0/19/103/0,019103,Diamètre ou longueur de l'axe principal de l'œil du cyclone tropical,0,Moins de 5 km,,,,,Operational
bufr4/0/19/103/1,019103,Diamètre ou longueur de l'axe principal de l'œil du cyclone tropical,1,De 5 à moins de 10 km,,,,,Operational
bufr4/0/19/103/2,019103,Diamètre ou longueur de l'axe principal de l'œil du cyclone tropical,2,De 10 à moins de 15 km,,,,,Operational
bufr4/0/19/103/3,019103,Diamètre ou longueur de l'axe principal de l'œil du cyclone tropical,3,De 15 à moins de 20 km,,,,,Operational
bufr4/0/19/103/4,019103,Diamètre ou longueur de l'axe principal de l'œil du cyclone tropical,4,De 20 à moins de 25 km,,,,,Operational
bufr4/0/19/103/5,019103,Diamètre ou longueur de l'axe principal de l'œil du cyclone tropical,5,De 25 à moins de 30 km,,,,,Operational
bufr4/0/19/103/6,019103,Diamètre ou longueur de l'axe principal de l'œil du cyclone tropical,6,De 30 à moins de 35 km,,,,,Operational
bufr4/0/19/103/7,019103,Diamètre ou longueur de l'axe principal de l'œil du cyclone tropical,7,De 35 à moins de 40 km,,,,,Operational
bufr4/0/19/103/8,019103,Diamètre ou longueur de l'axe principal de l'œil du cyclone tropical,8,De 40 à moins de 50 km,,,,,Operational
bufr4/0/19/103/9,019103,Diamètre ou longueur de l'axe principal de l'œil du cyclone tropical,9,50 km et plus,,,,,Operational
bufr4/0/19/103/10,019103,Diamètre ou longueur de l'axe principal de l'œil du cyclone tropical,10,Indéterminé(e),,,,,Operational
bufr4/0/19/103/11-14,019103,Diamètre ou longueur de l'axe principal de l'œil du cyclone tropical,11-14,Non utilisé,,,,,Operational
bufr4/0/19/103/15,019103,Diamètre ou longueur de l'axe principal de l'œil du cyclone tropical,15,Valeur manquante,,,,,Operational
bufr4/0/19/104/0,019104,Évolution du caractère de l'œil durant les 30 minutes précédentes,0,L'œil est devenu visible pour la première fois au cours des 30 minutes qui précèdent,,,,,Operational
bufr4/0/19/104/1,019104,Évolution du caractère de l'œil durant les 30 minutes précédentes,1,Pas de changement significatif des caractéristiques ou des dimensions de l'œil,,,,,Operational
bufr4/0/19/104/2,019104,Évolution du caractère de l'œil durant les 30 minutes précédentes,2,"L'œil est devenu plus petit, sans changement significatif de ses autres caractéristiques",,,,,Operational
bufr4/0/19/104/3,019104,Évolution du caractère de l'œil durant les 30 minutes précédentes,3,"L'œil est devenu plus grand, sans changement significatif de ses autres caractéristiques",,,,,Operational
bufr4/0/19/104/4,019104,Évolution du caractère de l'œil durant les 30 minutes précédentes,4,"L'œil est devenu moins distinct, sans changement significatif des ses dimensions",,,,,Operational
bufr4/0/19/104/5,019104,Évolution du caractère de l'œil durant les 30 minutes précédentes,5,L'œil est devenu moins distinct et s'est rétréci,,,,,Operational
bufr4/0/19/104/6,019104,Évolution du caractère de l'œil durant les 30 minutes précédentes,6,L'œil est devenu moins distinct et s'est agrandi,,,,,Operational
bufr4/0/19/104/7,019104,Évolution du caractère de l'œil durant les 30 minutes précédentes,7,"L'œil est devenu plus distinct, sans changement significatif de ses dimensions",,,,,Operational
bufr4/0/19/104/8,019104,Évolution du caractère de l'œil durant les 30 minutes précédentes,8,L'œil est devenu plus distinct et s'est rétréci,,,,,Operational
