FXY,ElementName_fr,CodeFigure,EntryName_fr,EntryName_sub1_fr,EntryName_sub2_fr,Note_fr,noteIDs,Status
023001,Notification rapide d'un accident — article applicable,0,En réserve,,,,,Operational
023001,Notification rapide d'un accident — article applicable,1,Articles 1 et 2,,,,,Operational
023001,Notification rapide d'un accident — article applicable,2,Article 3,,,,,Operational
023001,Notification rapide d'un accident — article applicable,3,Article 5.2,,,,,Operational
023001,Notification rapide d'un accident — article applicable,4-6,En réserve,,,,,Operational
023001,Notification rapide d'un accident — article applicable,7,Valeur manquante,,,,,Operational
023002,Activité ou installation en cause dans l'incident,0,En réserve,,,,,Operational
023002,Activité ou installation en cause dans l'incident,1,Réacteur nucléaire au sol,,,,,Operational
023002,Activité ou installation en cause dans l'incident,2,Réacteur nucléaire en mer,,,,,Operational
023002,Activité ou installation en cause dans l'incident,3,Réacteur nucléaire dans l'espace,,,,,Operational
023002,Activité ou installation en cause dans l'incident,4,Installation de combustible nucléaire,,,,,Operational
023002,Activité ou installation en cause dans l'incident,5,Installation de gestion de déchets radioactifs,,,,,Operational
023002,Activité ou installation en cause dans l'incident,6,Transport de combustible nucléaire ou de déchets radioactifs,,,,,Operational
023002,Activité ou installation en cause dans l'incident,7,Stockage de combustible nucléaire ou de déchets radioactifs,,,,,Operational
023002,Activité ou installation en cause dans l'incident,8,Usine de radio-isotopes,,,,,Operational
023002,Activité ou installation en cause dans l'incident,9,Utilisation de radio-isotopes,,,,,Operational
023002,Activité ou installation en cause dans l'incident,10,Stockage de radio-isotopes,,,,,Operational
023002,Activité ou installation en cause dans l'incident,11,Élimination de radio-isotopes,,,,,Operational
023002,Activité ou installation en cause dans l'incident,12,Transport de radio-isotopes,,,,,Operational
023002,Activité ou installation en cause dans l'incident,13,Utilisation de radio-isotopes pour la production d'énergie,,,,,Operational
023002,Activité ou installation en cause dans l'incident,14-29,En réserve,,,,,Operational
023002,Activité ou installation en cause dans l'incident,30,Autre,,,,,Operational
023002,Activité ou installation en cause dans l'incident,31,Valeur manquante,,,,,Operational
023003,Type de rejet,0,Aucun rejet,,,,,Operational
023003,Type de rejet,1,Rejet dans l'atmosphère,,,,,Operational
023003,Type de rejet,2,Rejet dans l'eau,,,,,Operational
023003,Type de rejet,3,Rejet dans l'atmosphère et l'eau,,,,,Operational
023003,Type de rejet,4,Rejet prévu dans l'atmosphère,,,,,Operational
023003,Type de rejet,5,Rejet prévu dans l'eau,,,,,Operational
023003,Type de rejet,6,Rejet prévu dans l'atmosphère et l'eau,,,,,Operational
023003,Type de rejet,7,Valeur manquante,,,,,Operational
023004,Contre-mesures prises près de la frontière,0,Aucune contre-mesure,,,,,Operational
023004,Contre-mesures prises près de la frontière,1,Évacuation,,,,,Operational
023004,Contre-mesures prises près de la frontière,2,Mise à l'abri,,,,,Operational
023004,Contre-mesures prises près de la frontière,3,Mesures prophylactiques,,,,,Operational
023004,Contre-mesures prises près de la frontière,4,Eau,,,,,Operational
023004,Contre-mesures prises près de la frontière,5-6,En réserve,,,,,Operational
023004,Contre-mesures prises près de la frontière,7,Valeur manquante,,,,,Operational
023005,Cause de l'incident,0,L'État où s'est produit l'incident ne comprend pas ce qui s'est passé,,,,,Operational
023005,Cause de l'incident,1,L'État où s'est produit l'incident en connaît la cause,,,,,Operational
