Id,ClassNo,ClassName_fr,FXY,ElementName_fr,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_fr,noteIDs,Status,translated_by
bufr4/0/22/001,22,Classe 22 Éléments océanographiques,022001,Direction des vagues,,0,0,9,,0,3,,,Operational,Original
bufr4/0/22/002,22,Classe 22 Éléments océanographiques,022002,Direction des vagues de la mer du vent,,0,0,9,,0,3,,,Operational,Original
bufr4/0/22/003,22,Classe 22 Éléments océanographiques,022003,Direction des vagues de la houle,,0,0,9,,0,3,,,Operational,Original
bufr4/0/22/004,22,Classe 22 Éléments océanographiques,022004,Direction du courant,,0,0,9,,0,3,(voir note 7),54,Operational,Original
bufr4/0/22/005,22,Classe 22 Éléments océanographiques,022005,Direction du courant marin de surface,,0,0,9,,0,3,,,Operational,Original
bufr4/0/22/011,22,Classe 22 Éléments océanographiques,022011,Période des vagues,,0,0,6,,0,2,,,Operational,Original
bufr4/0/22/012,22,Classe 22 Éléments océanographiques,022012,Période des vagues de la mer du vent,,0,0,6,,0,2,,,Operational,Original
bufr4/0/22/013,22,Classe 22 Éléments océanographiques,022013,Période des vagues de la houle,,0,0,6,,0,2,,,Operational,Original
bufr4/0/22/021,22,Classe 22 Éléments océanographiques,022021,Hauteur des vagues,,1,0,10,,1,4,,,Operational,Original
bufr4/0/22/022,22,Classe 22 Éléments océanographiques,022022,Hauteur des vagues de la mer du vent,,1,0,10,,1,4,,,Operational,Original
bufr4/0/22/023,22,Classe 22 Éléments océanographiques,022023,Hauteur des vagues de la houle,,1,0,10,,1,4,,,Operational,Original
bufr4/0/22/025,22,Classe 22 Éléments océanographiques,022025,Écart type de la hauteur des vagues,,2,0,10,,2,4,,,Operational,Original
bufr4/0/22/026,22,Classe 22 Éléments océanographiques,022026,Écart type de la hauteur significative des vagues,,2,0,10,,2,4,,,Operational,Original
bufr4/0/22/031,22,Classe 22 Éléments océanographiques,022031,Vitesse du courant,,2,0,13,,2,4,,,Operational,Original
bufr4/0/22/032,22,Classe 22 Éléments océanographiques,022032,Vitesse du courant marin de surface,,2,0,13,,2,4,,,Operational,Original
bufr4/0/22/035,22,Classe 22 Éléments océanographiques,022035,Hauteur de marée par rapport aux zéros hydrographiques locaux,,2,0,14,,2,4,,,Operational,Original
bufr4/0/22/036,22,Classe 22 Éléments océanographiques,022036,Hauteur de marée résiduelle météorologique (montée ou retrait des eaux),,2,0,14,,2,4,,,Operational,Original
