Id,ClassNo,ClassName_fr,FXY,ElementName_fr,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_fr,noteIDs,Status,translated_by
bufr4/0/06/001,06,Classe 06 – Position (horizontale – 2),006001,Longitude (précision élevée),,5,,26,,5,8,,,Operational,Original
bufr4/0/06/002,06,Classe 06 – Position (horizontale – 2),006002,Longitude (faible précision),,2,,16,,2,5,,,Operational,Original
bufr4/0/06/011,06,Classe 06 – Position (horizontale – 2),006011,Incrément de longitude (précision élevée),,5,,26,,5,8,,,Operational,Original
bufr4/0/06/012,06,Classe 06 – Position (horizontale – 2),006012,Incrément de longitude (faible précision),,2,,16,,2,5,,,Operational,Original
bufr4/0/06/015,06,Classe 06 – Position (horizontale – 2),006015,Décalage en longitude (précision élevée),,5,,26,,5,8,,,Operational,Original
bufr4/0/06/016,06,Classe 06 – Position (horizontale – 2),006016,Décalage en longitude (faible précision),,2,,16,,2,5,,,Operational,Original
bufr4/0/06/021,06,Classe 06 – Position (horizontale – 2),006021,Distance,,-1,,13,,-1,4,,,Operational,Original
bufr4/0/06/029,06,Classe 06 – Position (horizontale – 2),006029,Nombre d'ondes,,1,,22,,1,7,,,Operational,Original
bufr4/0/06/030,06,Classe 06 – Position (horizontale – 2),006030,Numéro d'onde (spectrale),,5,,13,,5,4,,,Operational,Original
bufr4/0/06/031,06,Classe 06 – Position (horizontale – 2),006031,Numéro de la rangée,,0,,12,,0,4,,,Operational,Original
bufr4/0/06/032,06,Classe 06 – Position (horizontale – 2),006032,Décalage X (voir la note 6),,2,,31,,2,11,,,Operational,Original
bufr4/0/06/033,06,Classe 06 – Position (horizontale – 2),006033,Taille des pixels sur l'horizontale – 2,,-1,,16,,-1,5,,,Operational,Original
bufr4/0/06/034,06,Classe 06 – Position (horizontale – 2),006034,Numéro de cellule dans le plan transversal,,0,,7,,0,3,,,Operational,Original
bufr4/0/06/035,06,Classe 06 – Position (horizontale – 2),006035,Taille maximale de la dimension y,,0,,12,,0,4,,,Operational,Original
bufr4/0/06/040,06,Classe 06 – Position (horizontale – 2),006040,Rayon de confiance,,0,,13,,0,4,,,Operational,Original
bufr4/0/06/041,06,Classe 06 – Position (horizontale – 2),006041,Numéro d'échantillon de balayage terrestre,Numeric,0,0,11,Numeric,0,4,,,Operational,AI Translator: MCP
bufr4/0/06/042,06,Classe 06 – Position (horizontale – 2),006042,Numéro d'échantillon de balayage espace/lune,Numeric,0,0,6,Numeric,0,2,,,Operational,AI Translator: MCP
bufr4/0/06/043,06,Classe 06 – Position (horizontale – 2),006043,Longitude du point sous-satellite,deg,4,-1800000,22,deg,4,8,,,Operational,AI Translator: MCP
