"ClassNo","ClassName_fr","FXY","ElementName_fr","BUFR_Unit_fr","BUFR_Scale","BUFR_ReferenceValue","BUFR_DataWidth_Bits","CREX_Unit_fr","CREX_Scale","CREX_DataWidth_Char","Note_fr","noteIDs","Status"
"10","Classe 10 – Position d'éléments autres que des coordonnées (verticale)","010001","Hauteur de la surface terrestre","m","0","","15","m","0","5","","","Operational"
"10","Classe 10 – Position d'éléments autres que des coordonnées (verticale)","010002","Hauteur","m","-1","","16","m","-1","5","","","Operational"
"10","Classe 10 – Position d'éléments autres que des coordonnées (verticale)","010003","Géopotentiel","m² s-2","-1","","17","m² s-2","-1","6","","","Operational"
"10","Classe 10 – Position d'éléments autres que des coordonnées (verticale)","010004","Pression","Pa","-1","","14","Pa","-1","5","","","Operational"
"10","Classe 10 – Position d'éléments autres que des coordonnées (verticale)","010007","Hauteur","m","0","","17","m","0","6","","","Operational"
"10","Classe 10 – Position d'éléments autres que des coordonnées (verticale)","010008","Géopotentiel","m² s-2","0","","20","m² s-2","-1","6","","","Operational"
"10","Classe 10 – Position d'éléments autres que des coordonnées (verticale)","010009","Hauteur géopotentielle","gpm","0","","17","gpm","0","5","","","Operational"
"10","Classe 10 – Position d'éléments autres que des coordonnées (verticale)","010010","Pression minimale réduite au niveau moyen des mers","Pa","-1","","14","Pa","-1","5","","","Operational"
"10","Classe 10 – Position d'éléments autres que des coordonnées (verticale)","010011","Pression maximale réduite au niveau moyen des mers","Pa","-1","","14","Pa","-1","5","","","Operational"
"10","Classe 10 – Position d'éléments autres que des coordonnées (verticale)","010031","En direction du pôle Nord, distance à partir du centre de la Terre (voir notes 2 et 3)","m","2","","31","m","2","10","","","Operational"
"10","Classe 10 – Position d'éléments autres que des coordonnées (verticale)","010032","Distance du satellite au centre de la Terre","m","1","","27","m","2","9","","","Operational"
"10","Classe 10 – Position d'éléments autres que des coordonnées (verticale)","010033","Altitude (de la plate-forme par rapport à l'ellipsoïde)","m","1","","27","m","2","9","","","Operational"
"10","Classe 10 – Position d'éléments autres que des coordonnées (verticale)","010034","Rayon de la Terre","m","1","","27","m","2","9","","","Operational"
"10","Classe 10 – Position d'éléments autres que des coordonnées (verticale)","010035","Rayon de la courbure locale de la Terre","m","1","","22","m","1","8","","","Operational"
"10","Classe 10 – Position d'éléments autres que des coordonnées (verticale)","010036","Ondulation du géoïde","m","2","","15","m","2","6","(voir note 4)","4","Operational"
"10","Classe 10 – Position d'éléments autres que des coordonnées (verticale)","010038","Hauteur maximale de la pontée au-dessus de la ligne de charge d'été","m","0","","6","m","0","2","","","Operational"
