Category,CategoryOfSequences_fr,FXY1,Title_fr,SubTitle_fr,FXY2,ElementName_fr,ElementDescription_fr,Note_fr,Status,translated_by
06,Table D/06 BUFR,D06001,"Profondeur, température",,B02032,Indicateur de numérisation,,,Operational,AI Translator: MCP
06,Table D/06 BUFR,D06001,"Profondeur, température",,R02000,Répétition différée de 2 descripteurs,,,Operational,AI Translator: MCP
06,Table D/06 BUFR,D06001,"Profondeur, température",,B07062,Profondeur sous la surface de la mer/de l'eau,,,Operational,AI Translator: MCP
06,Table D/06 BUFR,D06001,"Profondeur, température",,B22042,Température de la mer/de l'eau,,,Operational,AI Translator: MCP
06,Table D/06 BUFR,D06002,Courant,,B02031,Durée et heure de la mesure du courant,,,Operational,AI Translator: MCP
06,Table D/06 BUFR,D06002,Courant,,B22004,Direction du courant,,,Operational,AI Translator: MCP
06,Table D/06 BUFR,D06002,Courant,,B22031,Vitesse du courant,,,Operational,AI Translator: MCP
06,Table D/06 BUFR,D06003,de mesure par sonde immergée) Vent et température en surface,,B02002,Type d'instrument pour la mesure du vent,,,Operational,AI Translator: MCP
06,Table D/06 BUFR,D06003,de mesure par sonde immergée) Vent et température en surface,,B11011,Direction du vent à 10 m,,,Operational,AI Translator: MCP
06,Table D/06 BUFR,D06003,de mesure par sonde immergée) Vent et température en surface,,B11012,Vitesse du vent à 10 m,,,Operational,AI Translator: MCP
06,Table D/06 BUFR,D06003,de mesure par sonde immergée) Vent et température en surface,,B12004,Température de l'air à 2 m,,,Operational,AI Translator: MCP
06,Table D/06 BUFR,D06004,"Profondeur, température, salinité",,B02032,Indicateur de numérisation,,,Operational,AI Translator: MCP
06,Table D/06 BUFR,D06004,"Profondeur, température, salinité",,B02033,Méthode de mesure de la salinité en fonction de la profondeur,,,Operational,AI Translator: MCP
06,Table D/06 BUFR,D06004,"Profondeur, température, salinité",,R03000,Répétition différée de 3 descripteurs,,,Operational,AI Translator: MCP
06,Table D/06 BUFR,D06004,"Profondeur, température, salinité",,B07062,Profondeur sous la surface de la mer/de l'eau,,,Operational,AI Translator: MCP
06,Table D/06 BUFR,D06004,"Profondeur, température, salinité",,B22043,Température de la mer/de l'eau,,,Operational,AI Translator: MCP
06,Table D/06 BUFR,D06004,"Profondeur, température, salinité",,B22062,Salinité,,,Operational,AI Translator: MCP
06,Table D/06 BUFR,D06005,,,B02031,Durée et heure de la mesure du courant,,,Operational,AI Translator: MCP
06,Table D/06 BUFR,D06005,,,R03000,Répétition différée de 3 descripteurs,,,Operational,AI Translator: MCP
06,Table D/06 BUFR,D06005,,,B07062,Profondeur sous la surface de la mer/de l'eau,,,Operational,AI Translator: MCP
06,Table D/06 BUFR,D06005,,,B22004,Direction du courant,,,Operational,AI Translator: MCP
06,Table D/06 BUFR,D06005,,,B22031,Vitesse du courant,,,Operational,AI Translator: MCP
06,Table D/06 BUFR,D06006,Paramètres de sondage sous-marin (optionnels),,D06003,de mesure par sonde immergée) Vent et température en surface,,,Operational,AI Translator: MCP
06,Table D/06 BUFR,D06006,Paramètres de sondage sous l'eau (facultatif),,D06002,Courant,,,Operational,AI Translator: MCP
06,Table D/06 BUFR,D06006,Paramètres de sondage (optionnels),,B22063,Profondeur totale de l'eau,,,Operational,AI Translator: MCP
06,Table D/06 BUFR,D06007,Paramètres du bloc de rechange de la bouée,,B01012,Direction de déplacement de la plate-forme d’observation mobile*,,,Operational,AI Translator: MCP
06,Table D/06 BUFR,D06007,Paramètres de bloc de rechange de bouée,,B01014,Vitesse de dérive de la plate-forme (précision élevée),,,Operational,AI Translator: MCP
06,Table D/06 BUFR,D06007,Paramètres de bloc de rechange de bouée,,D06008,Paramètres des instruments pour bouées,,,Operational,AI Translator: MCP
06,Table D/06 BUFR,D06007,Paramètres du bloc de rechange de la bouée,,B04024,Période ou décalage dans le temps,,,Operational,AI Translator: MCP
06,Table D/06 BUFR,D06007,Paramètres de bloc de rechange de bouée,,B27003,Autre latitude possible (faible précision),,,Operational,AI Translator: MCP
06,Table D/06 BUFR,D06007,Paramètres du bloc de rechange de la bouée,,B28003,Autre longitude possible (faible précision),,,Operational,AI Translator: MCP
06,Table D/06 BUFR,D06008,Paramètres des instruments pour bouées,,B02034,Type de lest (stabilisateur),,,Operational,AI Translator: MCP
06,Table D/06 BUFR,D06008,Paramètres des instruments pour bouées,,B02035,Longueur du câble,,,Operational,AI Translator: MCP
06,Table D/06 BUFR,D06008,Paramètres des instruments pour bouées,,B02036,Type de bouée,,,Operational,AI Translator: MCP
06,Table D/06 BUFR,D06011,"Séquence pour la représentation de l'identification de la station d'observation des marées, méthode de transmission, heure de transmission du message et heure de référence pour les rapports dans des séries chronologiques.",,D01021,"Latitude, longitude (précision élevée)",,,Operational,AI Translator: MCP
06,Table D/06 BUFR,D06011,"Séquence pour la représentation de l'identification de la station de marée, méthode de transmission, heure de transmission du message et heure de référence pour les rapports dans une série chronologique.",,B01075,Identification de la station d’observation des marées,Identification alphanumérique (5 caractères),,Operational,AI Translator: MCP
06,Table D/06 BUFR,D06011,"Séquence pour la représentation de l'identification de la station de marée, méthode de transmission, heure de transmission du message et heure de référence pour les rapports dans une série chronologique.",,B02147,Mode de transmission au centre de collecte des données,,,Operational,AI Translator: MCP
06,Table D/06 BUFR,D06011,"Séquence pour la représentation de l'identification de la station d'observation des marées, méthode de transmission, heure de transmission du message et heure de référence pour les rapports dans des séries chronologiques.",,D01011,"et trajectoire et évolution prévues) Année, mois, jour",,,Operational,AI Translator: MCP
06,Table D/06 BUFR,D06011,"Séquence pour la représentation de l'identification de la station d'observation des marées, méthode de transmission, heure de transmission du message et heure de référence pour les rapports dans des séries chronologiques.",,D01013,"Heure, minute, seconde",,,Operational,AI Translator: MCP
06,Table D/06 BUFR,D06012,"Séquence pour la représentation du type de capteur, de la caractéristique du capteur et du mode de fonctionnement",,B02007,Type de capteur pour les instruments de mesure de la hauteur d’eau,,,Operational,AI Translator: MCP
06,Table D/06 BUFR,D06012,"Séquence pour la représentation du type de capteur, de la caractéristique du capteur et du mode de fonctionnement",,B08015,Caractéristique du capteur,,,Operational,AI Translator: MCP
06,Table D/06 BUFR,D06012,"Séquence pour la représentation du type de capteur, de la caractéristique du capteur et du mode de fonctionnement",,B08032,Mode de fonctionnement,,,Operational,AI Translator: MCP
06,Table D/06 BUFR,D06012,"Séquence pour la représentation du type de capteur, de la caractéristique du capteur et du mode de fonctionnement",,D06029,Séquence pour la représentation des informations d'échantillonnage provenant du tsunamimètre relatives aux hauteurs de la colonne d'eau dans les séries chronologiques,,,Operational,AI Translator: MCP
06,Table D/06 BUFR,D06013,Séquence pour la représentation de l'instrument de mesure de la hauteur d'eau et du résiduel dans les séries chronologiques,,D06012,"Séquence pour la représentation du type de capteur, de la caractéristique du capteur et du mode de fonctionnement",,,Operational,AI Translator: MCP
06,Table D/06 BUFR,D06013,Séquence pour la représentation de l'instrument de mesure de la hauteur d'eau et du résiduel dans les séries chronologiques,,D01011,"et trajectoire et évolution prévues) Année, mois, jour",Date de référence pour les séries chronologiques,,Operational,AI Translator: MCP
06,Table D/06 BUFR,D06013,Séquence pour la représentation de l'instrument de mesure de la hauteur d'eau et du résiduel dans les séries chronologiques,,D01013,"Heure, minute, seconde",Heure de référence pour les séries chronologiques,,Operational,AI Translator: MCP
