FXY,OperatorName_fr,OperationDefinition_fr,Note_fr,noteIDs,Status
201YYY,Changer le champ de données,"Ajouter (YYY-128) bits au champ de données indiqué pour chaque élément de données de la Table B, autre que des données (alphanumériques) CCITT IA5, une table de code ou une table d'indicateurs.",,,Operational
202YYY,Changer d'échelle,"Ajouter YYY-128 à l'échelle figurant dans la Table B pour les éléments autres qu'une donnée (caractère) CCITT IA5, une table de code ou une table d'indicateurs.",,,Operational
203YYY,Changer de valeurs de référence,"Les descripteurs d'éléments suivants définissent de nouvelles valeurs de référence pour les entrées correspondantes de la Table B. Chaque nouvelle valeur de référence est représentée par YYY bits dans la Section des données. Pour terminer la définition des nouvelles valeurs de référence, on code YYY = 255. Les valeurs de référence négatives sont représentées par un nombre entier positif pour lequel le bit le plus à gauche (bit 1) est mis à 1.",,,Operational
204YYY,Ajouter un champ associé,Faire précéder chaque élément de données de YYY bits d'information. Cette opération a pour objet d'associer un champ de données (correspondant par exemple à des informations sur le contrôle de la qualité) de YYY bits à chaque élément de données.,,,Operational
205YYY,Indiquer des caractères,YYY caractères (codés conformément à l'Alphabet international N° 5 du CCITT) sont insérés en tant que champ de données de YYY x 8 bits.,,,Operational
206YYY,Indiquer le champ de données pour le descripteur local suivant immédiatement,YYY bits de données sont décrits par le descripteur suivant immédiatement.,,,Operational
207YYY,"Augmenter l'échelle, la valeur de référence et le champ de données","L'opérateur s'applique comme suit aux éléments de la Table B, autres que des caractères alphanumériques (CCITT IA5), une table de code ou une table d'indicateurs : 1. Ajouter YYY au facteur d'échelle indiqué 2. Multiplier la valeur de référence indiquée par 10^YYY 3. Calculer ((10 x YYY) + 2) +3 et ajouter le résultat, sans tenir compte des décimales, au champ de données indiqué.",,,Operational
208YYY,Changer le champ des données CCITT IA5,YYY caractères de l'Alphabet international N° 5 du CCITT (représentant un champ de Y x 8 bits) remplacent le champ de données indiqué pour chaque élément de la Table B représenté par des caractères alphanumériques CCITT IA5.,,,Operational
221YYY,Données absentes,Les valeurs désignées dans la Section 4 (Section des données) correspondant aux descripteurs YYY qui suivent ne portent que sur les données des classes 01 à 09 et 31.,,,Operational
222000,Informations sur la qualité à la suite,Les valeurs des éléments de la classe 33 qui suivent portent sur les données définies par la table binaire de présence de données.,,,Operational
223000,Opérateur de valeurs substituées,Les valeurs substituées qui suivent portent sur les données définies par la table binaire de présence de données.,,,Operational
223255,Opérateur repère de valeurs substituées,Cet opérateur désigne un élément de données contenant une valeur substituée; le descripteur d'élément auquel correspond la valeur substituée s'obtient en appliquant la table de corrélation associée à l'opérateur de valeurs substituées.,,,Operational
224000,Valeurs statistiques de premier ordre à la suite,Les valeurs statistiques qui suivent portent sur les données définies par la table binaire de présence de données.,,,Operational
224255,Opérateur repère de valeurs statistiques de premier ordre,Cet opérateur désigne un élément de données contenant une valeur statistique de premier ordre du type indiqué par le descripteur d'élément 0 08 023 précédent; le descripteur d'élément correspondant à la valeur statistique différentielle s'obtient en appliquant la table de corrélation associée à l'opérateur valeurs statistiques de premier ordre à la suite; les valeurs statistiques de premier ordre sont représentées selon la définition de ce descripteur d'élément.,,,Operational
225000,Valeurs statistiques différentielles à la suite,Les valeurs statistiques qui suivent portent sur les données définies par la table binaire de présence de données.,,,Operational
225255,Opérateur repère de valeurs statistiques différentielles,"Cet opérateur désigne un élément de données contenant une valeur statistique différentielle du type indiqué par le descripteur d'élément 0 08 024 précédent; le descripteur d'élément correspondant à la statistique différentielle s'obtient en appliquant la table de corrélation associée à l'opérateur valeurs statistiques différentielles à la suite; les valeurs statistiques différentielles sont représentées selon la définition de ce descripteur d'élément, mais avec une valeur de référence égale à -2^n et un champ de données de (n+1), n étant le champ de données indiqué par le descripteur d'origine. Cette valeur de référence spéciale permet de centrer les valeurs des différences statistiques sur le zéro.",,,Operational
232000,Valeurs remplacées/ retenues à la suite,Les valeurs remplacées/retenues qui suivent portent sur les données définies par la table binaire de présence de données.,,,Operational
232255,Opérateur repère de valeurs remplacées/ retenues,Cet opérateur désigne un élément de données contenant la valeur d'origine d'un élément remplacé par une valeur substituée; le descripteur d'élément auquel correspond la valeur retenue s'obtient en appliquant la table de corrélation associée à l'opérateur de valeurs substituées.,,,Operational
235000,Annuler les références en amont,Cet opérateur annule toute référence précédemment définie en amont et toute table de corrélation précédemment définie; la table de corrélation suivante renvoie aux descripteurs de données précédant immédiatement l'opérateur auquel elle correspond.,,,Operational
236000,Définir une table binaire de présence de données,Cet opérateur définit la table de corrélation qui suit de façon à ce qu'elle puisse être réutilisée; une seule table de corrélation peut être définie entre cet opérateur et l'opérateur annuler l'utilisation de la table de corrélation définie.,,,Operational
237000,Utiliser la table de corrélation définie,Cet opérateur permet de réutiliser la table de corrélation définie.,,,Operational
237255,Annuler l'utilisation de la table de corrélation définie,Cet opérateur annule la réutilisation de la table de corrélation définie.,,,Operational
241000,Définir le phénomène,Cet opérateur indique le commencement de la définitiion d'un phénomène.,(voir note 19),,Operational
241255,Annuler la définition du phénomène,"Cet opérateur indique la fin de la définition du phénomène, qui avait commencé avec l'opérateur précédent 2 41 000.",,,Operational
242000,Définir le phénomène associé,Cet opérateur indique le commencement de la définition d'un phénomène associé.,(voir note 19),,Operational
242255,Annuler la définition du phénomène associé,"Cet opérateur indique la fin de la définition du phénomène associé, qui avait commencé avec l'opérateur précédent 2 42 000.",,,Operational
243000,Prévisions catégorielles à la suite,Les valeurs qui suivent sont des prévisions catégorielles.,(voir note 20),,Operational
243255,Annuler les prévisions catégorielles à la suite,"Cet opérateur indique la fin de la définition des prévisions catégorielles, qui avait commencé avec l'opérateur précédent 2 43 000.",,,Operational
