CodeFigure,Meaning_fr,Status
0,Données de surface – terre,Operational
1,Données de surface – mer,Operational
2,Sondages verticaux (autres que par satellite),Operational
3,Sondages verticaux (par satellite),Operational
4,Données d'observation en altitude à un seul niveau (autres que données satellitaires),Operational
5,Données d'observation en altitude à un seul niveau (satellitaires),Operational
6,Données radar,Operational
7,Caractéristiques synoptiques,Operational
8,Constituants physiques/chimiques,Operational
9,Dispersion et transport,Operational
10,Données radiologiques,Operational
11,"Tables du code BUFR, remplacement intégral ou mise à jour",Operational
12,Données d'observation en surface (satellitaires),Operational
13,Prévisions,Operational
14,Messages d'alerte,Operational
15-19,En réserve,Operational
20,Information sur l'état,Operational
21,Luminance énergétique (mesurée par satellite),Operational
22,"Radar (satellite), hormis altimètre et diffusiomètre",Operational
23,Lidar (satellite),Operational
24,Diffusiométrie (satellite),Operational
25,Altimétrie (satellite),Operational
26,Spectrométrie (satellite),Operational
27,Mesure du champ de gravité (satellite),Operational
28,Orbitographie précise (satellite),Operational
29,Environnement spatial (satellite),Operational
30,Jeux de données d'étalonnage (satellite),Operational
31,Données océanographiques,Operational
32-100,En réserve,Operational
101,Imagerie (satellite),Operational
102-239,En réserve,Operational
240-254,À usage expérimental,Operational
255,Autre catégorie,Operational
