Id,FXY,ElementName_fr,CodeFigure,EntryName_fr,EntryName_sub1_fr,EntryName_sub2_fr,Note_fr,noteIDs,Status,translated_by
bufr4/0/08/001/1,008001,Caractéristique correspondant à des données de sondage vertical,1,Surface,,,,,Operational,Original
bufr4/0/08/001/2,008001,Caractéristique correspondant à des données de sondage vertical,2,Niveau standard,,,,,Operational,Original
bufr4/0/08/001/3,008001,Caractéristique correspondant à des données de sondage vertical,3,Niveau de la tropopause,,,,,Operational,Original
bufr4/0/08/001/4,008001,Caractéristique correspondant à des données de sondage vertical,4,Niveau du vent maximal,,,,,Operational,Original
bufr4/0/08/001/5,008001,Caractéristique correspondant à des données de sondage vertical,5,"Niveau significatif, température et/ou humidité relative",,,,,Operational,Original
bufr4/0/08/001/6,008001,Caractéristique correspondant à des données de sondage vertical,6,"Niveau significatif, vent",,,,,Operational,Original
bufr4/0/08/001/All-7,008001,Caractéristique correspondant à des données de sondage vertical,All 7,Valeur manquante,,,,,Operational,AI Translator: MCP
bufr4/0/08/002/0,008002,Caractéristique verticale (observations en surface),0,Les règles d'observation pour la base du nuage le plus bas et les types de nuages de FM 12 SYNOP et FM 13 SHIP s'appliquent,,,,,Operational,Original
bufr4/0/08/002/1,008002,Caractéristique verticale (observations en surface),1,Première couche de nuages significatifs (autres que cumulonimbus),,,,,Operational,Original
bufr4/0/08/002/2,008002,Caractéristique verticale (observations en surface),2,Deuxième couche de nuages significatifs (autres que cumulonimbus),,,,,Operational,Original
bufr4/0/08/002/3,008002,Caractéristique verticale (observations en surface),3,Troisième couche de nuages significatifs (autres que cumulonimbus),,,,,Operational,Original
bufr4/0/08/002/4,008002,Caractéristique verticale (observations en surface),4,Couche de cumulonimbus,,,,,Operational,Original
bufr4/0/08/002/5,008002,Caractéristique verticale (observations en surface),5,Plafond,,,,,Operational,Original
bufr4/0/08/002/6,008002,Caractéristique verticale (observations en surface),6,Nuages non détectés en dessous de l'(des) altitude(s) suivante(s),,,,,Operational,Original
bufr4/0/08/002/7,008002,Caractéristique verticale (observations en surface),7,Nuages de l'étage inférieur,,,,,Operational,Original
bufr4/0/08/002/8,008002,Caractéristique verticale (observations en surface),8,Nuages de l'étage moyen,,,,,Operational,Original
bufr4/0/08/002/9,008002,Caractéristique verticale (observations en surface),9,Nuages de l'étage supérieur,,,,,Operational,Original
bufr4/0/08/002/10,008002,Caractéristique verticale (observations en surface),10,Couche de nuages dont la base est en dessous de la station et le sommet au-dessus,,,,,Operational,Original
bufr4/0/08/002/11,008002,Caractéristique verticale (observations en surface),11,Couche de nuages dont la base et le sommet sont en dessous du niveau de la station,,,,,Operational,Original
bufr4/0/08/002/12-19,008002,Caractéristique verticale (observations en surface),12-19,En réserve,,,,,Operational,Original
bufr4/0/08/002/20,008002,Caractéristique verticale (observations en surface),20,Aucun nuage détecté par le système de détection des nuages,,,,,Operational,Original
bufr4/0/08/002/21,008002,Caractéristique verticale (observations en surface),21,Première couche de nuages détectée par un instrument,,,,,Operational,Original
bufr4/0/08/002/22,008002,Caractéristique verticale (observations en surface),22,Deuxième couche de nuages détectée par un instrument,,,,,Operational,Original
bufr4/0/08/002/23,008002,Caractéristique verticale (observations en surface),23,Troisième couche de nuages détectée par un instrument,,,,,Operational,Original
bufr4/0/08/002/24,008002,Caractéristique verticale (observations en surface),24,Quatrième couche de nuages détectée par un instrument,,,,,Operational,Original
bufr4/0/08/002/25-61,008002,Caractéristique verticale (observations en surface),25-61,En réserve,,,,,Operational,Original
bufr4/0/08/002/62,008002,Caractéristique verticale (observations en surface),62,Valeur ne s'appliquant pas,,,,,Operational,Original
bufr4/0/08/002/63,008002,Caractéristique verticale (observations en surface),63,Valeur manquante,,,,,Operational,Original
bufr4/0/08/003/0,008003,Caractéristique verticale (observations par satellite),0,Surface,,,,,Operational,Original
bufr4/0/08/003/1,008003,Caractéristique verticale (observations par satellite),1,Base du sondage par satellite,,,,,Operational,Original
bufr4/0/08/003/2,008003,Caractéristique verticale (observations par satellite),2,Sommet des nuages,,,,,Operational,Original
bufr4/0/08/003/3,008003,Caractéristique verticale (observations par satellite),3,Tropopause,,,,,Operational,Original
bufr4/0/08/003/4,008003,Caractéristique verticale (observations par satellite),4,Eau précipitable,,,,,Operational,Original
bufr4/0/08/003/5,008003,Caractéristique verticale (observations par satellite),5,Luminance énergétique observée par sondage,,,,,Operational,Original
bufr4/0/08/003/6,008003,Caractéristique verticale (observations par satellite),6,Températures moyennes,,,,,Operational,Original
bufr4/0/08/003/7,008003,Caractéristique verticale (observations par satellite),7,Ozone,,,,,Operational,Original
bufr4/0/08/003/8,008003,Caractéristique verticale (observations par satellite),8,Nuages de l'étage inférieur,,,,,Operational,Original
bufr4/0/08/003/9,008003,Caractéristique verticale (observations par satellite),9,Nuages de l'étage moyen,,,,,Operational,Original
bufr4/0/08/003/10,008003,Caractéristique verticale (observations par satellite),10,Nuages de l'étage supérieur,,,,,Operational,Original
bufr4/0/08/003/11-62,008003,Caractéristique verticale (observations par satellite),11-62,En réserve,,,,,Operational,Original
bufr4/0/08/003/63,008003,Caractéristique verticale (observations par satellite),63,Valeur manquante,,,,,Operational,Original
bufr4/0/08/004/0-1,008004,Phase de vol de l'aéronef,0-1,En réserve,,,,,Operational,Original
bufr4/0/08/004/2,008004,Phase de vol de l'aéronef,2,Non stable (UNS),,,,,Operational,Original
bufr4/0/08/004/3,008004,Phase de vol de l'aéronef,3,"Niveau de vol, observation régulière (LVR)",,,,,Operational,Original
bufr4/0/08/004/4,008004,Phase de vol de l'aéronef,4,"Niveau de vol, vent maximal rencontré (LVW)",,,,,Operational,Original
bufr4/0/08/004/5,008004,Phase de vol de l'aéronef,5,Phase ascendante (ASC),,,,,Operational,Original
bufr4/0/08/004/6,008004,Phase de vol de l'aéronef,6,Phase descendante (DES),,,,,Operational,Original
bufr4/0/08/004/7,008004,Phase de vol de l'aéronef,7,Valeur manquante,,,,,Operational,Original
bufr4/0/08/005/0,008005,Signification de la caractéristique météorologique,0,En réserve,,,,,Operational,Original
bufr4/0/08/005/1,008005,Signification de la caractéristique météorologique,1,Centre de la tempête,,,,,Operational,Original
bufr4/0/08/005/2,008005,Signification de la caractéristique météorologique,2,Limite extérieure ou bord de la tempête,,,,,Operational,Original
bufr4/0/08/005/3,008005,Signification de la caractéristique météorologique,3,Emplacement du vent maximal,,,,,Operational,Original
bufr4/0/08/005/4,008005,Signification de la caractéristique météorologique,4,Localisation de la tempête dans l'analyse perturbée,,,,,Operational,Original
bufr4/0/08/005/5,008005,Signification de la caractéristique météorologique,5,Localisation de la tempête dans l'analyse,,,,,Operational,Original
bufr4/0/08/005/6-14,008005,Signification de la caractéristique météorologique,6-14,En réserve,,,,,Operational,Original
bufr4/0/08/005/15,008005,Signification de la caractéristique météorologique,15,Valeur manquante,,,,,Operational,Original
bufr4/0/08/006/1,008006,Caractéristique du sondage vertical de l'ozone,1,En surface,,,,,Operational,Original
bufr4/0/08/006/2,008006,Caractéristique du sondage vertical de l'ozone,2,Niveau normalisé,,,,,Operational,Original
bufr4/0/08/006/3,008006,Caractéristique du sondage vertical de l'ozone,3,Niveau de la tropopause,,,,,Operational,Original
bufr4/0/08/006/4,008006,Caractéristique du sondage vertical de l'ozone,4,Niveau maximal marquant,,,,,Operational,Original
bufr4/0/08/006/5,008006,Caractéristique du sondage vertical de l'ozone,5,Niveau minimal marquant,,,,,Operational,Original
bufr4/0/08/006/6,008006,Caractéristique du sondage vertical de l'ozone,6,Niveau de pression minimal,,,,,Operational,Original
bufr4/0/08/006/7,008006,Caractéristique du sondage vertical de l'ozone,7,En réserve,,,,,Operational,Original
bufr4/0/08/006/8,008006,Caractéristique du sondage vertical de l'ozone,8,Niveau de signification indéterminée,,,,,Operational,Original
bufr4/0/08/006/All-9,008006,Caractéristique du sondage vertical de l'ozone,All 9,Valeur manquante,,,,,Operational,AI Translator: MCP
bufr4/0/08/007/0,008007,Caractéristiques dimensionnelles,0,Point,,,,,Operational,Original
bufr4/0/08/007/1,008007,Caractéristiques dimensionnelles,1,Ligne,,,,,Operational,Original
bufr4/0/08/007/2,008007,Caractéristiques dimensionnelles,2,Zone,,,,,Operational,Original
bufr4/0/08/007/3,008007,Caractéristiques dimensionnelles,3,Volume,,,,,Operational,Original
bufr4/0/08/007/4-14,008007,Caractéristiques dimensionnelles,4-14,En réserve,,,,,Operational,Original
