Id,ClassNo,ClassName_fr,FXY,ElementName_fr,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_fr,noteIDs,Status,translated_by
bufr4/0/20/001,20,Classe 20 Phénomènes observés,020001,Visibilité horizontale,m,-1,0,13,m,-1,4,,,Operational,Original
bufr4/0/20/002,20,Classe 20 Phénomènes observés,020002,Visibilité verticale,m,-1,0,7,m,-1,3,,,Operational,Original
bufr4/0/20/003,20,Classe 20 Phénomènes observés,020003,Temps présent,Code table,0,0,9,Code table,0,3,(voir note 1),172,Operational,Original
bufr4/0/20/004,20,Classe 20 Phénomènes observés,020004,Temps passé (1),Code table,0,0,5,Code table,0,2,(voir note 2),171,Operational,Original
bufr4/0/20/005,20,Classe 20 Phénomènes observés,020005,Temps passé (2),Code table,0,0,5,Code table,0,2,(voir note 2),171,Operational,Original
bufr4/0/20/006,20,Classe 20 Phénomènes observés,020006,Règles de vol,Code table,0,0,3,Code table,0,1,,,Operational,Original
bufr4/0/20/008,20,Classe 20 Phénomènes observés,020008,"Répartition des nuages, pour l'aviation",Code table,0,0,5,Code table,0,2,,,Operational,Original
bufr4/0/20/009,20,Classe 20 Phénomènes observés,020009,Indicateur général du temps (TAF/METAR),Code table,0,0,4,Code table,0,2,,,Operational,Original
bufr4/0/20/010,20,Classe 20 Phénomènes observés,020010,Nébulosité (totale),%,0,0,7,%,0,3,(voir note 5),20,Operational,Original
bufr4/0/20/011,20,Classe 20 Phénomènes observés,020011,Nébulosité,Code table,0,0,4,Code table,0,2,,,Operational,Original
bufr4/0/20/012,20,Classe 20 Phénomènes observés,020012,Type de nuage,Code table,0,0,6,Code table,0,2,,,Operational,Original
bufr4/0/20/013,20,Classe 20 Phénomènes observés,020013,Hauteur de la base des nuages,m,-1,-40,11,m,-1,4,,,Operational,Original
bufr4/0/20/014,20,Classe 20 Phénomènes observés,020014,Hauteur du sommet des nuages,m,-1,-40,11,m,-1,4,,,Operational,Original
bufr4/0/20/015,20,Classe 20 Phénomènes observés,020015,Pression à la base des nuages,Pa,-1,0,14,Pa,-1,5,,,Operational,Original
bufr4/0/20/016,20,Classe 20 Phénomènes observés,020016,Pression au sommet des nuages,Pa,-1,0,14,Pa,-1,5,,,Operational,Original
bufr4/0/20/017,20,Classe 20 Phénomènes observés,020017,Description du sommet des nuages,Code table,0,0,4,Code table,0,2,,,Operational,Original
bufr4/0/20/018,20,Classe 20 Phénomènes observés,020018,Tendance de la portée visuelle de piste,Code table,0,0,2,Code table,0,1,,,Operational,Original
bufr4/0/20/019,20,Classe 20 Phénomènes observés,020019,Temps significatif présent ou prévu,CCITT IA5,0,0,72,Character,0,9,(voir note 15),118,Operational,Original
bufr4/0/20/020,20,Classe 20 Phénomènes observés,020020,Phénomènes météorologiques significatifs récents,CCITT IA5,0,0,32,Character,0,4,(voir note 15),118,Operational,Original
bufr4/0/20/021,20,Classe 20 Phénomènes observés,020021,Type de précipitation,Flag table,0,0,30,Flag table,0,10,,,Operational,Original
bufr4/0/20/022,20,Classe 20 Phénomènes observés,020022,Caractéristique de la précipitation,Code table,0,0,4,Code table,0,2,,,Operational,Original
bufr4/0/20/023,20,Classe 20 Phénomènes observés,020023,Autres phénomènes météorologiques,Flag table,0,0,18,Flag table,0,6,,,Operational,Original
bufr4/0/20/024,20,Classe 20 Phénomènes observés,020024,Intensité du phénomène,Code table,0,0,3,Code table,0,1,,,Operational,Original
bufr4/0/20/025,20,Classe 20 Phénomènes observés,020025,Obscurcissement,Flag table,0,0,21,Flag table,0,7,,,Operational,Original
bufr4/0/20/026,20,Classe 20 Phénomènes observés,020026,Caractéristique de l'obscurcissement,Code table,0,0,4,Code table,0,2,,,Operational,Original
bufr4/0/20/027,20,Classe 20 Phénomènes observés,020027,Apparition du phénomène,Flag table,0,0,9,Flag table,0,3,,,Operational,Original
bufr4/0/20/028,20,Classe 20 Phénomènes observés,020028,Changement d'intensité prévu,Code table,0,0,3,Code table,0,1,,,Operational,Original
bufr4/0/20/029,20,Classe 20 Phénomènes observés,020029,Indicateur de pluie,Code table,0,0,2,Code table,0,1,,,Operational,Original
bufr4/0/20/031,20,Classe 20 Phénomènes observés,020031,Dépôt de glace (épaisseur),m,2,0,7,m,2,3,,,Operational,Original
bufr4/0/20/032,20,Classe 20 Phénomènes observés,020032,Vitesse d'accumulation de la glace (estimation),Code table,0,0,3,Code table,0,1,,,Operational,Original
bufr4/0/20/033,20,Classe 20 Phénomènes observés,020033,Cause de l'accumulation de la glace,Flag table,0,0,4,Flag table,0,2,,,Operational,Original
bufr4/0/20/034,20,Classe 20 Phénomènes observés,020034,Concentration des glaces de mer,Code table,0,0,5,Code table,0,2,,,Operational,Original
bufr4/0/20/035,20,Classe 20 Phénomènes observés,020035,Quantité et type de glace,Code table,0,0,4,Code table,0,2,,,Operational,Original
bufr4/0/20/036,20,Classe 20 Phénomènes observés,020036,Situation des glaces,Code table,0,0,5,Code table,0,2,,,Operational,Original
bufr4/0/20/037,20,Classe 20 Phénomènes observés,020037,Évolution de la glace,Code table,0,0,5,Code table,0,2,,,Operational,Original
bufr4/0/20/038,20,Classe 20 Phénomènes observés,020038,Direction de la lisière des glaces,degree true,0,0,12,degree true,0,3,(voir note 3),135,Operational,Original
bufr4/0/20/039,20,Classe 20 Phénomènes observés,020039,Distance des glaces,m,-1,0,13,m,-1,4,,,Operational,Original
bufr4/0/20/040,20,Classe 20 Phénomènes observés,020040,Évolution de la chasse-neige,Code table,0,0,4,Code table,0,2,,,Operational,Original
bufr4/0/20/041,20,Classe 20 Phénomènes observés,020041,Givrage d'aéronef,Code table,0,0,4,Code table,0,2,,,Operational,Original
bufr4/0/20/042,20,Classe 20 Phénomènes observés,020042,Givrage de la cellule,Code table,0,0,2,Code table,0,1,,,Operational,Original
bufr4/0/20/043,20,Classe 20 Phénomènes observés,020043,Teneur maximale en eau à l'état liquide,kg m-3,4,0,7,kg m-3,4,2,,,Operational,Original
