"ClassNo","ClassName_fr","FXY","ElementName_fr","BUFR_Unit_fr","BUFR_Scale","BUFR_ReferenceValue","BUFR_DataWidth_Bits","CREX_Unit_fr","CREX_Scale","CREX_DataWidth_Char","Note_fr","noteIDs","Status"
"15","Classe 15 Constituants physiques/chimiques","015001","Ozone total","DU","0","0","10","DU","0","4","","","Operational"
"15","Classe 15 Constituants physiques/chimiques","015002","Masse d'air (correspondant à une trajectoire oblique à une altitude de 22 km)","Numérique","2","0","10","Numérique","2","3","","","Operational"
"15","Classe 15 Constituants physiques/chimiques","015003","Pression partielle de l'ozone mesuré (sondage)","Pa","4","0","9","nbar","0","3","(voir note 1)","1","Operational"
"15","Classe 15 Constituants physiques/chimiques","015004","Facteur de correction du sondage de l'ozone (CF)","Numérique","3","0","11","Numérique","3","4","(voir note 2)","2","Operational"
"15","Classe 15 Constituants physiques/chimiques","015005","Pression partielle de l'ozone","DU","0","0","10","DU","0","3","(voir note 3)","3","Operational"
"15","Classe 15 Constituants physiques/chimiques","015006","Log10 de la concentration en nombre des particules de l'atmosphère","log(m-3)","5","1800000","20","log(m-3)","5","7","","","Operational"
"15","Classe 15 Constituants physiques/chimiques","015008","Mantisse du rapport de mélange volumétrique","Numérique","0","0","10","Numérique","0","4","","","Operational"
"15","Classe 15 Constituants physiques/chimiques","015009","Log10 de la concentration en nombre des molécules d'ozone","log(m-3)","5","1200000","20","log(m-3)","5","7","","","Operational"
"15","Classe 15 Constituants physiques/chimiques","015011","Log10 de la densité électronique intégrée","log (m-2)","3","14000","13","log (m-2)","3","4","","","Operational"
"15","Classe 15 Constituants physiques/chimiques","015012","Nombre total d'électrons par mètre carré","m-2","-16","0","6","m-2","-16","2","","","Operational"
"15","Classe 15 Constituants physiques/chimiques","015015","Valeur maximale du spectre de l'image avant normalisation","Numérique","0","0","31","Numérique","0","10","","","Operational"
"15","Classe 15 Constituants physiques/chimiques","015020","Densité d'ozone intégrée","kg m-2","8","0","21","kg m-2","8","7","","","Operational"
"15","Classe 15 Constituants physiques/chimiques","015021","Densité de masse intégrée","kg m-2","11","0","31","kg m-2","11","10","","","Operational"
"15","Classe 15 Constituants physiques/chimiques","015024","Épaisseur optique","Numérique","4","0","24","Numérique","4","8","","","Operational"
"15","Classe 15 Constituants physiques/chimiques","015025","Type de polluant","Table de code","0","0","4","Table de code","0","2","","","Operational"
"15","Classe 15 Constituants physiques/chimiques","015026","Concentration du polluant (mol mol-¹)","mol mol-1","9","0","9","mol mol-1","9","3","","","Operational"
"15","Classe 15 Constituants physiques/chimiques","015027","Concentration du polluant (kg m-³)","kg m-3","9","0","10","kg m-3","9","4","","","Operational"
"15","Classe 15 Constituants physiques/chimiques","015028","Fraction molaire du constituant/ polluant atmosphérique en air sec","‰","5","0","16","‰","5","5","","","Operational"
"15","Classe 15 Constituants physiques/chimiques","015029","Coefficient d'atténuation","m-1","9","0","30","m-1","9","10","","","Operational"
"15","Classe 15 Constituants physiques/chimiques","015030","Indice de contamination par aérosols","Numérique","2","-1000","12","Numérique","2","4","(voir note 6)","6","Operational"
"15","Classe 15 Constituants physiques/chimiques","015031","Retard de propagation dans l'atmosphère du signal du satellite","m","4","10000","15","m","4","5","","","Operational"
"15","Classe 15 Constituants physiques/chimiques","015032","Erreur estimative du retard de propagation dans l'atmosphère","m","4","0","10","m","4","4","","","Operational"
"15","Classe 15 Constituants physiques/chimiques","015033","Différence des retards de propagation pour des visées du limbe aux limites extrêmes du balayage","m","5","-10000","15","m","5","5","","","Operational"
"15","Classe 15 Constituants physiques/chimiques","015034","Erreur estimative de la différence des retards de propagation","m","5","0","14","m","5","5","","","Operational"
"15","Classe 15 Constituants physiques/chimiques","015035","Composante du retard de propagation pour une visée au zénith due à la vapeur d'eau","m","4","0","14","m","4","5","","","Operational"
"15","Classe 15 Constituants physiques/chimiques","015036","Réfractivité atmosphérique","Unités N","3","0","19","Unités N","3","6","(voir note 5)","5","Operational"
"15","Classe 15 Constituants physiques/chimiques","015037","Angle de courbure","rad","8","-100000","23","rad","8","7","","","Operational"
"15","Classe 15 Constituants physiques/chimiques","015041","Indice de dioxyde de soufre","Numérique","2","-1200","14","Numérique","2","4","(voir note 7)","7","Operational"
"15","Classe 15 Constituants physiques/chimiques","015042","Facteur de réflexion","%","2","0","14","%","2","5","","","Operational"
"15","Classe 15 Constituants physiques/chimiques","015045","Dioxyde de soufre","DU","2","-2000","15","DU","2","5","(voir note 8)","8","Operational"
"15","Classe 15 Constituants physiques/chimiques","015046","Indice de contamination volcanique","Numérique","2","-1000","11","Numérique","2","4","(voir note 9)","9","Operational"
"15","Classe 15 Constituants physiques/chimiques","015049","Exposant d'Ångström de l'aérosol","Numérique","3","-2000","14","Numérique","3","5","","","Operational"
"15","Classe 15 Constituants physiques/chimiques","015051","Portée optique météorologique","m","0","0","18","m","0","6","","","Operational"
"15","Classe 15 Constituants physiques/chimiques","015052","Log10 de la concentration en nombre de particules d'aérosols de diamètre supérieur à 5 nm","log(m-³)","1","60","6","log(m-3)","1","3","","","Operational"
"15","Classe 15 Constituants physiques/chimiques","015053","Log10 de la concentration en nombre de particules d'aérosols de diamètre supérieur à 14 nm","log(m-³)","2","600","9","log(m-³)","2","4","","","Operational"
"15","Classe 15 Constituants physiques/chimiques","015054","Log10 de la concentration en nombre de particules d'aérosols de diamètre compris entre 0,25 et 2,5 µm","log(m-3)","2","550","9","log(m-3)","2","4","","","Operational"
"15","Classe 15 Constituants physiques/chimiques","015055","Proportion d'aérosols non volatils","Numérique","2","0","7","Numérique","2","3","","","Operational"
"15","Classe 15 Constituants physiques/chimiques","015062","Épaisseur optique des aérosols","Numérique","3","-1000","14","Numérique","3","5","","","Operational"
"15","Classe 15 Constituants physiques/chimiques","015063","Rétrodiffusion atténuée","m-1 Sr¹","8","0","20","m-1 Sr¹","8","7","","","Operational"
"15","Classe 15 Constituants physiques/chimiques","015064","Incertitude relative à la rétrodiffusion atténuée","m-1 Sr¹","8","0","20","m-1 Sr¹","8","7","","","Operational"
"15","Classe 15 Constituants physiques/chimiques","015065","Coefficient de rétrodiffusion des particules","m-¹ Sr¹","8","0","20","m-¹ Sr¹","8","7","","","Operational"
"15","Classe 15 Constituants physiques/chimiques","015066","Incertitude relative au coefficient de rétrodiffusion des particules","m-1 Sr1","8","0","20","m-1 Sr1","8","7","","","Operational"
"15","Classe 15 Constituants physiques/chimiques","015067","Coefficient d'atténuation des particules","m-1","8","0","20","m-1","8","7","","","Operational"
"15","Classe 15 Constituants physiques/chimiques","015068","Incertitude relative au coefficient d'atténuation des particules","m-1","8","0","20","m-1","8","7","","","Operational"
"15","Classe 15 Constituants physiques/chimiques","015069","Rapport lidar des particules","Sr","2","0","14","Sr","2","5","","","Operational"
