Id,ClassNo,ClassName_fr,FXY,ElementName_fr,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_fr,noteIDs,Status,translated_by
bufr4/0/01/001,01,Classe 01 — Identification BUFR/CREX,001001,Indicateur régional OMM,,0,0,7,,0,2,,,Operational,Original
bufr4/0/01/002,01,Classe 01 — Identification BUFR/CREX,001002,Chiffre indicatif OMM de la station,,0,0,10,,0,3,,,Operational,Original
bufr4/0/01/003,01,Classe 01 — Identification BUFR/CREX,001003,Région OMM/zone géographique,,0,0,,,0,1,,,Operational,Original
bufr4/0/01/004,01,Classe 01 — Identification BUFR/CREX,001004,Sous-région OMM,,0,0,3,,0,1,(voir note 9),,Operational,Original
bufr4/0/01/005,01,Classe 01 — Identification BUFR/CREX,001005,Indicateur d’identification de la bouée ou de la plate-forme,,0,0,17,,0,5,,,Operational,Original
bufr4/0/01/006,01,Classe 01 — Identification BUFR/CREX,001006,Numéro de vol de l’aéronef,,0,0,64,,0,8,,,Operational,Original
bufr4/0/01/007,01,Classe 01 — Identification BUFR/CREX,001007,Indicateur d’identification du satellite,,0,0,10,,0,4,,,Operational,Original
bufr4/0/01/008,01,Classe 01 — Identification BUFR/CREX,001008,Numéro d’immatriculation de l’aéronef ou autre identification,,0,0,64,,0,8,,,Operational,Original
bufr4/0/01/009,01,Classe 01 — Identification BUFR/CREX,001009,Type d’aéronef commercial,,0,0,64,,0,8,,,Operational,Original
bufr4/0/01/010,01,Classe 01 — Identification BUFR/CREX,001010,"Indicateur d’identification de la bouée ou de la plate-forme fixe; par exemple, bouée C-MAN",,0,0,64,,0,8,,,Operational,Original
bufr4/0/01/011,01,Classe 01 — Identification BUFR/CREX,001011,Indicateur d’identification du navire ou d’une station terrestre mobile,,0,0,72,,0,9,,,Operational,Original
bufr4/0/01/012,01,Classe 01 — Identification BUFR/CREX,001012,Direction de déplacement de la plate-forme d’observation mobile*,,0,0,9,,0,3,,,Operational,Original
bufr4/0/01/013,01,Classe 01 — Identification BUFR/CREX,001013,Vitesse de déplacement de la plate-forme d’observation mobile*,,0,0,10,,0,3,,,Operational,Original
bufr4/0/01/014,01,Classe 01 — Identification BUFR/CREX,001014,Vitesse de dérive de la plate-forme (précision élevée),,2,0,10,,2,4,,,Operational,Original
bufr4/0/01/015,01,Classe 01 — Identification BUFR/CREX,001015,Nom de la station ou du site,,0,0,160,,0,20,,,Operational,Original
bufr4/0/01/016,01,Classe 01 — Identification BUFR/CREX,001016,Sous-identifiant satellite,Numeric,0,0,16,Numeric,0,5,,,Operational,AI Translator: MCP
bufr4/0/01/018,01,Classe 01 — Identification BUFR/CREX,001018,Nom abrégé de la station ou du site,,0,0,40,,0,5,,,Operational,Original
bufr4/0/01/019,01,Classe 01 — Identification BUFR/CREX,001019,Nom complet de la station ou du site,,0,0,256,,0,32,,,Operational,Original
bufr4/0/01/020,01,Classe 01 — Identification BUFR/CREX,001020,Sous-région OMM,,0,0,4,,0,2,,,Operational,Original
bufr4/0/01/021,01,Classe 01 — Identification BUFR/CREX,001021,Indicateur d'identification de la carac- téristique synoptique,,0,0,14,,0,4,,,Operational,Original
bufr4/0/01/022,01,Classe 01 — Identification BUFR/CREX,001022,Nom de la caractéristique,,0,0,224,,0,28,(voir note 11),,Operational,Original
bufr4/0/01/023,01,Classe 01 — Identification BUFR/CREX,001023,Numéro de la séquence d’observations,,0,0,9,,0,3,,,Operational,Original
bufr4/0/01/024,01,Classe 01 — Identification BUFR/CREX,001024,Source des données sur la vitesse du vent,,0,0,5,,0,2,,,Operational,Original
bufr4/0/01/025,01,Classe 01 — Identification BUFR/CREX,001025,Indicateur de la tempête,,0,0,24,,0,3,,,Operational,Original
