Id,ClassNo,ClassName_fr,FXY,ElementName_fr,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_fr,noteIDs,Status,translated_by
bufr4/0/10/001,10,Classe 10 – Position d'éléments autres que des coordonnées (verticale),010001,Hauteur de la surface terrestre,,0,,15,,0,5,,,Operational,Original
bufr4/0/10/002,10,Classe 10 – Position d'éléments autres que des coordonnées (verticale),010002,Hauteur,,-1,,16,,-1,5,,,Operational,Original
bufr4/0/10/003,10,Classe 10 – Position d'éléments autres que des coordonnées (verticale),010003,Géopotentiel,,-1,,17,,-1,6,,,Operational,Original
bufr4/0/10/004,10,Classe 10 – Position d'éléments autres que des coordonnées (verticale),010004,Pression,,-1,,14,,-1,5,,,Operational,Original
bufr4/0/10/007,10,Classe 10 – Position d'éléments autres que des coordonnées (verticale),010007,Hauteur,,0,,17,,0,6,,,Operational,Original
bufr4/0/10/008,10,Classe 10 – Position d'éléments autres que des coordonnées (verticale),010008,Géopotentiel,,0,,20,,0,7,,,Operational,Original
bufr4/0/10/009,10,Classe 10 – Position d'éléments autres que des coordonnées (verticale),010009,Hauteur géopotentielle,,0,,17,,0,5,,,Operational,Original
bufr4/0/10/010,10,Classe 10 – Position d'éléments autres que des coordonnées (verticale),010010,Pression minimale réduite au niveau moyen des mers,,-1,,14,,-1,5,,,Operational,Original
bufr4/0/10/011,10,Classe 10 – Position d'éléments autres que des coordonnées (verticale),010011,Pression maximale réduite au niveau moyen des mers,,-1,,14,,-1,5,,,Operational,Original
bufr4/0/10/031,10,Classe 10 – Position d'éléments autres que des coordonnées (verticale),010031,"En direction du pôle Nord, distance à partir du centre de la Terre (voir notes 2 et 3)",,2,,31,,2,10,,,Operational,Original
bufr4/0/10/032,10,Classe 10 – Position d'éléments autres que des coordonnées (verticale),010032,Distance du satellite au centre de la Terre,,1,,27,,2,9,,,Operational,Original
