Category,CategoryOfSequences_fr,FXY1,Title_fr,SubTitle_fr,FXY2,ElementName_fr,ElementDescription_fr,Note_fr,Status,translated_by
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15001,Généralement signalé sondage sous-marin sans champs optionnels,,B01011,Indicateur d’identification du navire ou d’une station terrestre mobile,Indicatif d'appel du navire,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15001,Généralement rapporté sondage sans champs optionnels,,D01011,"et trajectoire et évolution prévues) Année, mois, jour",,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15001,Généralement signalé comme sondage sans champs optionnels.,,D01012,"Heure, minute",,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15001,(Sondage généralement rapporté sans champs optionnels),,D01023,Latitude/longitude (faible précision),,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15001,(Sondage généralement rapporté sans champs optionnels),,D06001,"Profondeur, température",,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15002,(Sondage généralement rapporté sans champs optionnels),,B01011,Indicateur d’identification du navire ou d’une station terrestre mobile,Indicatif d'appel du navire,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15002,Généralement signalé comme sondage sans champs optionnels.,,D01011,"et trajectoire et évolution prévues) Année, mois, jour",,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15002,Généralement rapporté sondage sans champs optionnels.,,D01012,"Heure, minute",,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15002,Généralement signalé comme sondage sans champs optionnels.,,D01023,Latitude/longitude (faible précision),,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15002,Généralement signalé comme sondage sous-marin sans champs optionnels,,D06004,"Profondeur, température, salinité",,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15004,température,,B01079,Identificateur de profil unique,Chaîne hexadécimale,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15004,température,,B01011,Indicateur d’identification du navire ou d’une station terrestre mobile,Indicatif d'appel du navire,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15004,température,,B01103,Numéro OMI ou numéro unique du Lloyd’s Register,= 0 à 9999999,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15004,température,,B01087,Extension de l’indicatif OMM de la plate-forme d’observation maritime,,(voir note 1),Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15004,température,,B01019,Nom complet de la station ou du site,Nom du navire,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15004,température,,B01080,Numéro de la ligne parcourue par le navire du SOOP,,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15004,température,,B05036,Numéro de la coupe exécutée par le navire du SOOP,,(voir note 2),Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15004,température,,B01036,Organisme chargé de la mise en œuvre de la plate-forme d’observation,,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15004,température,,B01013,Vitesse de déplacement de la plate-forme d’observation mobile*,,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15004,température,,B01012,Direction de déplacement de la plate-forme d’observation mobile*,,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15004,température,,D01011,"et trajectoire et évolution prévues) Année, mois, jour",,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15004,séquence de données de profil de température XBT,,D01012,"Heure, minute",,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15004,séquence de données de température XBT,,D01021,"Latitude, longitude (précision élevée)",,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15004,température,,B07032,Hauteur du capteur au-dessus du sol,,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15004,température,,B07033,Hauteur du capteur au-dessus de la surface de l'eau,,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15004,séquence de données de profil de température XBT,,B02002,Type d'instrument pour la mesure du vent,,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15004,température,,B11002,Vitesse du vent,,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15004,température,,B11001,Direction du vent,,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15004,séquence de données de profil de température XBT,,B07032,Hauteur du capteur au-dessus du sol,,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15004,température,,B07033,Hauteur du capteur au-dessus de la surface de l'eau,,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15004,température,,B12101,Température/température de l'air,,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15004,température,,B12103,Point de rosée,,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15004,température,,B07032,Hauteur du capteur au-dessus du sol,Mis à valeur manquante (annuler),,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15004,température,,B07033,Hauteur du capteur au-dessus de la surface de l'eau,Mis à valeur manquante (annuler),,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15004,Séquence de données de profil de température XBT,,D02021,Vagues,,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15004,température,,B02031,Durée et heure de la mesure du courant,,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15004,température,,B02030,Méthode de mesure du courant,,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15004,température,,B22005,Direction du courant marin de surface,,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15004,température,,B22032,Vitesse du courant marin de surface,,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15004,séquence de données de profil de température XBT,,B22063,Profondeur totale de l'eau,,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15004,séquence de données de profil de température XBT,,B08080,Identificateur de l'indicateur de qualité pour le GTSPP,,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15004,température,,B33050,Indicateur de qualité global pour le GTSPP,,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15004,séquence de données de profil de température XBT,,B22178,Type de lanceur de XBT/XCTD,,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15004,température,,B22177,Altitude du lanceur de XBT/XCTD,Hauteur au-dessus du niveau de la mer | entre 0 et 50 m au mètre près,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15004,température,,B22067,Type d'instrument pour la mesure du profil de la température/salinité de l'eau,,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15004,température,,B08041,Caractéristique des données,,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15004,température data sequence,,B26021,Année,,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15004,température,,B26022,Mois,,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15004,température,,B26023,Jour,,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15004,température,,B22068,Types d'enregistreurs du profil de la température de l'eau,,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15004,température data sequence,,B25061,Identification du logiciel et numéro de version,,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15004,séquence de données de profil de température XBT,,B08041,Caractéristique des données,Mis à valeur manquante (annuler),,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15004,séquence de données de profil de température XBT,,B08080,Identificateur de l'indicateur de qualité pour le GTSPP,Mis à valeur manquante (annuler),,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15004,température,,B02171,Numéro de série de l'instrument de mesure du profil de la température de l'eau,,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15004,séquence des données de profil de température XBT,,D02090,Température de la mer/de l'eau de grande précision,,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15004,température,,B02171,Numéro de série de l'instrument de mesure du profil de la température de l'eau,,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15004,température,,B02032,Indicateur de numérisation,,(voir note 3),Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15004,température,,D15005,Profil de température de l'eau (établi à l'aide d'un XBT ou d'une bouée),,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15007,"Séquence pour la représentation des données dérivées d'un instrument abaissé depuis un navire mesurant la température, la salinité et les profils de courant sous-marins.",,D01003,Indicatif d'appel du navire et déplacement,,,Operational,AI Translator: MCP
15,Catégorie 15 — Séquences correspondant à des messages d'observation océanographique,D15007,"Séquence pour la représentation des données dérivées d'un instrument abaissé depuis un navire mesurant la température sous-marine, la salinité et les profils de courant.",Identification élargie,B01019,Nom complet de la station ou du site,,,Operational,AI Translator: MCP
