Id,Category,CategoryOfSequences_fr,FXY1,Title_fr,SubTitle_fr,FXY2,ElementName_fr,ElementDescription_fr,Note_fr,noteIDs,Status,translated_by
bufr4/3/22/001/1/310022,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322001,Épaisseur optique des aérosols,,310022,"Indicateur d'identification du satellite, instrument, type de produit",,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/22/001/2/301011,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322001,Épaisseur optique des aérosols,,301011,"Année, mois, jour",,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/22/001/3/301013,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322001,Épaisseur optique des aérosols,,301013,"Heure, minute, seconde",,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/22/001/4/301021,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322001,Épaisseur optique des aérosols,,301021,Latitude/longitude (précision élevée),,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/22/001/5/005041,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322001,Épaisseur optique des aérosols,,005041,Numéro de la ligne de balayage,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/22/001/6/005043,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322001,Épaisseur optique des aérosols,,005043,Numéro du champ de vision,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/22/001/7/027080,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322001,Épaisseur optique des aérosols,,027080,Azimut de la visée,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/22/001/8/005022,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322001,Épaisseur optique des aérosols,,005022,Azimut du soleil,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/22/001/9/013040,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322001,Épaisseur optique des aérosols,,013040,Indicateur de surface,,,,Operational,"AI Translator: rag_cache, Glossary Used (2 terms)"
bufr4/3/22/001/10/020010,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322001,Épaisseur optique des aérosols,,020010,Nébulosité (totale),,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/22/001/11/033085,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322001,Épaisseur optique des aérosols,,033085,Indicateur de qualité de l'épaisseur optique des aérosols,,,,Operational,"AI Translator: rag_cache, Glossary Used (1 terms)"
bufr4/3/22/001/12/033115,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322001,Épaisseur optique des aérosols,,033115,Épaisseur optique des aérosols,,,,Operational,"AI Translator: rag_cache, Glossary Used (3 terms)"
bufr4/3/22/001/13/105002,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322001,Épaisseur optique des aérosols,,105002,Répéter 5 descripteurs 2 fois,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/22/001/14/008099,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322001,Épaisseur optique des aérosols,,008099,Détection de direction,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/3/22/001/15/007024,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322001,Épaisseur optique des aérosols,,007024,Distance zénithale du satellite,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/22/001/16/007025,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322001,Épaisseur optique des aérosols,,007025,Distance zénithale du soleil,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/22/001/17/007075,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322001,Épaisseur optique des aérosols,,007075,Angle de diffusion,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/3/22/001/18/007076,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322001,Épaisseur optique des aérosols,,007076,Angle d'azimut,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/22/001/19/106000,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322001,Épaisseur optique des aérosols,,106000,Répétition différée de 6 descripteurs,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/22/001/20/031001,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322001,Épaisseur optique des aérosols,,031001,Facteur de répétition différée du descripteur,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/22/001/21/002071,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322001,Épaisseur optique des aérosols,,002071,Longueur d'onde spectrographique,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/22/001/22/008043,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322001,Épaisseur optique des aérosols,,008043,Type de constituants chimiques ou physiques de l'atmosphère,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/22/001/23/015024,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322001,Épaisseur optique des aérosols,,015024,Épaisseur optique,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/22/001/24/008043,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322001,Épaisseur optique des aérosols,,008043,Type de constituants chimiques ou physiques de l'atmosphère,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/22/001/25/015024,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322001,Épaisseur optique des aérosols,,015024,Épaisseur optique,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/22/001/26/015042,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322001,Épaisseur optique des aérosols,,015042,Facteur de réflexion,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/22/001/27/224000,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322001,Épaisseur optique des aérosols,,224000,Valeurs statistiques de premier ordre à la suite,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/22/001/28/236000,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322001,Épaisseur optique des aérosols,,236000,Définir une table binaire de présence de données,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/22/001/29/101000,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322001,Épaisseur optique des aérosols,,101000,) Répétition différée de 1 descripteur,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/22/001/30/031002,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322001,Épaisseur optique des aérosols,,031002,Facteur élargi de répétition différée du descripteur,,,,Operational,"AI Translator: rag_cache, Glossary Used (1 terms)"
bufr4/3/22/001/31/031031,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322001,Épaisseur optique des aérosols,,031031,Indicateur de présence de données,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/22/001/32/001033,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322001,Épaisseur optique des aérosols,,001033,Identification du centre d'origine/de production,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/22/001/33/001032,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322001,Épaisseur optique des aérosols,,001032,Application de production,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/22/001/34/008023,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322001,Épaisseur optique des aérosols,,008023,Statistiques de premier ordre*,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/22/001/35/101000,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322001,Épaisseur optique des aérosols,,101000,) Répétition différée de 1 descripteur,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/22/001/36/031002,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322001,Épaisseur optique des aérosols,,031002,Facteur élargi de répétition différée du descripteur,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/22/001/37/224255,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322001,Épaisseur optique des aérosols,,224255,Opérateur repère de valeurs statistiques de premier ordre,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/22/028/1/001007,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322028,(METOP/GOME-2),,001007,Indicateur d'identification du satellite,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/22/028/2/002019,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322028,(METOP/GOME-2),,002019,Instruments satellitaires,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/22/028/3/004001,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322028,(METOP/GOME-2),,004001,Année,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/22/028/4/004002,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322028,(METOP/GOME-2),,004002,Mois,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/22/028/5/004003,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322028,(METOP/GOME-2),,004003,Jour,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/22/028/6/004004,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322028,(METOP/GOME-2),,004004,Heure,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/22/028/7/004005,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322028,(METOP/GOME-2),,004005,Minute,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/22/028/8/004006,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322028,(METOP/GOME-2),,004006,Seconde,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/22/028/9/005001,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322028,(METOP/GOME-2),,005001,Latitude (précision élevée),,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/22/028/10/006001,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322028,(METOP/GOME-2),,006001,Longitude (précision élevée),,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/22/028/11/027001,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322028,(METOP/GOME-2),,027001,Latitude (précision élevée),,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/22/028/12/028001,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322028,(METOP/GOME-2),,028001,Longitude (précision élevée),,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/22/028/13/027001,22,Catégorie 22 – Séquences relatives aux substances chimiques et aux aérosols,322028,(METOP/GOME-2),,027001,Latitude (précision élevée),,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
