Id,ClassNo,ClassName_fr,FXY,ElementName_fr,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_fr,noteIDs,Status,translated_by
bufr4/0/04/001,04,Classe 04 — Situation (dans le temps),004001,Année,,0,0,12,,0,4,,,Operational,Original
bufr4/0/04/002,04,Classe 04 — Situation (dans le temps),004002,Mois,,0,0,4,,0,2,,,Operational,Original
bufr4/0/04/003,04,Classe 04 — Situation (dans le temps),004003,Jour,,0,0,6,,0,2,,,Operational,Original
bufr4/0/04/004,04,Classe 04 — Situation (dans le temps),004004,Heure,,0,0,5,,0,2,,,Operational,Original
bufr4/0/04/005,04,Classe 04 — Situation (dans le temps),004005,Minute,,0,0,6,,0,2,,,Operational,Original
bufr4/0/04/006,04,Classe 04 — Situation (dans le temps),004006,Seconde,,0,0,6,,0,2,,,Operational,Original
bufr4/0/04/007,04,Classe 04 — Situation (dans le temps),004007,Secondes par minute (à la microseconde près),,6,0,26,,6,8,,,Operational,Original
bufr4/0/04/011,04,Classe 04 — Situation (dans le temps),004011,Incrément temporel,,0,-1024,11,,0,4,,,Operational,Original
bufr4/0/04/012,04,Classe 04 — Situation (dans le temps),004012,Incrément temporel,,0,-1024,11,,0,4,,,Operational,Original
bufr4/0/04/013,04,Classe 04 — Situation (dans le temps),004013,Incrément temporel,,0,-1024,11,,0,4,,,Operational,Original
bufr4/0/04/014,04,Classe 04 — Situation (dans le temps),004014,Incrément temporel,,0,-1024,11,,0,4,,,Operational,Original
bufr4/0/04/015,04,Classe 04 — Situation (dans le temps),004015,Incrément temporel,,0,-2048,12,,0,4,,,Operational,Original
bufr4/0/04/016,04,Classe 04 — Situation (dans le temps),004016,Incrément temporel,,0,-4096,13,,0,4,,,Operational,Original
bufr4/0/04/017,04,Classe 04 — Situation (dans le temps),004017,Période de référence pour les données relatives à des valeurs accumulées ou extrêmes,,0,-1440,12,,0,4,,,Operational,Original
bufr4/0/04/021,04,Classe 04 — Situation (dans le temps),004021,Période ou décalage dans le temps,,0,-1024,11,,0,4,,,Operational,Original
bufr4/0/04/022,04,Classe 04 — Situation (dans le temps),004022,Période ou décalage dans le temps,,0,-1024,11,,0,4,,,Operational,Original
bufr4/0/04/023,04,Classe 04 — Situation (dans le temps),004023,Période ou décalage dans le temps,,0,-1024,11,,0,4,,,Operational,Original
bufr4/0/04/024,04,Classe 04 — Situation (dans le temps),004024,Période ou décalage dans le temps,,0,-2048,12,,0,4,,,Operational,Original
bufr4/0/04/025,04,Classe 04 — Situation (dans le temps),004025,Période ou décalage dans le temps,,0,-2048,12,,0,4,,,Operational,Original
bufr4/0/04/026,04,Classe 04 — Situation (dans le temps),004026,Période ou décalage dans le temps,,0,-4096,13,,0,4,,,Operational,Original
bufr4/0/04/031,04,Classe 04 — Situation (dans le temps),004031,Période à laquelle se rapporte la valeur suivante,,0,0,8,,0,3,,,Operational,Original
bufr4/0/04/032,04,Classe 04 — Situation (dans le temps),004032,Période à laquelle se rapporte la valeur suivante,,0,0,6,,0,2,,,Operational,Original
bufr4/0/04/041,04,Classe 04 — Situation (dans le temps),004041,Décalage dans le temps UTC-LMT,,0,-1440,12,,0,4,(voir la Note 6),,Operational,Original
bufr4/0/04/043,04,Classe 04 — Situation (dans le temps),004043,Jour de l’année,,0,0,9,,0,3,,,Operational,Original
bufr4/0/04/051,04,Classe 04 — Situation (dans le temps),004051,Heure principale à laquelle la tempé- rature maximale est relevée quotidiennement,,0,0,5,,0,2,,,Operational,Original
bufr4/0/04/052,04,Classe 04 — Situation (dans le temps),004052,Heure principale à laquelle la tempé- rature minimale est relevée quotidiennement,,0,0,5,,0,2,,,Operational,Original
bufr4/0/04/053,04,Classe 04 — Situation (dans le temps),004053,Nombre de jours avec précipitations égales ou supérieures à 1 mm,,0,0,6,,0,2,,,Operational,Original
bufr4/0/04/059,04,Classe 04 — Situation (dans le temps),004059,Heures des observations servant à calculer les valeurs moyennes transmises,,0,0,6,,0,2,,,Operational,Original
bufr4/0/04/065,04,Classe 04 — Situation (dans le temps),004065,Incrément de courte durée,,0,-128,8,,0,2,,,Operational,Original
bufr4/0/04/066,04,Classe 04 — Situation (dans le temps),004066,Incrément temporel de courte durée,,0,-128,8,,0,2,,,Operational,Original
bufr4/0/04/073,04,Classe 04 — Situation (dans le temps),004073,Période ou décalage dans le temps de courte durée,,0,-128,8,,0,2,,,Operational,Original
bufr4/0/04/074,04,Classe 04 — Situation (dans le temps),004074,Période ou décalage dans le temps de courte durée,,0,-128,8,,0,2,,,Operational,Original
bufr4/0/04/075,04,Classe 04 — Situation (dans le temps),004075,Période ou décalage dans le temps de courte durée,,0,-128,8,,0,2,,,Operational,Original
bufr4/0/04/080,04,Classe 04 — Situation (dans le temps),004080,Période à laquelle correspond la valeur moyenne qui suit,,0,0,4,,0,2,,,Operational,Original
bufr4/0/04/086,04,Classe 04 — Situation (dans le temps),004086,Période ou décalage dans le temps de longue durée,,0,-8192,15,,0,5,,,Operational,Original
