Id,ClassNo,ClassName_fr,FXY,ElementName_fr,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_fr,noteIDs,Status,translated_by
bufr4/0/15/001,15,Classe 15 Constituants physiques/chimiques,015001,Ozone total,,0,0,10,,0,4,,,Operational,Original
bufr4/0/15/002,15,Classe 15 Constituants physiques/chimiques,015002,Masse d'air (correspondant à une trajectoire oblique à une altitude de 22 km),,2,0,10,,2,3,,,Operational,Original
bufr4/0/15/003,15,Classe 15 Constituants physiques/chimiques,015003,Pression partielle de l'ozone mesuré (sondage),,4,0,9,,0,3,(voir note 1),1,Operational,Original
bufr4/0/15/004,15,Classe 15 Constituants physiques/chimiques,015004,Facteur de correction du sondage de l'ozone (CF),,3,0,11,,3,4,(voir note 2),2,Operational,Original
bufr4/0/15/005,15,Classe 15 Constituants physiques/chimiques,015005,Pression partielle de l'ozone,,0,0,10,,0,3,(voir note 3),3,Operational,Original
bufr4/0/15/006,15,Classe 15 Constituants physiques/chimiques,015006,Log10 de la concentration en nombre des particules de l'atmosphère,,5,1800000,20,,5,7,,,Operational,Original
bufr4/0/15/007,15,Classe 15 Constituants physiques/chimiques,015007,Quantité estimée de constituant chimique,DU,2,0,16,DU,2,6,,,Operational,AI Translator: MCP
bufr4/0/15/008,15,Classe 15 Constituants physiques/chimiques,015008,Mantisse du rapport de mélange volumétrique,,0,0,10,,0,4,,,Operational,Original
bufr4/0/15/009,15,Classe 15 Constituants physiques/chimiques,015009,Log10 de la concentration en nombre des molécules d'ozone,,5,1200000,20,,5,7,,,Operational,Original
bufr4/0/15/011,15,Classe 15 Constituants physiques/chimiques,015011,Log10 de la densité électronique intégrée,,3,14000,13,,3,4,,,Operational,Original
bufr4/0/15/012,15,Classe 15 Constituants physiques/chimiques,015012,Nombre total d'électrons par mètre carré,,-16,0,6,,-16,2,,,Operational,Original
bufr4/0/15/015,15,Classe 15 Constituants physiques/chimiques,015015,Valeur maximale du spectre de l'image avant normalisation,,0,0,31,,0,10,,,Operational,Original
bufr4/0/15/020,15,Classe 15 Constituants physiques/chimiques,015020,Densité d'ozone intégrée,,8,0,21,,8,7,,,Operational,Original
bufr4/0/15/021,15,Classe 15 Constituants physiques/chimiques,015021,Densité de masse intégrée,,11,0,31,,11,10,,,Operational,Original
bufr4/0/15/022,15,Classe 15 Constituants physiques/chimiques,015022,Densité de masse intégrée étendue,kg m-2,1,-100000000,31,kg m-2,1,10,,,Operational,AI Translator: MCP
bufr4/0/15/024,15,Classe 15 Constituants physiques/chimiques,015024,Épaisseur optique,,4,0,24,,4,8,,,Operational,Original
bufr4/0/15/025,15,Classe 15 Constituants physiques/chimiques,015025,Type de polluant,,0,0,4,,0,2,,,Operational,Original
bufr4/0/15/026,15,Classe 15 Constituants physiques/chimiques,015026,Concentration du polluant (mol mol-¹),,9,0,9,,9,3,,,Operational,Original
bufr4/0/15/027,15,Classe 15 Constituants physiques/chimiques,015027,Concentration du polluant (kg m-³),,9,0,10,,9,4,,,Operational,Original
bufr4/0/15/028,15,Classe 15 Constituants physiques/chimiques,015028,Fraction molaire du constituant/ polluant atmosphérique en air sec,,5,0,16,,5,5,,,Operational,Original
bufr4/0/15/029,15,Classe 15 Constituants physiques/chimiques,015029,Coefficient d'atténuation,,9,0,30,,9,10,,,Operational,Original
bufr4/0/15/030,15,Classe 15 Constituants physiques/chimiques,015030,Indice de contamination par aérosols,,2,-1000,12,,2,4,(voir note 6),79,Operational,Original
bufr4/0/15/031,15,Classe 15 Constituants physiques/chimiques,015031,Retard de propagation dans l'atmosphère du signal du satellite,,4,10000,15,,4,5,,,Operational,Original
bufr4/0/15/032,15,Classe 15 Constituants physiques/chimiques,015032,Erreur estimative du retard de propagation dans l'atmosphère,,4,0,10,,4,4,,,Operational,Original
bufr4/0/15/033,15,Classe 15 Constituants physiques/chimiques,015033,Différence des retards de propagation pour des visées du limbe aux limites extrêmes du balayage,,5,-10000,15,,5,5,,,Operational,Original
