Category,CategoryOfSequences_fr,FXY1,Title_fr,SubTitle_fr,FXY2,ElementName_fr,ElementDescription_fr,Note_fr,Status
35,Surveillance des informations,D35001,(Précisez la station de surveillance),,B08035,Type d'exercice de surveillance,,,Operational
35,Surveillance des informations,D35001,(Précisez la station de surveillance),,B35001,Période de surveillance,,,Operational
35,Surveillance des informations,D35001,(Précisez la station de surveillance),,B08036,Type de centre ou de station effectuant la surveillance,,,Operational
35,Surveillance des informations,D35001,(Précisez la station de surveillance),,D01001,(Numéros de bloc et de station OMM),,,Operational
35,Surveillance des informations,D35002,(Précisez la station de surveillance),,B08035,Type d'exercice de surveillance,,,Operational
35,Surveillance des informations,D35002,(Précisez la station de surveillance),,B35001,Période de surveillance,,,Operational
35,Surveillance des informations,D35002,(Précisez la station de surveillance),,B08036,Type de centre ou de station effectuant la surveillance,,,Operational
35,Surveillance des informations,D35002,(Précisez la station de surveillance),,B01033,Identification du centre d'origine/génération,,,Operational
35,Surveillance des informations,D35003,Période de surveillance,,B08021,Signification du temps,= 23 Période de surveillance,,Operational
35,Surveillance des informations,D35003,Période de surveillance,,B04001,Année,,,Operational
35,Surveillance des informations,D35003,Période de surveillance,,B04002,Mois,,,Operational
35,Surveillance des informations,D35003,Période de surveillance,,B04003,Jour,,,Operational
35,Surveillance des informations,D35003,Période de surveillance,,B04004,Heure,,,Operational
35,Surveillance des informations,D35003,Période de surveillance,,B04073,Période de temps ou déplacement,,,Operational
35,Surveillance des informations,D35004,(Précisez le type de rapport et la station unique surveillée),,B08021,Signification du temps,Délai convenu pour la réception du rapport,,Operational
35,Surveillance des informations,D35004,(Précisez le type de rapport et la station unique surveillée),,B04004,Heure,,,Operational
35,Surveillance des informations,D35004,(Précisez le type de rapport et la station unique surveillée),,B08021,Signification du temps,Heure nominale de rapport,,Operational
35,Surveillance des informations,D35004,(Précisez le type de rapport et la station unique surveillée),,B04004,Heure,,,Operational
35,Surveillance des informations,D35004,(Précisez le type de rapport et la station unique surveillée),,B35000,FM et numéro de code régional,,,Operational
35,Surveillance des informations,D35004,(Précisez le type de rapport et la station unique surveillée),,D01001,(Numéros de bloc et de station OMM),,,Operational
35,Surveillance des informations,D35004,(Précisez le type de rapport et la station unique surveillée),,B35011,Nombre de rapports effectivement reçus,,,Operational
35,Surveillance des informations,D35005,(Specifiez le type de rapport et le bloc OMM surveillé),,B08021,Signification du temps,Délai convenu pour la réception du rapport,,Operational
35,Surveillance des informations,D35005,(Specifiez le type de rapport et le bloc OMM surveillé),,B04004,Heure,,,Operational
35,Surveillance des informations,D35005,(Specifiez le type de rapport et le bloc OMM surveillé),,B08021,Signification du temps,Heure nominale de rapport,,Operational
35,Surveillance des informations,D35005,(Specifiez le type de rapport et le bloc OMM surveillé),,B04004,Heure,,,Operational
35,Surveillance des informations,D35005,(Specifiez le type de rapport et le bloc OMM surveillé),,B35000,FM et numéro de code régional,,,Operational
35,Surveillance des informations,D35005,(Specifiez le type de rapport et le bloc OMM surveillé),,B01001,Numéro de bloc OMM,,,Operational
35,Surveillance des informations,D35005,(Specifiez le type de rapport et le bloc OMM surveillé),,B35011,Nombre de rapports effectivement reçus,,,Operational
35,Surveillance des informations,D35006,(Specifiez le type de rapport et le bloc OMM surveillé),,B08021,Signification du temps,Délai convenu pour la réception du rapport,,Operational
35,Surveillance des informations,D35006,(Specifiez le type de rapport et le bloc OMM surveillé),,B04004,Heure,,,Operational
35,Surveillance des informations,D35006,(Specifiez le type de rapport et le bloc OMM surveillé),,B08021,Signification du temps,Heure nominale de rapport,,Operational
35,Surveillance des informations,D35006,(Specifiez le type de rapport et le bloc OMM surveillé),,B04004,Heure,,,Operational
35,Surveillance des informations,D35006,(Specifiez le type de rapport et le bloc OMM surveillé),,B35000,FM et numéro de code régional,,,Operational
35,Surveillance des informations,D35006,(Specifiez le type de rapport et le bloc OMM surveillé),,B01003,Numéro de région/zone géographique de l'OMM,,,Operational
35,Surveillance des informations,D35006,(Specifiez le type de rapport et le bloc OMM surveillé),,B35011,Nombre de rapports effectivement reçus,,,Operational
35,Surveillance des informations,D35007,(Précisez le type de rapport et la station unique surveillée),,B08021,Signification du temps,Délai convenu pour la réception du rapport,,Operational
35,Surveillance des informations,D35007,(Précisez le type de rapport et la station unique surveillée),,B04004,Heure,,,Operational
35,Surveillance des informations,D35007,(Précisez le type de rapport et la station unique surveillée),,B08021,Signification du temps,Heure nominale de rapport,,Operational
35,Surveillance des informations,D35007,(Précisez le type de rapport et la station unique surveillée),,B04004,Heure,,,Operational
35,Surveillance des informations,D35007,(Précisez le type de rapport et la station unique surveillée),,B35000,FM et numéro de code régional,,,Operational
35,Surveillance des informations,D35007,(Précisez le type de rapport et la station unique surveillée),,B01001,Numéro de bloc OMM,,,Operational
35,Surveillance des informations,D35007,(Précisez le type de rapport et la station unique surveillée),,R02000,Réplication différée de 6 descripteurs,Nombre de stations,,Operational
35,Surveillance des informations,D35007,(Précisez le type de rapport et la station unique surveillée),,B01002,Numéro de station OMM,,,Operational
35,Surveillance des informations,D35007,(Précisez le type de rapport et la station unique surveillée),,B35011,Nombre de rapports effectivement reçus,,,Operational
35,Surveillance des informations,D35010,(Précisez le type de rapport et la station unique surveillée),,D35002,Précisez le centre de surveillance,,,Operational
35,Surveillance des informations,D35010,(Précisez le type de rapport et la station unique surveillée),,D35003,Période de surveillance,,,Operational
35,Surveillance des informations,D35010,(Précisez le type de rapport et la station unique surveillée),,D35007,(Précisez le type de rapport et la station unique surveillée),,,Operational
