Id,ClassNo,ClassName_fr,FXY,ElementName_fr,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_fr,noteIDs,Status,translated_by
bufr4/0/40/001,40,Classe 40 Données satellitaires,040001,Humidité du sol en surface,%,1,0,10,%,1,4,,,Operational,Original
bufr4/0/40/002,40,Classe 40 Données satellitaires,040002,Erreur estimative de l'humidité du sol en surface,%,1,0,10,%,1,4,,,Operational,Original
bufr4/0/40/003,40,Classe 40 Données satellitaires,040003,Humidité moyenne du sol en surface,Numeric,3,0,10,Numeric,3,4,,,Operational,Original
bufr4/0/40/004,40,Classe 40 Données satellitaires,040004,Détection de pluie,Numeric,3,0,10,Numeric,3,4,,,Operational,Original
bufr4/0/40/005,40,Classe 40 Données satellitaires,040005,Indicateur de correction de l'humidité du sol,Flag table,0,0,8,Flag table,0,3,,,Operational,Original
bufr4/0/40/006,40,Classe 40 Données satellitaires,040006,Indicateur de traitement de l'humidité du sol,Flag table,0,0,16,Flag table,0,6,,,Operational,Original
bufr4/0/40/007,40,Classe 40 Données satellitaires,040007,Qualité de l'humidité du sol,%,1,0,10,%,1,4,,,Operational,Original
bufr4/0/40/008,40,Classe 40 Données satellitaires,040008,Fraction gelée de la surface terrestre,%,1,0,10,%,1,4,,,Operational,Original
bufr4/0/40/009,40,Classe 40 Données satellitaires,040009,Fraction des zones humides et inondées,%,1,0,10,%,1,4,,,Operational,Original
bufr4/0/40/010,40,Classe 40 Données satellitaires,040010,Complexité topographique,%,1,0,10,%,1,4,,,Operational,Original
bufr4/0/40/011,40,Classe 40 Données satellitaires,040011,Indicateur d'interpolation,Flag table,0,0,8,Flag table,0,3,,,Operational,Original
bufr4/0/40/012,40,Classe 40 Données satellitaires,040012,Indicateur de qualité des données du radiomètre,Flag table,0,0,8,Flag table,0,3,,,Operational,Original
bufr4/0/40/013,40,Classe 40 Données satellitaires,040013,Indicateur d'interprétation de la température de luminance du radiomètre,Code table,0,0,3,Code table,0,1,,,Operational,Original
bufr4/0/40/014,40,Classe 40 Données satellitaires,040014,Fluctuations haute fréquence de la correction topographique de la surface de la mer,m,4,-3000,13,m,4,4,,,Operational,Original
bufr4/0/40/015,40,Classe 40 Données satellitaires,040015,Indice différentiel normalisé de végétation (NDVI),Numeric,2,-100,8,Numeric,2,3,,,Operational,Original
bufr4/0/40/016,40,Classe 40 Données satellitaires,040016,Moyenne quadratique résiduelle en bande,Numeric,3,0,14,Numeric,3,5,,,Operational,Original
bufr4/0/40/017,40,Classe 40 Données satellitaires,040017,Score des composantes principales non normalisé,Numeric,0,-1073741824,31,Numeric,0,10,,,Operational,Original
bufr4/0/40/018,40,Classe 40 Données satellitaires,040018,GlacAvgImagIIS - moyenne des mesures de l'imageur,W m-2 sr-1 m,6,0,24,W m-2 sr-1 m,6,8,,,Operational,Original
bufr4/0/40/019,40,Classe 40 Données satellitaires,040019,GlacVarlmagIIS - variance des mesures de l'imageur,W m-2 sr-1 m,6,0,24,W m-2 sr-1 m,6,8,,,Operational,Original
bufr4/0/40/020,40,Classe 40 Données satellitaires,040020,GqisFlagQualDetailed – indicateur de qualité du système,Flag table,0,0,17,Flag table,0,6,,,Operational,Original
