Id,ClassNo,ClassName_fr,FXY,ElementName_fr,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_fr,noteIDs,Status,translated_by
bufr4/0/23/001,23,Classe 23 — Dispersion et transport,023001,Notification rapide d'un accident - article applicable,,0,0,3,,0,1,,,Operational,Original
bufr4/0/23/002,23,Classe 23 — Dispersion et transport,023002,Activité ou installation en cause dans l'incident,,0,0,5,,0,2,,,Operational,Original
bufr4/0/23/003,23,Classe 23 — Dispersion et transport,023003,Type de rejet,,0,0,3,,0,1,,,Operational,Original
bufr4/0/23/004,23,Classe 23 — Dispersion et transport,023004,Contre-mesures prises près de la frontière,,0,0,3,,0,1,,,Operational,Original
bufr4/0/23/005,23,Classe 23 — Dispersion et transport,023005,Cause de l'incident,,0,0,2,,0,1,,,Operational,Original
bufr4/0/23/006,23,Classe 23 — Dispersion et transport,023006,Situation de l'incident,,0,0,3,,0,1,,,Operational,Original
bufr4/0/23/007,23,Classe 23 — Dispersion et transport,023007,Caractéristiques du rejet,,0,0,3,,0,1,,,Operational,Original
bufr4/0/23/008,23,Classe 23 — Dispersion et transport,023008,Nature du rejet observé,,0,0,2,,0,1,,,Operational,Original
bufr4/0/23/009,23,Classe 23 — Dispersion et transport,023009,Nature du rejet prévu,,0,0,2,,0,1,,,Operational,Original
bufr4/0/23/016,23,Classe 23 — Dispersion et transport,023016,Risque d'effets chimiques toxiques notables sur la santé,,0,0,2,,0,1,,,Operational,Original
bufr4/0/23/017,23,Classe 23 — Dispersion et transport,023017,Débit de la principale masse d'eau réceptrice,,6,0,20,,6,7,,,Operational,Original
bufr4/0/23/018,23,Classe 23 — Dispersion et transport,023018,Évolution du rejet dans le temps,,0,0,3,,0,1,,,Operational,Original
bufr4/0/23/019,23,Classe 23 — Dispersion et transport,023019,Hauteur réelle du rejet,,0,-15000,17,,0,6,,,Operational,Original
bufr4/0/23/021,23,Classe 23 — Dispersion et transport,023021,Hauteur effective du rejet,,0,-15000,17,,0,6,,,Operational,Original
bufr4/0/23/022,23,Classe 23 — Dispersion et transport,023022,Distance du point de rejet ou du site de l'incident,,0,0,24,,0,8,,,Operational,Original
bufr4/0/23/023,23,Classe 23 — Dispersion et transport,023023,Vitesse du transport principal dans l'atmosphère,,1,0,12,,1,4,,,Operational,Original
bufr4/0/23/024,23,Classe 23 — Dispersion et transport,023024,Vitesse du transport principal dans l'eau,,2,0,13,,2,4,,,Operational,Original
bufr4/0/23/025,23,Classe 23 — Dispersion et transport,023025,Vitesse du transport principal dans les eaux souterraines,,2,0,13,,2,4,,,Operational,Original
bufr4/0/23/027,23,Classe 23 — Dispersion et transport,023027,Direction du transport principal dans l'atmosphère,,0,0,9,,0,3,,,Operational,Original
bufr4/0/23/028,23,Classe 23 — Dispersion et transport,023028,Direction du transport principal dans l'eau,,0,0,9,,0,3,,,Operational,Original
bufr4/0/23/029,23,Classe 23 — Dispersion et transport,023029,Direction du transport principal dans les eaux souterraines,,0,0,9,,0,3,,,Operational,Original
bufr4/0/23/031,23,Classe 23 — Dispersion et transport,023031,Possibilité que le panache rencontre des précipitations dans l'État où l'incident s'est produit,,0,0,2,,0,1,,,Operational,Original
bufr4/0/23/032,23,Classe 23 — Dispersion et transport,023032,Possibilité que le panache soit affecté par un changement de direction et/ou de vitesse du vent,,0,0,2,,0,1,,,Operational,Original
bufr4/0/23/040,23,Classe 23 — Dispersion et transport,023040,Débit – cours d'eau,,1,0,22,,1,7,,,Operational,Original
bufr4/0/23/041,23,Classe 23 — Dispersion et transport,023041,Débit – puits,,3,0,16,,3,5,,,Operational,Original
