tableNo,tableName,noteID,notation
0 01 003,WMO Region number/geographical area,,
0 01 007,Satellite identifier,10,0
0 01 024,Wind speed source,,
0 01 028,Aerosol optical depth (AOD) source,,
0 01 029,,,
0 01 031,Identification of originating/generating centre,6,0
0 01 033,Identification of originating/generating centre,6,0
0 01 034,Identification of originating/generating sub-centre,14,0
0 01 035,Originating/generating centre,6,0
0 01 036,Agency in charge of operating the observing platform,78,0
0 01 038,Source of sea-ice fraction,,
0 01 044,Standard generating application,,
0 01 052,Platform transmitter ID,,
0 01 090,Technique for making up initial perturbations,,
0 01 092,Type of ensemble forecast,,
0 01 101,State identifier,,
0 01 150,Coordinate reference system,39,1
0 01 151,Fixed mean sea-level reference datum,,
0 01 155,Retrieval identifier,,
0 02 001,Type of station,,
0 02 002,Type of instrumentation for wind measurement,90,0
0 02 003,Type of measuring equipment used,,
0 02 004,Type of instrumentation for evaporation measurement or type of crop for which evapotranspiration is reported,,
0 02 006,Upper Air Remote Sensing Instrument Type,,
0 02 007,Type of sensor for water level measuring instrument,,
0 02 008,Type of offshore platform,,
0 02 011,Radiosonde type,7,0
0 02 012,Radiosonde computational method,15,0
0 02 013,Solar and infrared radiation correction,,
0 02 014,Tracking technique/status of system used,11,0
0 02 015,Radiosonde completeness,,
0 02 016,Radiosonde configuration,,
0 02 017,Correction algorithms for humidity measurements,,
0 02 019,Satellite instruments,12,0
0 02 020,Satellite classification,,
0 02 021,Satellite instrument data used in processing,,
0 02 022,Satellite data-processing technique used,22,4
0 02 023,Satellite-derived wind computation method,,
0 02 024,Integrated mean humidity computational method,,
0 02 025,Satellite channel(s) used in computation,23,1
0 02 030,Method of current measurement,,
0 02 031,Duration and time of current measurement,32,1
0 02 031,Duration and time of current measurement,33,2
0 02 031,Duration and time of current measurement,45,3
0 02 032,Indicator for digitization,,
0 02 033,Method of salinity/depth measurement,,
0 02 034,Drogue type,,
0 02 036,Buoy type,,
0 02 037,Method of tidal observation,,
0 02 038,Method of water temperature and/or salinity measurement,,
0 02 039,Method of wet-bulb temperature measurement,,
0 02 040,Method of removing velocity and motion of platform from current,,
0 02 041,Method for estimating reports related to synoptic features,,
0 02 042,Indicator for sea-surface current speed,,
0 02 044,Indicator for method of calculating spectral wave data,,
0 02 045,Indicator for type of platform,,
0 02 046,Wave measurement instrumentation,,
0 02 047,Deep-ocean tsunameter type,,
0 02 048,Satellite sensor indicator,,
0 02 049,Geostationary satellite data-processing technique used,,
0 02 050,Geostationary sounder satellite channels used,21,0
0 02 051,Indicator to specify observing method for extreme temperatures,,
0 02 052,Geostationary imager satellite channels used,21,0
0 02 053,GOES-I/M brightness temperature characteristics,,
0 02 054,GOES-I/M soundings parameter characteristics,,
0 02 055,Geostationary soundings statistical parameters,,
0 02 056,Geostationary soundings accuracy statistics,,
0 02 057,Origin of first-guess information for GOES-I/M soundings,,
0 02 058,Valid times of first-guess information for GOES-I/M soundings,,
0 02 059,Origin of analysis information for GOES-I/M soundings,,
0 02 060,Origin of surface information for GOES-I/M soundings,,
0 02 061,Aircraft navigational system,,
0 02 062,Type of aircraft data relay system,,
