noteID,note
1,"""Bad weather"" denotes the conditions which generally exist during precipitation and a short time before and after."
2,"""Clear"" and ""overcast"" are coded by 0 and 8, respectively."
3,"""Ensemble mean"" indicates that a number of distinct values corresponding to a set of time locations are averaged."
4,"""Time averaged"" indicates that values are continuously averaged over a period of time."
5,"(0 is good, 1 is bad)"
6,(See Common Code table C-1 in Part C/c.)
7,(See Common Code table C-2 in Part C/c.)
8,(See Common Code table C-3)
9,(See Common Code table C-4)
10,(See Common Code table C-5 Part C/c.)
11,(See Common Code table C-7 in Part C/c.)
12,(See Common Code table C-8 in Part C/c.)
13,(See Common Code table C–14 Part C/c.)
14,(To be defined by centres themselves -See Common Code table C-12 in Part C/c.)
15,(To be developed)
16,"A consecutive sequence of 2 or more of location coordinates, such as latitude and longitude pairs,defines a line or polygon. Points shall be joined in the order given in the message. Any area described will fall left of the drawn boundary in the direction established by the order of the points given in the message. This definition is for simple non-intersecting polygons without holes."
17,All bits off implies a good calibration.
18,All first-order statistics are in the units defined by the original data descriptors.
19,Associated field significance shall be used initially in conjunction with the quality of observed data.
20,Bad is currently defined as a roll angle > 5 degrees from vertical.
21,"Beginning with the first bit position (high order bit), if the bit position is set to one, then the channel is used. If the bit position is set to zero, then the channel is not used."
22,Bit flags denoting the elements included in processing sounding data.
23,"Bit flags denoting the instrument and/or channels used in obtaining various physical parameters. If, in any grouping of parameters, all bits = 0, then no retrieval was made for that parameter or set of parameters."
24,Bits 1-4 represent time problem code. All bits off implies the scan time is as expected.
25,Bits 11-17 represent Earth location problem code. All bits set to zero implies the Earth location was normal.
26,"Bits 2-21 used for HIRS, but only bits 2-16 used for AMSU-A and only bits 2-6 used for AMSU-B."
27,"Bits 5-10 represent calibration problem code. All bits set to zero indicated normal calibration. Where any of bits 5, 7, 10 are set, secondary calibration coefficients have been used."
28,"Clear path means the sounding has been generated from clear radiances derived from actual clear spot measurements. Tropospheric and stratospheric HIRS data, as well as MSU and SSU data, have been used."
29,Clear sounding indicates the sounding has been generated from a set of clear radiances using all available sounder radiances.
30,"Cloudy path means the sounding has been generated only from stratospheric HIRS data, MSU data andSSU data. Tropospheric HIRS data have not been used because of cloudy conditions."
31,Cloudy sounding indicates that sufficient clear radiances could not be identified in the sounding area. The sounding is calculated from the cloud top (cloud pressure greater than or equal to 780 hPa) upwards.
32,Code figures 1-9: Duration and time of current measurement (vector or Doppler current profiling method).
33,Code figures 11-19: Period of current measurement (drift method).
34,"Code figures for generic precipitation (code figures 140-148) are arranged in order of increasing complexity. For example, a very simple station that can sense only the presence or absence of precipitation would use code figure 140 (precipitation). At the next level, an automatic station capable of sensing amount but not type would use code figure 141 or 142. An automatic station capable of sensing gross type (liquid, solid, freezing) and amount would use code figures 143-148. An automatic station capable of reporting actual types of precipitation (e.g. drizzle rain), but not the amount, would use the appropriate whole decile number (e.g. 150 for generic drizzle, 160 for generic rain)."
35,Descriptor 0 25 009 is deprecated. 0 25 029 should be used instead.
36,"Difference statistics are difference values; they have dimensions the same as the corresponding reported values with respect to units, but assume a range centred on zero (e.g., the difference between reported and analysed values, the difference between reported and forecast values)."
37,"DIODE means détermination immédiate d’orbite par DORIS embarqué or immediate onboard orbit determination by DORIS. It is part of the DORIS instrument, which calculates the satellite’s position and velocity."
38,Entries 1 and 2 should not be used.
39,"EPSG is a dataset of coordinate system and coordinate system transformations, originally produced and maintained by the European Petroleum Survey Group. It is now maintained by the Geodesy Subcommittee of the International Association of Oil and Gas Producers Geomatics Committee."
40,"For use of code figure 15, see Regulation 12.1.4."
41,"Freezing level is the level at which temperature first decreases to 0 °C. The criteria for the selection of freezing level in upper-air observations are:(a) If the surface temperature is not lower than 0 °C when the radiosonde is released, then the lowest level at which the temperature first decreases to 0 °C will be selected as the freezing level.(b) If the surface temperature is equal to 0 °C, then the surface level will be the freezing level.(c) If during observation there is no level at which the temperature equals 0 °C, then the closest two levels between which the temperature crosses from a positive to a negative value should be used to interpolate the freezing-level temperature equal to 0 °C.(d) The following elements will be calculated for the freezing level: time, elevation, pressure, humidity,dew point temperature, dewpoint depression, and deviation of longitude and latitude."
42,Further applications may be developed.
43,"Generic terms for weather (e.g. fog, drizzle) are intended for use at automatic stations capable of determining types of weather but no other information. Generic terms are included in the code table using all capital letters."
44,Guide to Meteorological Instruments and Methods of Observation
45,H = Time of observation.
46,"Hail, small hail, snow pellets."
47,HIRS* is equivalent to: HIRS channels 1 (669 cm-1) 2 (679 cm-1) 3 (690 cm-1) 4 (2358 cm-1)
48,"If 0 08 082 = 1, the standard level is indicated by the Class 07 descriptor, which immediately follows. It is possible to indicate the real height of the sensor by preceding the descriptor by the relevant Class 07 descriptor."
49,If bit is set to 1 then statement is true.
50,In all instances the highest code figures applicable are to be reported.
51,"In conjunction with the observation of waterspouts or funnel clouds, i.e., more than 3 km from the station."
52,"In reports from automatic stations, code figure 2 shall be used when tendency is positive, 7 when negative, and 4 when pressure is the same as three hours before."
53,"In reports from tropical stations reporting 24-hour pressure changes, code figure 2 shall be used when tendency is positive, 7 when negative, and 4 when pressure is the same as 24 hours before."
54,"In the above code table, whenever reference is made to ice, it also includes solid precipitation other than snow."
55,"In the event of obscuration of clouds due to heavy rain, the observer should use code 5 or 8. Code 5 should be used if the rain is localized or is brief in duration; Code 8 should be used if the rain is widespread or lasts for longer periods of time."
56,"Inland water includes rivers, lakes, wetlands and swamps."
57,Mixed precipitation is indicated by setting to one the bits of all the observed single types of precipitation.
58,MMCC is Mission Management Control Centre.
59,New local names for storm of various strengths shall be added as necessary.
60,None of the code figures exclude the addition of interpolated levels at the discretion of the generating centre.
61,"Or sky (if sun is low), or moon or stars at night."
