noteID,note
1,"0 15 003 is the partial pressure of ozone, measured at the pressure level identified by 0 07 004."
2,"0 15 004 (CF) is defined as: CF = TOI/TOS where TOI is the integrated ozone value obtained ""simultaneously to a sounding"" from a Dobson or Brewer spectrophotometer at the site or ""nearby""and TOS is the total ozone obtained from the sounding. TOS is the sum of the integrated ozone below the lowest pressure level reached by the sounding and the estimate of the amount above. In the absence of any spectrophotometer measurement, CF = Missing value."
3,"0 15 005 is the value obtained as the result of the vertical integration of the sounding values (0 15 003) measured below the lowest pressure level reached by the sonde, multiplied by 0 15 004."
4,"0 15 038 is the delay of an electromagnetic wave in the neutral atmosphere as compared to undisturbed propagation in vacuum. The delay due to ionized gases in the ionosphere is not covered, hence ""neutral atmosphere"". The delay in meters is the time delay multiplied by the vacuum speed of light."
5,"0 15 079 is the hypothetical path delay with the transmitter, e.g. GNSS satellite, in the zenith of the receiver."
6,0 15 081 is the contribution of atmospheric water vapour to the path delay.
7,0 15 083 is the gradient (east-west or north-south) of the neutral atmosphere estimated by the GNSS processing.
8,0 15 085 is the excess delay due to multi-path effects which needs to be removed from the estimated path delay.
9,"0 20 121 used in combination with 0 25 035, or all zero if not defined. Typically +1.000 V."
10,"0 20 122 used in combination with 0 25 035, or all zero if not defined. Typically +2000 A."
11,"0 21 189 is similar to 0-21-177, but with a negative reference value"
12,"0 22 179 is similar to 0 22 190, but with a negative reference value."
13,"0 22 186 is introduced to express the direction of ""any wave"", as opposed to the direction of ""dominant wave"" (0 22 076), ""mean direction"" (0 22 086) and ""principal direction"" (0 22 087)."
14,"0 22 187 is introduced to express the directional spread of ""any wave"", as opposed to the directional spread of ""dominant wave"" (0 22 077)."
15,0 25 014 nominal input range 0 - 2300.
16,0 15 082 is the amount of atmospheric water vapour integrated along the signal path.
17,0 15 084 Non-modelled contribution to the path delay estimated by the least squares adjustment of GNSS path delays.
18,0 15 089 is the contribution of the (almost) dry atmosphere to the zenith path delay as expressed by the hydrostatic equation.
